"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","582,50","603,00","726,00","559,75","18,39K","-2,96%"
"01.02.2012","578,75","582,00","593,25","560,75","26,54K","-0,64%"
"01.03.2012","559,75","576,50","591,25","543,00","29,84K","-3,28%"
"01.04.2012","563,00","561,75","575,00","544,50","17,86K","0,58%"
"01.05.2012","547,75","560,25","572,00","520,25","68,22K","-2,71%"
"01.06.2012","651,75","547,25","672,00","534,00","137,63K","18,99%"
"01.07.2012","688,50","663,75","750,25","636,50","124,75K","5,64%"
"01.08.2012","682,00","689,00","695,00","669,25","16,85K","-0,94%"
"01.09.2012","630,50","680,50","699,00","603,75","73,02K","-7,55%"
"01.10.2012","636,50","632,00","647,00","620,00","141,78K","0,95%"
"01.11.2012","635,50","636,00","644,00","600,75","253,52K","-0,16%"
"01.12.2012","609,50","636,00","647,00","604,00","124,39K","-4,09%"
"01.01.2013","601,50","611,00","614,00","580,75","21,66K","-1,31%"
"01.02.2013","567,00","601,25","606,50","558,00","16,05K","-5,74%"
"01.03.2013","555,50","568,00","589,75","548,50","20,79K","-2,03%"
"01.04.2013","574,75","557,00","586,00","537,00","32,56K","3,47%"
"01.05.2013","587,50","572,25","594,00","538,00","49,80K","2,22%"
"01.06.2013","535,50","587,25","595,25","534,50","58,49K","-8,85%"
"01.07.2013","504,50","532,50","553,50","500,00","42,88K","-5,79%"
"01.08.2013","512,00","500,75","530,25","478,50","17,52K","1,49%"
"01.09.2013","481,00","516,50","519,50","480,25","82,51K","-6,05%"
"01.10.2013","469,50","481,00","490,00","468,50","237,48K","-2,39%"
"01.11.2013","454,25","469,00","478,25","450,00","316,11K","-3,25%"
"01.12.2013","461,00","453,00","473,00","448,75","154,01K","1,49%"
"01.01.2014","459,25","461,25","468,75","445,25","19,97K","-0,38%"
"01.02.2014","480,25","459,00","480,25","459,00","29,88K","4,57%"
"01.03.2014","510,00","480,00","510,00","479,25","48,65K","6,19%"
"01.04.2014","522,50","508,50","526,00","501,00","18,90K","2,45%"
"01.05.2014","479,00","522,00","527,00","478,25","28,34K","-8,33%"
"01.06.2014","450,00","477,50","480,50","448,50","74,79K","-6,05%"
"01.07.2014","402,50","450,50","450,50","399,75","66,63K","-10,56%"
"01.08.2014","399,25","403,75","414,25","393,00","28,90K","-0,81%"
"01.09.2014","366,75","398,00","401,25","365,50","99,25K","-8,14%"
"01.10.2014","418,50","366,75","420,00","364,25","314,00K","14,11%"
"01.11.2014","416,75","415,25","432,25","402,50","310,31K","-0,42%"
"01.12.2014","429,25","414,75","447,75","406,25","139,60K","3,00%"
"01.01.2015","409,00","427,00","439,75","404,00","52,63K","-4,72%"
"01.02.2015","426,00","406,75","430,00","406,75","28,96K","4,16%"
"01.03.2015","416,75","425,00","436,00","409,50","23,31K","-2,17%"
"01.04.2015","402,50","418,50","430,00","400,00","25,02K","-3,42%"
"01.05.2015","391,00","401,75","412,50","389,50","44,06K","-2,86%"
"01.06.2015","450,00","389,00","451,00","387,75","91,97K","15,09%"
"01.07.2015","393,25","447,25","471,25","388,25","87,55K","-12,61%"
"01.08.2015","391,75","392,75","407,25","375,00","32,70K","-0,38%"
"01.09.2015","411,00","390,50","415,00","380,00","118,97K","4,91%"
"01.10.2015","408,00","410,50","420,00","399,50","241,52K","-0,73%"
"01.11.2015","394,75","407,25","409,00","387,00","219,77K","-3,25%"
"01.12.2015","393,00","395,00","411,00","391,00","98,42K","-0,44%"
"01.01.2016","401,75","392,50","403,00","384,50","23,26K","2,23%"
"01.02.2016","384,50","401,00","403,25","384,25","43,99K","-4,29%"
"01.03.2016","384,00","384,75","402,75","380,25","25,75K","-0,13%"
"01.04.2016","407,50","385,00","419,00","379,75","38,74K","6,12%"
"01.05.2016","421,50","405,00","428,75","390,25","76,85K","3,44%"
"01.06.2016","389,25","420,00","456,50","382,50","154,10K","-7,65%"
"01.07.2016","367,00","391,50","395,75","359,50","100,69K","-5,72%"
"01.08.2016","349,00","363,00","374,25","348,25","94,74K","-4,90%"
"01.09.2016","376,50","349,00","381,75","349,00","89,61K","7,88%"
"01.10.2016","389,75","375,75","395,25","374,50","162,56K","3,52%"
"01.11.2016","379,75","389,00","393,75","374,25","183,76K","-2,57%"
"01.12.2016","389,00","379,75","399,50","374,50","108,63K","2,44%"
"01.01.2017","395,00","390,50","403,50","389,50","27,28K","1,54%"
"01.02.2017","402,25","394,50","412,00","393,75","43,95K","1,84%"
"01.03.2017","402,75","401,50","409,50","390,75","44,73K","0,12%"
"01.04.2017","401,00","403,75","410,00","395,25","16,57K","-0,43%"
"01.05.2017","411,25","407,00","414,50","399,50","45,57K","2,56%"
"01.06.2017","412,50","409,75","426,50","396,25","116,11K","0,30%"
"01.07.2017","410,00","411,25","434,25","402,25","135,56K","-0,61%"
"01.08.2017","390,00","408,00","413,50","377,75","75,31K","-4,88%"
"01.09.2017","399,50","389,50","401,75","379,00","120,65K","2,44%"
"01.10.2017","391,75","399,50","401,00","389,25","231,14K","-1,94%"
"01.11.2017","387,25","391,75","396,25","381,25","259,12K","-1,15%"
"01.12.2017","393,25","385,50","396,50","380,00","117,76K","1,55%"
"01.01.2018","401,25","393,75","402,00","388,75","35,23K","2,03%"
"01.02.2018","408,75","400,25","410,50","395,75","83,46K","1,87%"
"01.03.2018","422,25","407,50","422,25","404,00","94,21K","3,30%"
"01.04.2018","427,75","422,25","429,00","408,25","35,13K","1,30%"
"01.05.2018","431,75","426,75","445,00","426,00","95,62K","0,94%"
"01.06.2018","394,25","431,75","434,75","382,50","182,03K","-8,69%"
"01.07.2018","406,25","395,25","408,25","375,50","123,23K","3,04%"
"01.08.2018","391,00","406,00","410,75","383,50","91,37K","-3,75%"
"01.09.2018","391,25","392,00","399,50","380,50","151,53K","0,06%"
"01.10.2018","397,75","392,00","407,75","392,00","304,52K","1,66%"
"01.11.2018","399,75","398,00","406,75","391,25","304,50K","0,50%"
"01.12.2018","407,00","404,00","413,50","399,25","206,68K","1,81%"
"01.01.2019","409,25","405,75","414,75","405,50","47,38K","0,55%"
"01.02.2019","402,75","409,50","413,75","402,00","59,53K","-1,59%"
"01.03.2019","403,50","402,75","417,00","398,00","83,37K","0,19%"
"01.04.2019","404,50","403,75","414,75","396,75","49,04K","0,25%"
"01.05.2019","453,75","404,50","466,00","388,25","237,38K","12,18%"
"01.06.2019","446,00","452,50","478,00","434,00","253,81K","-1,71%"
"01.07.2019","415,75","448,25","469,25","415,25","136,06K","-6,78%"
"01.08.2019","399,25","417,00","424,50","395,00","92,78K","-3,97%"
"01.09.2019","408,25","399,25","411,00","387,50","199,86K","2,25%"
"01.10.2019","405,75","407,50","411,50","403,50","256,78K","-0,61%"
"01.11.2019","391,00","405,75","407,25","388,50","228,12K","-3,64%"
"01.12.2019","411,25","392,00","413,00","387,75","137,82K","5,18%"
"01.01.2020","400,50","410,75","414,25","398,75","30,73K","-2,61%"
"01.02.2020","387,50","400,25","402,75","385,50","35,85K","-3,25%"
"01.03.2020","374,50","386,50","396,25","370,50","84,81K","-3,35%"
"01.04.2020","357,75","374,00","374,50","345,75","43,10K","-4,47%"
"01.05.2020","362,50","356,50","365,50","351,00","54,81K","1,33%"
"01.06.2020","372,75","361,00","374,75","348,00","117,73K","2,83%"
"01.07.2020","355,50","372,75","383,25","353,75","128,90K","-4,63%"
"01.08.2020","375,50","355,00","379,25","350,50","68,60K","5,63%"
"01.09.2020","391,50","374,00","396,00","370,25","210,63K","4,26%"
"01.10.2020","387,25","391,00","401,50","381,00","371,17K","-1,09%"
"01.11.2020","408,00","385,25","415,00","383,75","318,55K","5,36%"
"01.12.2020","440,25","408,50","441,50","404,00","191,54K","7,90%"
"01.01.2021","450,25","440,50","469,25","431,25","92,70K","2,27%"
"01.02.2021","478,50","450,00","486,00","448,00","73,92K","6,27%"
"01.03.2021","490,50","481,00","492,50","462,50","100,08K","2,51%"
"01.04.2021","571,00","492,25","595,00","490,25","97,49K","16,41%"
"01.05.2021","554,75","574,50","640,00","510,50","135,53K","-2,85%"
"01.06.2021","599,25","566,75","635,00","528,25","187,78K","8,02%"
"01.07.2021","509,50","601,25","617,00","499,50","124,76K","-14,98%"
"01.08.2021","517,25","511,75","544,75","502,25","112,82K","1,52%"
"01.09.2021","522,75","517,00","525,00","490,00","129,45K","1,06%"
"01.10.2021","550,00","522,50","553,25","508,00","233,33K","5,21%"
"01.11.2021","546,50","549,75","565,00","534,25","290,26K","-0,64%"
"01.12.2021","553,50","546,00","566,00","540,00","160,90K","1,28%"
"01.01.2022","581,00","557,00","584,50","550,00","30,94K","4,97%"
"01.02.2022","612,25","581,50","653,00","572,00","73,37K","5,38%"
"01.03.2022","685,25","611,00","694,00","603,75","119,79K","11,92%"
"01.04.2022","756,00","684,25","761,50","679,00","54,54K","10,32%"
"01.05.2022","712,00","748,50","760,00","705,50","69,58K","-5,82%"
"01.06.2022","627,50","712,25","747,25","626,75","144,84K","-11,87%"
"01.07.2022","594,75","632,75","661,00","552,25","126,50K","-5,22%"
"01.08.2022","632,00","595,00","639,00","574,00","101,90K","6,26%"
"01.09.2022","616,75","634,25","648,50","606,75","154,52K","-2,41%"
"01.10.2022","625,75","616,75","637,25","611,75","156,06K","1,46%"
"01.11.2022","606,50","624,25","630,75","602,50","265,25K","-3,08%"
"01.12.2022","618,00","605,50","621,00","590,50","155,68K","1,90%"
"01.01.2023","597,75","616,75","618,00","591,00","21,55K","-3,28%"
"01.02.2023","577,75","597,00","605,75","576,75","26,10K","-3,35%"
"01.03.2023","578,50","577,00","588,25","559,25","40,96K","0,13%"
"01.04.2023","545,00","578,00","586,00","538,75","52,62K","-5,79%"
"01.05.2023","538,00","546,50","551,00","511,25","76,85K","-1,28%"
"01.06.2023","516,25","537,25","635,00","514,25","226,88K","-4,04%"
"01.07.2023","519,75","514,00","553,75","504,25","109,92K","0,68%"
"01.08.2023","503,25","520,00","527,75","496,00","97,96K","-3,17%"
"01.09.2023","507,25","503,25","515,00","498,25","100,88K","0,79%"
"01.10.2023","513,00","506,50","527,75","506,50","183,46K","1,13%"
"01.11.2023","512,25","513,00","519,75","502,75","277,52K","-0,15%"
"01.12.2023","514,25","511,75","523,00","506,75","165,04K","0,39%"
"01.01.2024","491,50","512,00","512,50","482,25","22,54K","-4,42%"
"01.02.2024","475,75","490,75","492,00","459,50","62,48K","-3,20%"
"01.03.2024","495,75","475,00","500,00","469,50","62,10K","4,20%"
"01.04.2024","492,50","493,75","498,75","480,00","44,87K","-0,66%"
"01.05.2024","492,00","492,00","520,00","488,50","70,96K","-0,10%"
"01.06.2024","451,75","492,00","500,00","444,00","142,29K","-8,18%"
"01.07.2024","438,25","451,50","457,00","436,25","147,67K","-2,99%"
"01.08.2024","433,00","438,25","444,50","422,00","98,21K","-1,20%"
"01.09.2024","454,00","432,75","457,00","431,25","114,63K","4,85%"
"01.10.2024","440,75","452,50","459,75","433,25","245,20K","-2,92%"
