"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","593,50","619,50","624,25","568,75","145,56K","-3,22%"
"01.02.2012","600,75","591,50","605,00","579,75","220,90K","1,22%"
"01.03.2012","540,25","598,25","609,25","522,00","762,13K","-10,07%"
"01.04.2012","543,25","540,25","556,00","525,00","1,07M","0,56%"
"01.05.2012","532,75","540,00","558,75","499,00","768,45K","-1,93%"
"01.06.2012","643,75","532,75","665,50","519,00","315,33K","20,84%"
"01.07.2012","792,00","657,75","803,00","652,75","338,45K","23,03%"
"01.08.2012","795,00","793,00","838,00","773,00","146,15K","0,38%"
"01.09.2012","749,00","795,50","810,50","700,50","256,35K","-5,79%"
"01.10.2012","744,00","752,50","762,50","720,50","289,31K","-0,67%"
"01.11.2012","744,25","744,00","756,00","700,00","333,62K","0,03%"
"01.12.2012","621,25","746,50","755,00","614,50","258,87K","-16,53%"
"01.01.2013","615,25","626,25","627,25","592,00","101,31K","-0,97%"
"01.02.2013","582,75","615,00","620,00","568,50","169,50K","-5,28%"
"01.03.2013","538,50","582,50","585,50","533,00","661,75K","-7,59%"
"01.04.2013","556,75","537,00","570,00","517,00","1,28M","3,39%"
"01.05.2013","577,00","555,00","582,50","522,50","821,43K","3,64%"
"01.06.2013","521,75","574,00","582,75","521,00","182,40K","-9,58%"
"01.07.2013","499,25","519,25","540,00","492,00","176,82K","-4,31%"
"01.08.2013","502,50","499,75","527,50","467,50","141,86K","0,65%"
"01.09.2013","469,00","507,25","513,00","468,00","161,12K","-6,67%"
"01.10.2013","454,25","469,50","477,25","453,75","308,45K","-3,14%"
"01.11.2013","440,00","454,00","464,75","435,50","402,54K","-3,14%"
"01.12.2013","443,50","438,25","456,25","434,25","194,90K","0,80%"
"01.01.2014","446,25","442,75","454,50","428,25","153,37K","0,62%"
"01.02.2014","468,00","445,75","468,50","445,75","204,74K","4,87%"
"01.03.2014","498,25","468,75","499,00","468,50","606,74K","6,46%"
"01.04.2014","509,25","498,00","517,00","487,50","988,18K","2,21%"
"01.05.2014","466,50","509,00","514,75","466,00","650,89K","-8,39%"
"01.06.2014","436,25","465,25","468,75","434,50","180,58K","-6,48%"
"01.07.2014","387,75","436,00","436,00","384,50","217,63K","-11,12%"
"01.08.2014","386,00","387,75","402,25","378,25","103,22K","-0,45%"
"01.09.2014","349,50","384,50","388,25","348,00","180,08K","-9,46%"
"01.10.2014","404,25","348,50","408,25","346,75","318,13K","15,67%"
"01.11.2014","403,75","401,25","417,00","387,00","348,46K","-0,12%"
"01.12.2014","415,25","402,50","433,75","392,75","239,17K","2,85%"
"01.01.2015","393,00","415,25","426,50","388,50","145,60K","-5,36%"
"01.02.2015","408,25","392,75","413,50","390,75","179,09K","3,88%"
"01.03.2015","400,75","407,25","421,25","392,50","682,21K","-1,84%"
"01.04.2015","383,50","401,25","414,00","380,75","962,45K","-4,30%"
"01.05.2015","378,50","383,25","399,25","372,25","756,44K","-1,30%"
"01.06.2015","440,75","378,00","441,75","374,00","319,70K","16,45%"
"01.07.2015","398,25","438,00","464,00","393,00","395,63K","-9,64%"
"01.08.2015","392,75","397,50","418,75","375,75","122,56K","-1,38%"
"01.09.2015","410,75","391,00","417,75","379,00","310,59K","4,58%"
"01.10.2015","401,50","410,75","421,00","394,00","377,16K","-2,25%"
"01.11.2015","383,75","400,50","401,75","375,75","461,46K","-4,42%"
"01.12.2015","375,25","383,75","394,25","374,00","259,33K","-2,21%"
"01.01.2016","386,00","375,50","386,75","366,00","175,73K","2,86%"
"01.02.2016","367,25","384,75","387,50","367,00","191,32K","-4,86%"
"01.03.2016","368,75","367,25","390,00","364,75","576,42K","0,41%"
"01.04.2016","395,25","368,75","409,00","364,00","1,56M","7,19%"
"01.05.2016","415,25","393,00","422,00","375,25","798,77K","5,06%"
"01.06.2016","379,50","414,50","453,25","373,25","326,72K","-8,61%"
"01.07.2016","357,25","381,50","387,50","349,00","312,67K","-5,86%"
"01.08.2016","333,50","355,75","360,75","332,50","160,15K","-6,65%"
"01.09.2016","360,25","333,50","366,00","333,00","208,84K","8,02%"
"01.10.2016","376,25","359,75","381,75","358,50","273,70K","4,44%"
"01.11.2016","363,50","375,50","379,50","358,25","438,91K","-3,39%"
"01.12.2016","371,25","364,00","383,25","357,25","241,85K","2,13%"
"01.01.2017","380,50","371,25","390,25","371,25","216,14K","2,49%"
"01.02.2017","387,25","380,25","398,75","378,75","272,64K","1,77%"
"01.03.2017","388,25","386,50","395,50","374,50","561,80K","0,26%"
"01.04.2017","385,00","389,75","395,75","379,25","910,17K","-0,84%"
"01.05.2017","401,00","389,25","404,50","383,25","640,09K","4,16%"
"01.06.2017","401,25","400,00","416,75","384,00","447,45K","0,06%"
"01.07.2017","401,75","404,00","426,00","392,00","482,30K","0,12%"
"01.08.2017","377,75","400,00","406,00","364,75","210,22K","-5,97%"
"01.09.2017","383,75","377,00","386,25","366,00","303,38K","1,59%"
"01.10.2017","376,00","383,25","384,75","373,00","347,74K","-2,02%"
"01.11.2017","371,50","376,00","381,00","365,00","499,70K","-1,20%"
"01.12.2017","374,75","371,25","378,00","364,25","288,31K","0,87%"
"01.01.2018","384,50","375,00","385,25","369,75","214,46K","2,60%"
"01.02.2018","395,00","384,00","396,75","379,25","317,54K","2,73%"
"01.03.2018","411,50","394,00","411,75","391,50","906,44K","4,18%"
"01.04.2018","416,00","412,00","418,50","396,00","1,34M","1,09%"
"01.05.2018","422,50","415,50","437,00","412,25","1,09M","1,56%"
"01.06.2018","381,25","422,50","425,50","369,50","438,84K","-9,76%"
"01.07.2018","402,25","382,75","404,25","362,25","371,04K","5,51%"
"01.08.2018","384,75","402,00","404,75","375,50","239,80K","-4,35%"
"01.09.2018","381,25","384,75","391,25","370,00","421,70K","-0,91%"
"01.10.2018","389,75","381,75","402,25","381,75","445,23K","2,23%"
"01.11.2018","391,50","389,50","403,25","382,00","551,40K","0,45%"
"01.12.2018","393,50","397,00","401,50","390,00","325,74K","0,51%"
"01.01.2019","395,50","393,50","401,25","391,50","261,00K","0,51%"
"01.02.2019","385,25","395,50","399,50","384,50","362,27K","-2,59%"
"01.03.2019","384,75","385,25","402,50","378,00","899,27K","-0,13%"
"01.04.2019","381,00","384,75","393,50","371,75","1,04M","-0,97%"
"01.05.2019","451,50","381,25","462,25","363,75","1,49M","18,50%"
"01.06.2019","439,50","451,00","476,00","431,75","677,66K","-2,66%"
"01.07.2019","426,00","442,75","471,75","425,75","416,24K","-3,07%"
"01.08.2019","390,00","427,50","439,00","384,00","316,37K","-8,45%"
"01.09.2019","408,50","390,00","408,75","374,75","368,16K","4,74%"
"01.10.2019","410,00","407,50","420,00","400,75","393,41K","0,37%"
"01.11.2019","390,25","409,75","411,50","383,75","509,25K","-4,82%"
"01.12.2019","401,00","390,25","403,50","383,50","310,46K","2,75%"
"01.01.2020","387,75","400,75","403,25","386,25","297,89K","-3,30%"
"01.02.2020","372,50","387,50","390,75","370,25","288,42K","-3,93%"
"01.03.2020","357,50","371,75","383,25","353,25","936,82K","-4,03%"
