"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","25,38","26,43","27,50","25,65","5,66K","-4,01%"
"01.02.2012","26,21","26,21","26,21","26,21","","3,27%"
"01.03.2012","26,35","27,44","27,58","25,80","7,67K","0,53%"
"01.04.2012","25,05","26,27","26,50","24,20","14,92K","-4,93%"
"01.05.2012","24,12","25,09","26,09","23,93","16,46K","-3,71%"
"01.06.2012","25,30","24,24","25,58","23,27","7,12K","4,89%"
"01.07.2012","35,91","25,43","36,54","25,30","12,96K","41,94%"
"01.08.2012","34,39","35,79","36,00","33,10","5,58K","-4,23%"
"01.09.2012","30,71","34,20","34,70","29,06","6,64K","-10,70%"
"01.10.2012","32,59","31,00","32,80","29,50","4,32K","6,12%"
"01.11.2012","31,85","32,59","33,00","30,20","3,26K","-2,27%"
"01.12.2012","29,60","31,81","32,10","29,40","3,15K","-7,06%"
"01.01.2013","29,14","29,60","30,00","28,80","2,34K","-1,55%"
"01.02.2013","28,05","28,05","28,05","28,05","","-3,74%"
"01.03.2013","24,95","27,60","27,60","24,88","7,50K","-11,05%"
"01.04.2013","24,90","25,00","25,45","23,24","24,70K","-0,20%"
"01.05.2013","26,58","24,94","26,70","23,50","24,36K","6,75%"
"01.06.2013","25,38","26,50","27,00","25,03","9,92K","-4,51%"
"01.07.2013","24,43","25,39","25,45","24,33","7,66K","-3,74%"
"01.08.2013","26,00","24,45","26,90","23,30","6,26K","6,43%"
"01.09.2013","24,28","25,97","26,93","24,00","5,07K","-6,62%"
"01.10.2013","24,74","24,20","25,20","23,80","5,45K","1,89%"
"01.11.2013","26,48","24,50","26,50","24,50","5,98K","7,03%"
"01.12.2013","27,17","26,47","27,17","25,80","3,08K","2,61%"
"01.01.2014","27,77","27,10","28,40","26,60","5,21K","2,21%"
"01.02.2014","30,08","30,08","30,08","30,08","","8,32%"
"01.03.2014","30,05","30,05","30,05","30,05","","-0,10%"
"01.04.2014","29,88","29,88","29,88","29,88","","-0,57%"
"01.05.2014","26,45","27,74","27,93","26,40","25,67K","-11,48%"
"01.06.2014","23,80","26,45","26,70","23,78","60,85K","-10,02%"
"01.07.2014","24,63","23,74","24,80","22,95","37,81K","3,49%"
"01.08.2014","25,34","24,60","25,99","24,15","16,71K","2,88%"
"01.09.2014","25,35","25,30","26,40","23,50","11,24K","0,04%"
"01.10.2014","29,20","25,20","31,00","25,20","3,82K","15,19%"
"01.11.2014","28,00","29,34","32,69","27,30","4,97K","-4,11%"
"01.12.2014","29,20","28,11","30,53","27,69","2,12K","4,29%"
"01.01.2015","28,40","29,10","30,20","27,21","5,02K","-2,74%"
"01.02.2015","29,36","29,10","29,10","29,10","0,00K","3,38%"
"01.03.2015","29,46","29,90","30,02","29,12","6,73K","0,34%"
"01.04.2015","25,86","29,50","29,56","25,45","25,36K","-12,22%"
"01.05.2015","26,25","25,87","27,57","24,70","22,77K","1,51%"
"01.06.2015","28,80","26,25","28,99","25,82","9,40K","9,71%"
"01.07.2015","29,45","28,80","30,35","27,90","5,60K","2,26%"
"01.08.2015","33,40","29,70","33,40","29,65","2,60K","13,41%"
"01.09.2015","36,00","33,34","37,24","33,00","4,95K","7,78%"
"01.10.2015","37,07","35,98","37,20","34,50","0,94K","2,97%"
"01.11.2015","34,50","37,44","37,44","34,00","0,57K","-6,93%"
"01.12.2015","37,00","34,80","37,20","34,80","1,43K","7,25%"
"01.01.2016","36,66","37,50","41,70","36,30","4,65K","-0,92%"
"01.02.2016","39,44","36,55","39,39","36,20","1,19K","7,58%"
"01.03.2016","35,12","36,45","36,99","35,03","9,25K","-10,95%"
"01.04.2016","40,98","35,11","41,16","34,52","32,96K","16,69%"
"01.05.2016","44,55","40,91","46,80","40,66","22,61K","8,71%"
"01.06.2016","43,81","44,46","45,32","42,35","5,10K","-1,66%"
"01.07.2016","48,50","43,70","50,10","43,30","7,23K","10,71%"
"01.08.2016","40,65","48,60","49,00","40,40","7,06K","-16,19%"
"01.09.2016","40,28","40,15","43,75","39,00","2,45K","-0,91%"
"01.10.2016","39,45","40,15","41,00","37,40","2,29K","-2,06%"
"01.11.2016","36,41","39,40","39,40","36,15","4,52K","-7,71%"
"01.12.2016","35,50","36,35","37,20","33,60","4,38K","-2,50%"
"01.01.2017","31,59","35,40","35,89","32,50","4,16K","-11,01%"
"01.02.2017","30,33","30,33","30,33","30,33","","-3,99%"
"01.03.2017","27,79","29,50","29,79","26,99","19,49K","-8,37%"
"01.04.2017","27,25","27,74","28,00","26,66","32,70K","-1,94%"
"01.05.2017","27,80","27,39","28,75","26,60","18,89K","2,02%"
"01.06.2017","26,80","27,45","28,80","26,12","3,44K","-3,60%"
"01.07.2017","29,15","27,20","29,30","26,80","5,08K","8,77%"
"01.08.2017","30,90","29,01","31,40","28,85","4,26K","6,00%"
"01.09.2017","33,78","31,00","34,98","30,47","3,79K","9,32%"
"01.10.2017","33,99","33,80","34,25","33,00","4,25K","0,62%"
"01.11.2017","32,87","33,71","34,25","32,45","3,77K","-3,30%"
"01.12.2017","33,84","32,87","34,01","32,76","3,12K","2,95%"
"01.01.2018","32,25","33,81","34,05","31,80","2,94K","-4,70%"
"01.02.2018","35,53","35,53","35,53","35,53","","10,17%"
"01.03.2018","34,55","35,10","36,29","34,10","13,00K","-2,76%"
"01.04.2018","39,01","34,70","39,09","34,38","40,64K","12,91%"
"01.05.2018","41,73","39,00","44,00","39,00","53,57K","6,97%"
"01.06.2018","39,15","41,81","42,90","37,46","5,92K","-6,18%"
"01.07.2018","43,98","39,11","44,15","38,90","3,62K","12,34%"
"01.08.2018","43,81","43,80","45,00","43,19","3,25K","-0,39%"
"01.09.2018","39,80","43,85","44,69","39,60","2,41K","-9,15%"
"01.10.2018","36,70","39,78","39,90","35,00","5,79K","-7,79%"
"01.11.2018","35,22","36,78","38,85","35,01","6,72K","-4,03%"
"01.12.2018","37,70","35,11","38,58","35,11","5,23K","7,04%"
"01.01.2019","35,24","37,78","38,00","36,74","3,32K","-6,53%"
"01.02.2019","35,80","35,85","36,25","35,40","1,37K","1,59%"
"01.03.2019","34,22","35,90","35,90","33,30","8,79K","-4,41%"
"01.04.2019","31,17","34,13","34,53","31,15","19,88K","-8,91%"
"01.05.2019","39,71","31,15","41,40","31,10","23,66K","27,40%"
"01.06.2019","39,20","39,85","41,50","37,00","11,36K","-1,28%"
