"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","648,75","674,50","679,00","604,00","965,71K","-1,89%"
"01.02.2012","660,50","648,50","663,25","629,75","1,01M","1,81%"
"01.03.2012","563,25","658,00","665,75","543,50","916,56K","-14,72%"
"01.04.2012","560,75","565,50","575,75","535,00","586,99K","-0,44%"
"01.05.2012","522,00","556,50","558,00","503,50","1,28M","-6,91%"
"01.06.2012","634,75","521,75","656,75","506,75","2,84M","21,60%"
"01.07.2012","801,25","649,75","813,25","644,75","2,06M","26,23%"
"01.08.2012","802,00","802,50","846,25","779,25","512,62K","0,09%"
"01.09.2012","756,50","804,75","816,75","706,75","410,85K","-5,67%"
"01.10.2012","752,50","758,25","769,75","727,00","233,38K","-0,53%"
"01.11.2012","752,00","752,25","765,00","710,25","390,38K","-0,07%"
"01.12.2012","697,25","755,25","762,25","689,00","472,86K","-7,28%"
"01.01.2013","733,25","705,00","736,75","672,00","672,33K","5,16%"
"01.02.2013","684,75","732,50","738,75","667,50","796,21K","-6,61%"
"01.03.2013","563,00","684,00","699,50","563,00","724,86K","-17,78%"
"01.04.2013","580,25","561,75","596,75","536,50","499,49K","3,06%"
"01.05.2013","567,25","577,00","585,50","512,00","1,30M","-2,24%"
"01.06.2013","511,00","565,00","573,50","506,00","1,98M","-9,92%"
"01.07.2013","491,50","506,75","530,25","484,00","1,37M","-3,82%"
"01.08.2013","494,50","491,50","520,00","459,00","525,98K","0,61%"
"01.09.2013","462,25","502,00","506,00","461,75","336,26K","-6,52%"
"01.10.2013","447,50","462,50","470,00","446,75","370,46K","-3,19%"
"01.11.2013","432,75","447,00","458,50","428,25","578,39K","-3,30%"
"01.12.2013","437,00","431,25","450,75","426,75","351,88K","0,98%"
"01.01.2014","444,00","436,50","450,00","421,75","784,23K","1,60%"
"01.02.2014","467,50","443,50","468,75","443,25","999,14K","5,29%"
"01.03.2014","502,00","468,25","506,00","468,25","916,42K","7,38%"
"01.04.2014","513,25","501,25","519,75","488,50","558,49K","2,24%"
"01.05.2014","457,50","513,00","518,00","456,50","894,08K","-10,86%"
"01.06.2014","425,25","455,50","460,00","423,50","1,82M","-7,05%"
"01.07.2014","379,50","424,00","424,75","376,25","1,24M","-10,76%"
"01.08.2014","377,75","379,25","394,00","370,75","471,41K","-0,46%"
"01.09.2014","342,00","376,00","380,25","341,00","367,74K","-9,46%"
"01.10.2014","398,00","341,00","402,50","339,25","321,85K","16,37%"
"01.11.2014","397,00","395,75","409,75","380,25","538,65K","-0,25%"
"01.12.2014","412,50","393,50","431,50","386,00","481,13K","3,90%"
"01.01.2015","386,00","412,00","424,25","381,50","644,97K","-6,42%"
"01.02.2015","401,25","385,75","407,25","383,50","771,82K","3,95%"
"01.03.2015","392,00","400,00","413,25","382,75","746,10K","-2,31%"
"01.04.2015","372,75","392,50","405,00","370,00","753,67K","-4,91%"
"01.05.2015","368,00","372,75","388,75","362,25","1,18M","-1,27%"
"01.06.2015","431,50","367,00","432,25","362,50","2,92M","17,26%"
"01.07.2015","392,00","429,25","459,00","386,75","2,43M","-9,15%"
"01.08.2015","386,25","391,00","412,75","368,75","800,55K","-1,47%"
"01.09.2015","405,50","385,50","413,00","371,75","587,85K","4,98%"
"01.10.2015","397,25","405,25","416,50","389,25","361,01K","-2,03%"
"01.11.2015","378,00","396,75","397,50","370,50","715,77K","-4,85%"
"01.12.2015","370,50","378,00","391,00","369,75","495,59K","-1,98%"
"01.01.2016","381,50","371,75","382,00","360,25","778,47K","2,97%"
"01.02.2016","361,75","380,25","383,25","361,50","1,02M","-5,18%"
"01.03.2016","360,50","361,75","382,50","356,75","733,69K","-0,35%"
"01.04.2016","391,75","361,00","406,50","355,75","819,72K","8,67%"
"01.05.2016","408,50","390,75","415,00","370,00","1,34M","4,28%"
"01.06.2016","371,25","408,00","449,00","365,25","3,43M","-9,12%"
"01.07.2016","351,50","373,25","380,00","342,75","1,93M","-5,32%"
"01.08.2016","326,00","350,00","354,00","325,00","819,68K","-7,25%"
"01.09.2016","353,50","326,00","359,25","325,50","459,27K","8,44%"
"01.10.2016","369,50","353,00","375,75","351,75","274,31K","4,53%"
"01.11.2016","355,75","369,00","372,75","351,00","644,77K","-3,72%"
"01.12.2016","364,25","356,00","376,50","349,25","496,89K","2,39%"
"01.01.2017","373,75","364,25","384,50","364,25","702,66K","2,61%"
"01.02.2017","381,00","373,50","393,75","372,00","982,58K","1,94%"
"01.03.2017","379,25","380,25","389,50","367,50","889,48K","-0,46%"
"01.04.2017","374,25","380,50","386,50","368,25","788,16K","-1,32%"
"01.05.2017","391,00","378,75","395,00","372,75","1,02M","4,48%"
"01.06.2017","392,00","390,25","409,00","374,00","2,83M","0,26%"
"01.07.2017","396,25","395,00","417,25","381,75","2,62M","1,08%"
