"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","25,36","27,90","28,98","25,30","14,65K","-8,55%"
"01.02.2012","26,35","25,40","26,60","25,06","9,78K","3,90%"
"01.03.2012","26,40","26,37","27,65","25,80","11,16K","0,19%"
"01.04.2012","24,88","27,00","27,00","24,39","0,01K","-5,76%"
"01.05.2012","23,56","25,80","26,00","23,25","23,95K","-5,31%"
"01.06.2012","24,57","23,65","24,80","22,81","57,59K","4,29%"
"01.07.2012","35,46","24,52","36,34","24,50","50,82K","44,32%"
"01.08.2012","33,79","35,30","35,70","32,40","14,17K","-4,71%"
"01.09.2012","31,18","33,76","34,19","29,65","18,99K","-7,72%"
"01.10.2012","34,05","31,75","34,12","30,60","10,65K","9,20%"
"01.11.2012","34,24","34,00","34,75","32,07","15,75K","0,56%"
"01.12.2012","30,77","34,22","34,65","30,70","8,94K","-10,13%"
"01.01.2013","28,80","30,79","31,98","28,41","14,34K","-6,40%"
"01.02.2013","28,47","28,80","29,40","27,20","14,61K","-1,15%"
"01.03.2013","25,90","28,47","28,47","25,45","15,48K","-9,03%"
"01.04.2013","25,04","25,49","25,60","24,38","0,34K","-3,32%"
"01.05.2013","26,14","25,30","26,25","23,82","28,22K","4,39%"
"01.06.2013","24,71","26,09","26,60","24,55","51,05K","-5,47%"
"01.07.2013","24,01","24,75","25,04","23,60","23,55K","-2,83%"
"01.08.2013","25,37","24,00","26,55","22,57","37,13K","5,66%"
"01.09.2013","23,64","25,39","26,41","23,43","29,44K","-6,82%"
"01.10.2013","24,22","23,56","25,19","23,15","20,54K","2,45%"
"01.11.2013","26,50","24,24","26,74","23,92","26,79K","9,41%"
"01.12.2013","27,18","26,50","27,23","25,60","12,00K","2,57%"
"01.01.2014","27,30","27,15","28,46","25,81","26,41K","0,44%"
"01.02.2014","30,68","27,28","33,40","27,15","37,43K","12,38%"
"01.03.2014","30,13","30,74","33,10","29,30","21,82K","-1,79%"
"01.04.2014","30,47","29,84","32,00","29,84","0,35K","1,13%"
"01.05.2014","26,76","30,10","30,20","28,20","0,30K","-12,18%"
"01.06.2014","24,18","24,18","24,18","24,18","","-9,64%"
"01.07.2014","23,48","23,16","23,80","22,65","33,90K","-2,89%"
"01.08.2014","23,99","23,60","25,00","23,17","45,78K","2,17%"
"01.09.2014","24,35","23,96","24,90","22,31","41,34K","1,50%"
"01.10.2014","29,23","24,36","31,50","23,98","33,27K","20,04%"
"01.11.2014","29,57","29,20","32,96","28,40","29,57K","1,16%"
"01.12.2014","30,30","29,51","32,45","28,58","10,58K","2,47%"
"01.01.2015","28,40","30,20","31,49","27,11","29,44K","-6,27%"
"01.02.2015","29,25","28,30","29,70","28,10","7,53K","2,99%"
"01.03.2015","29,45","29,25","29,90","28,70","12,69K","0,68%"
"01.04.2015","26,18","26,18","26,18","26,18","","-11,10%"
"01.05.2015","25,30","25,00","26,45","24,88","25,67K","-3,36%"
"01.06.2015","27,99","25,25","28,15","24,82","50,93K","10,63%"
"01.07.2015","28,31","28,14","29,30","26,69","31,33K","1,14%"
"01.08.2015","32,43","28,39","32,50","28,29","12,08K","14,55%"
"01.09.2015","37,35","32,46","38,80","32,30","21,54K","15,17%"
"01.10.2015","37,45","37,15","37,50","35,01","7,87K","0,27%"
"01.11.2015","36,40","37,51","37,59","35,20","9,76K","-2,80%"
"01.12.2015","38,10","36,50","38,23","36,20","3,92K","4,67%"
"01.01.2016","38,02","38,65","43,05","38,00","10,64K","-0,21%"
"01.02.2016","41,85","38,10","41,95","37,90","8,44K","10,07%"
"01.03.2016","38,00","42,00","45,90","37,51","20,98K","-9,20%"
"01.04.2016","43,90","37,01","44,40","37,01","1,43K","15,53%"
"01.05.2016","42,80","44,00","47,95","41,81","26,81K","-2,51%"
"01.06.2016","39,72","42,86","43,99","39,55","71,70K","-7,20%"
"01.07.2016","48,60","39,71","50,10","39,27","43,47K","22,36%"
"01.08.2016","40,42","48,85","49,00","40,15","22,66K","-16,83%"
"01.09.2016","42,87","40,11","43,78","39,60","17,37K","6,06%"
"01.10.2016","41,90","42,80","44,33","39,70","15,41K","-2,26%"
"01.11.2016","38,00","41,90","42,35","37,03","19,38K","-9,31%"
"01.12.2016","35,80","37,74","38,90","35,00","7,49K","-5,79%"
"01.01.2017","32,67","35,75","35,95","32,50","16,12K","-8,74%"
"01.02.2017","30,95","32,80","33,09","30,50","14,22K","-5,26%"
"01.03.2017","28,17","31,10","32,20","30,32","8,86K","-8,98%"
"01.04.2017","27,70","27,70","27,70","27,70","","-1,67%"
"01.05.2017","26,90","26,96","28,15","26,55","28,72K","-2,89%"
"01.06.2017","25,84","26,69","27,69","25,03","54,46K","-3,94%"
"01.07.2017","28,13","25,71","28,88","25,65","40,04K","8,86%"
"01.08.2017","29,48","28,01","29,95","27,80","18,57K","4,80%"
"01.09.2017","32,54","29,50","33,99","28,77","18,21K","10,38%"
"01.10.2017","33,09","32,55","33,89","32,05","15,24K","1,69%"
"01.11.2017","33,75","33,10","33,80","32,70","15,31K","1,99%"
"01.12.2017","34,14","33,75","34,25","32,75","5,58K","1,16%"
