"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","590,00","613,25","615,00","568,00","2,20K","-2,88%"
"01.02.2012","585,50","589,25","600,00","567,75","4,27K","-0,76%"
"01.03.2012","564,75","581,50","596,00","548,25","13,12K","-3,54%"
"01.04.2012","570,25","563,25","580,00","550,50","28,21K","0,97%"
"01.05.2012","533,00","566,75","567,25","521,25","55,88K","-6,53%"
"01.06.2012","597,25","527,00","615,00","523,75","16,26K","12,05%"
"01.07.2012","638,00","599,75","667,50","599,75","71,26K","6,82%"
"01.08.2012","650,00","639,00","658,00","626,25","85,07K","1,88%"
"01.09.2012","637,75","650,75","665,00","612,50","46,41K","-1,88%"
"01.10.2012","644,00","640,00","654,50","629,00","1,66K","0,98%"
"01.11.2012","643,50","645,00","650,25","609,50","3,40K","-0,08%"
"01.12.2012","616,50","644,00","654,75","611,00","4,81K","-4,20%"
"01.01.2013","608,50","620,00","621,00","589,25","9,08K","-1,30%"
"01.02.2013","574,00","611,25","612,00","565,00","5,13K","-5,67%"
"01.03.2013","560,75","571,00","594,25","556,75","6,74K","-2,31%"
"01.04.2013","581,50","563,50","592,00","543,25","30,62K","3,70%"
"01.05.2013","572,50","578,50","585,00","531,00","21,22K","-1,55%"
"01.06.2013","530,75","575,00","585,00","528,25","7,73K","-7,29%"
"01.07.2013","506,75","528,50","550,00","502,00","42,68K","-4,52%"
"01.08.2013","516,50","507,00","534,00","483,50","123,03K","1,92%"
"01.09.2013","491,00","523,75","525,00","490,50","56,77K","-4,94%"
"01.10.2013","479,00","491,00","499,00","478,50","3,34K","-2,44%"
"01.11.2013","465,25","477,25","487,00","460,00","6,10K","-2,87%"
"01.12.2013","467,25","462,00","479,00","460,00","6,74K","0,43%"
"01.01.2014","465,75","467,00","474,50","451,00","3,71K","-0,32%"
"01.02.2014","486,75","467,00","487,50","466,00","7,26K","4,51%"
"01.03.2014","511,00","487,00","511,75","485,50","13,43K","4,98%"
"01.04.2014","527,00","510,00","531,25","506,00","25,60K","3,13%"
"01.05.2014","470,00","526,25","531,00","470,00","18,38K","-10,82%"
"01.06.2014","447,25","470,00","474,00","448,25","16,74K","-4,84%"
"01.07.2014","410,75","448,00","448,00","405,75","67,31K","-8,16%"
"01.08.2014","406,00","410,50","422,00","398,25","85,02K","-1,16%"
"01.09.2014","376,25","404,25","408,50","375,00","75,04K","-7,33%"
"01.10.2014","426,75","376,25","428,00","374,00","7,41K","13,42%"
"01.11.2014","425,50","425,00","440,00","411,25","24,45K","-0,29%"
"01.12.2014","435,75","420,75","453,25","415,00","8,95K","2,41%"
"01.01.2015","414,75","431,75","445,75","410,75","2,88K","-4,82%"
"01.02.2015","432,25","412,75","435,50","412,25","5,47K","4,22%"
"01.03.2015","422,00","432,00","440,50","415,50","9,87K","-2,37%"
"01.04.2015","409,25","423,00","435,00","407,00","32,32K","-3,02%"
"01.05.2015","389,75","408,75","410,50","388,50","29,45K","-4,76%"
"01.06.2015","432,00","389,25","430,25","387,00","14,41K","10,84%"
"01.07.2015","395,25","429,00","449,00","390,00","114,32K","-8,51%"
"01.08.2015","399,50","393,50","411,50","377,00","146,50K","1,08%"
"01.09.2015","420,50","398,00","425,00","387,00","73,73K","5,26%"
"01.10.2015","417,75","420,00","428,50","409,50","2,92K","-0,65%"
"01.11.2015","404,00","416,25","417,75","396,00","11,33K","-3,29%"
"01.12.2015","399,25","405,25","415,75","398,25","7,18K","-1,18%"
"01.01.2016","407,50","398,25","409,00","391,25","2,98K","2,07%"
"01.02.2016","388,75","407,00","409,00","388,75","10,86K","-4,60%"
"01.03.2016","388,25","388,50","405,75","384,75","15,61K","-0,13%"
"01.04.2016","411,50","388,00","422,50","384,00","67,80K","5,99%"
"01.05.2016","407,75","410,25","415,00","395,00","39,08K","-0,91%"
"01.06.2016","382,75","408,75","422,50","376,25","27,31K","-6,13%"
"01.07.2016","372,50","382,50","392,00","366,00","67,98K","-2,68%"
