"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","569,50","590,50","597,00","547,00","584,47K","-2,86%"
"01.02.2012","568,50","569,00","582,25","549,25","603,56K","-0,18%"
"01.03.2012","551,75","566,00","585,00","534,75","410,71K","-2,95%"
"01.04.2012","554,75","550,75","567,00","533,00","63,01K","0,54%"
"01.05.2012","540,50","550,75","565,50","511,00","97,07K","-2,57%"
"01.06.2012","647,75","540,00","668,75","527,00","71,77K","19,84%"
"01.07.2012","784,75","659,25","796,25","656,75","184,97K","21,15%"
"01.08.2012","780,50","786,00","824,00","766,25","178,58K","-0,54%"
"01.09.2012","659,00","783,50","796,00","629,00","115,76K","-15,57%"
"01.10.2012","661,50","659,00","677,00","645,50","34,62K","0,38%"
"01.11.2012","656,75","662,50","669,75","620,25","45,13K","-0,72%"
"01.12.2012","599,75","658,75","668,50","594,25","125,79K","-8,68%"
"01.01.2013","591,00","603,50","605,00","570,00","452,02K","-1,46%"
"01.02.2013","557,00","591,00","596,50","547,00","528,78K","-5,75%"
"01.03.2013","548,25","557,00","582,75","538,50","360,03K","-1,57%"
"01.04.2013","567,00","547,75","579,00","528,25","69,23K","3,42%"
"01.05.2013","582,75","564,50","588,00","531,00","71,59K","2,78%"
"01.06.2013","529,25","581,75","589,50","528,75","52,16K","-9,18%"
"01.07.2013","505,50","526,50","547,00","498,25","84,57K","-4,49%"
"01.08.2013","508,75","505,75","532,50","473,50","138,05K","0,64%"
"01.09.2013","473,75","515,50","519,25","473,00","95,24K","-6,88%"
"01.10.2013","460,75","473,75","483,00","460,25","63,33K","-2,74%"
"01.11.2013","446,50","460,75","470,00","442,00","56,39K","-3,09%"
"01.12.2013","450,25","444,25","462,25","440,75","154,02K","0,84%"
"01.01.2014","450,00","449,00","460,00","435,00","582,10K","-0,06%"
"01.02.2014","471,50","449,75","472,00","449,50","608,94K","4,78%"
"01.03.2014","505,00","472,50","505,25","471,25","520,11K","7,10%"
"01.04.2014","516,50","503,50","523,00","495,00","64,94K","2,28%"
"01.05.2014","473,00","515,75","522,00","472,50","55,38K","-8,42%"
"01.06.2014","443,50","471,00","475,00","442,00","45,39K","-6,24%"
"01.07.2014","395,25","443,25","443,25","392,25","120,29K","-10,88%"
"01.08.2014","392,75","395,25","409,00","385,25","122,10K","-0,63%"
"01.09.2014","356,75","391,25","395,00","356,00","105,88K","-9,17%"
"01.10.2014","410,25","356,50","413,25","354,25","63,16K","15,00%"
"01.11.2014","409,00","408,25","423,25","393,75","54,91K","-0,30%"
"01.12.2014","421,00","405,00","440,00","397,75","206,01K","2,93%"
"01.01.2015","400,75","421,00","432,00","396,75","567,40K","-4,81%"
"01.02.2015","417,50","400,25","421,75","398,50","534,57K","4,18%"
"01.03.2015","410,00","416,50","430,00","402,50","332,02K","-1,80%"
"01.04.2015","394,75","411,25","423,25","392,25","70,47K","-3,72%"
"01.05.2015","385,50","394,75","406,50","383,25","115,85K","-2,34%"
"01.06.2015","446,25","384,00","447,00","381,25","67,53K","15,76%"
"01.07.2015","403,50","443,00","468,50","398,50","152,71K","-9,58%"
"01.08.2015","397,25","402,25","423,00","380,50","163,45K","-1,55%"
"01.09.2015","404,00","396,25","416,50","384,25","150,37K","1,70%"
"01.10.2015","401,50","401,75","413,25","392,25","92,49K","-0,62%"
"01.11.2015","387,25","401,00","403,00","379,50","128,61K","-3,55%"
"01.12.2015","383,00","387,50","401,50","381,75","168,88K","-1,10%"
"01.01.2016","393,25","384,00","394,00","374,50","321,62K","2,68%"
"01.02.2016","375,75","392,00","395,00","375,75","364,64K","-4,45%"
"01.03.2016","378,25","376,00","398,50","373,25","277,00K","0,67%"
"01.04.2016","402,75","378,25","415,25","374,00","138,49K","6,48%"
"01.05.2016","418,75","401,00","425,25","384,75","118,80K","3,97%"
"01.06.2016","384,50","417,25","455,00","378,75","93,38K","-8,18%"
"01.07.2016","362,75","384,75","391,75","354,50","146,35K","-5,66%"
"01.08.2016","341,25","361,25","367,50","340,25","258,14K","-5,93%"
"01.09.2016","367,00","341,25","372,25","340,75","120,03K","7,55%"
"01.10.2016","382,50","366,75","388,00","365,25","66,77K","4,22%"
"01.11.2016","370,75","381,75","385,75","365,50","87,28K","-3,07%"
"01.12.2016","380,00","370,50","391,50","365,00","133,18K","2,49%"
"01.01.2017","387,25","381,75","396,75","380,25","381,76K","1,91%"
"01.02.2017","393,75","387,00","404,00","385,75","574,20K","1,68%"
"01.03.2017","397,25","393,00","401,50","381,50","343,44K","0,89%"
"01.04.2017","394,75","397,25","404,50","389,00","108,31K","-0,63%"
"01.05.2017","407,00","399,00","410,25","392,75","101,39K","3,10%"
"01.06.2017","407,00","406,00","422,00","390,25","76,34K","0,00%"
"01.07.2017","407,00","409,25","430,00","397,25","199,87K","0,00%"
"01.08.2017","384,00","405,25","411,00","371,00","308,71K","-5,65%"
"01.09.2017","390,00","383,50","392,75","372,50","162,95K","1,56%"
"01.10.2017","382,75","390,00","391,75","380,25","88,68K","-1,86%"
"01.11.2017","378,50","382,75","387,50","372,25","116,07K","-1,11%"
"01.12.2017","384,00","378,00","387,00","371,25","138,33K","1,45%"
"01.01.2018","393,25","384,25","394,00","379,75","360,36K","2,41%"
"01.02.2018","401,50","392,75","403,25","387,75","637,03K","2,10%"
"01.03.2018","418,25","400,75","418,50","398,75","689,58K","4,17%"
"01.04.2018","423,50","418,00","425,50","403,25","166,21K","1,26%"
"01.05.2018","427,50","423,00","441,25","421,00","192,55K","0,94%"
"01.06.2018","388,00","427,25","430,25","376,25","107,36K","-9,24%"
"01.07.2018","406,75","389,25","409,25","369,25","179,73K","4,83%"
"01.08.2018","390,50","406,50","410,50","381,50","271,23K","-4,00%"
"01.09.2018","385,00","391,50","394,25","375,75","210,44K","-1,41%"
"01.10.2018","391,50","386,25","403,25","385,75","93,77K","1,69%"
"01.11.2018","394,00","391,75","403,25","385,50","100,96K","0,64%"
"01.12.2018","397,50","399,50","405,00","394,50","203,49K","0,89%"
"01.01.2019","400,00","397,50","406,00","396,25","434,47K","0,63%"
"01.02.2019","392,00","400,25","404,25","391,25","581,94K","-2,00%"
"01.03.2019","397,00","392,00","412,50","386,25","433,72K","1,28%"
"01.04.2019","396,00","398,00","407,00","387,50","204,45K","-0,25%"
"01.05.2019","452,75","396,00","464,50","378,50","321,04K","14,33%"
