"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","27,30","30,30","31,50","27,08","18,98K","-9,75%"
"01.02.2012","28,65","27,25","28,75","26,50","21,40K","4,95%"
"01.03.2012","26,43","28,68","29,45","25,90","35,23K","-7,75%"
"01.04.2012","24,76","26,46","26,74","24,25","26,28K","-6,32%"
"01.05.2012","23,85","24,79","25,80","23,50","5,44K","-3,68%"
"01.06.2012","24,50","23,85","24,50","23,30","0,81K","2,73%"
"01.07.2012","35,11","24,67","35,94","24,67","46,49K","43,31%"
"01.08.2012","32,93","35,05","35,30","31,45","56,40K","-6,21%"
"01.09.2012","30,29","32,91","33,37","28,52","23,17K","-8,02%"
"01.10.2012","33,50","31,00","33,60","29,70","35,74K","10,60%"
"01.11.2012","36,35","33,50","36,99","33,30","15,86K","8,51%"
"01.12.2012","33,37","36,40","36,80","33,10","20,08K","-8,20%"
"01.01.2013","30,67","33,20","33,90","30,06","18,22K","-8,09%"
"01.02.2013","31,73","30,68","32,16","30,22","36,93K","3,46%"
"01.03.2013","26,09","31,70","31,80","26,01","24,77K","-17,77%"
"01.04.2013","25,00","26,15","26,15","24,10","38,30K","-4,18%"
"01.05.2013","27,10","24,89","27,10","24,89","6,54K","8,40%"
"01.06.2013","25,41","27,20","27,20","24,60","1,24K","-6,24%"
"01.07.2013","23,31","25,49","25,51","23,03","21,49K","-8,26%"
"01.08.2013","24,90","23,30","25,92","22,05","42,28K","6,82%"
"01.09.2013","23,26","24,90","26,05","23,11","30,39K","-6,59%"
"01.10.2013","24,53","23,20","25,65","22,83","48,44K","5,46%"
"01.11.2013","26,67","24,50","26,80","24,18","25,25K","8,72%"
"01.12.2013","27,26","26,64","27,45","25,71","24,28K","2,21%"
"01.01.2014","27,56","27,25","28,37","25,83","30,79K","1,10%"
"01.02.2014","32,92","27,53","34,75","27,45","38,04K","19,45%"
"01.03.2014","30,30","32,95","34,16","29,55","27,86K","-7,96%"
"01.04.2014","29,85","30,36","31,91","29,81","24,13K","-1,49%"
"01.05.2014","27,10","29,85","30,15","26,90","8,35K","-9,21%"
"01.06.2014","24,60","27,00","27,18","24,58","0,63K","-9,23%"
"01.07.2014","23,20","24,40","24,45","23,20","0,37K","-5,69%"
"01.08.2014","23,01","24,50","24,50","22,91","21,92K","-0,82%"
"01.09.2014","23,25","23,00","23,80","21,51","51,16K","1,04%"
"01.10.2014","27,62","23,20","29,94","22,72","89,97K","18,80%"
"01.11.2014","29,21","27,50","32,86","26,35","33,52K","5,76%"
"01.12.2014","29,32","29,19","31,88","27,55","42,40K","0,38%"
"01.01.2015","28,36","29,30","30,39","27,31","39,95K","-3,27%"
"01.02.2015","29,59","28,50","29,94","28,02","50,04K","4,34%"
"01.03.2015","28,45","29,57","29,85","28,00","34,12K","-3,85%"
"01.04.2015","25,40","28,44","28,63","25,20","35,68K","-10,72%"
"01.05.2015","25,98","25,35","25,65","25,26","9,51K","2,28%"
"01.06.2015","27,70","24,75","24,75","24,75","0,04K","6,62%"
"01.07.2015","26,83","25,99","28,05","25,99","34,43K","-3,14%"
"01.08.2015","29,67","26,72","29,93","26,72","49,13K","10,59%"
"01.09.2015","35,58","29,60","37,00","29,51","41,45K","19,92%"
"01.10.2015","34,58","35,53","35,89","33,29","28,10K","-2,81%"
"01.11.2015","35,64","34,60","35,74","33,70","15,56K","3,07%"
"01.12.2015","37,25","35,70","37,36","35,02","17,00K","4,52%"
"01.01.2016","39,80","37,14","43,40","37,13","16,63K","6,85%"
"01.02.2016","44,02","39,85","44,08","39,61","19,51K","10,60%"
"01.03.2016","44,89","44,15","48,89","43,01","28,54K","1,98%"
"01.04.2016","49,80","44,93","50,14","44,56","20,20K","10,94%"
"01.05.2016","45,85","49,80","51,80","36,50","9,11K","-7,93%"
"01.06.2016","39,00","45,89","48,00","38,76","16,12K","-14,94%"
"01.07.2016","47,32","38,90","48,99","38,90","45,58K","21,33%"
"01.08.2016","40,51","47,40","47,99","40,41","41,53K","-14,39%"
"01.09.2016","42,74","40,36","43,89","39,80","27,74K","5,50%"
"01.10.2016","41,33","42,80","44,40","38,75","30,59K","-3,30%"
"01.11.2016","37,48","41,45","41,78","36,91","21,74K","-9,32%"
"01.12.2016","37,93","37,59","39,55","37,59","24,63K","1,20%"
"01.01.2017","34,35","37,92","38,39","33,85","31,46K","-9,44%"
"01.02.2017","34,55","34,75","35,46","33,66","32,55K","0,58%"
"01.03.2017","28,53","34,75","35,95","27,74","39,69K","-17,42%"
"01.04.2017","28,12","28,67","28,75","26,60","31,06K","-1,44%"
"01.05.2017","26,60","28,16","28,39","26,60","7,68K","-5,41%"
"01.06.2017","25,55","26,00","26,85","25,25","1,18K","-3,95%"
"01.07.2017","26,15","25,10","27,09","25,10","20,16K","2,35%"
"01.08.2017","27,62","26,00","29,10","25,61","55,96K","5,62%"
"01.09.2017","30,63","27,65","32,60","27,43","52,36K","10,90%"
"01.10.2017","31,88","30,65","33,09","30,45","42,20K","4,08%"
"01.11.2017","32,19","31,98","32,90","31,19","46,36K","0,97%"
"01.12.2017","33,40","32,25","33,64","31,95","24,87K","3,76%"
"01.01.2018","33,03","33,45","33,50","31,68","29,53K","-1,11%"
"01.02.2018","39,30","33,13","40,36","33,10","47,60K","18,98%"
"01.03.2018","37,58","39,37","43,29","37,20","59,58K","-4,38%"
"01.04.2018","40,09","37,57","40,80","37,57","58,63K","6,68%"
"01.05.2018","43,16","40,08","43,65","40,08","21,15K","7,66%"
"01.06.2018","37,00","43,95","43,95","36,21","0,68K","-14,27%"
"01.07.2018","41,10","36,81","41,30","36,10","29,84K","11,08%"
"01.08.2018","40,57","41,08","42,86","40,25","55,22K","-1,29%"
"01.09.2018","39,82","40,60","41,05","39,25","28,79K","-1,85%"
"01.10.2018","35,40","39,87","40,39","34,20","37,26K","-11,10%"
"01.11.2018","36,79","35,39","39,14","34,95","21,60K","3,93%"
"01.12.2018","39,50","36,96","39,90","36,70","17,40K","7,37%"
"01.01.2019","40,96","39,58","41,28","38,25","24,78K","3,70%"
"01.02.2019","42,41","40,91","42,64","40,25","31,66K","3,54%"
"01.03.2019","36,50","42,54","42,68","35,50","36,52K","-13,94%"
"01.04.2019","31,73","36,41","36,79","31,51","56,45K","-13,07%"
"01.05.2019","38,28","31,50","39,39","31,38","18,95K","20,64%"
"01.06.2019","37,20","38,38","39,20","35,66","6,64K","-2,82%"
"01.07.2019","36,60","37,21","38,10","36,31","26,89K","-1,61%"
"01.08.2019","37,28","36,56","38,90","36,01","46,05K","1,86%"
"01.09.2019","40,50","37,29","40,60","36,40","40,86K","8,64%"
"01.10.2019","42,61","40,52","44,10","39,95","56,05K","5,21%"
"01.11.2019","49,25","42,53","49,48","41,70","38,27K","15,58%"
"01.12.2019","49,01","49,30","50,26","47,63","22,07K","-0,49%"
"01.01.2020","48,99","49,45","52,95","48,44","35,77K","-0,04%"
"01.02.2020","53,43","49,08","53,55","47,95","44,84K","9,06%"
"01.03.2020","50,69","54,25","57,81","46,75","66,34K","-5,13%"
"01.04.2020","47,23","49,65","49,65","45,20","64,81K","-6,83%"
"01.05.2020","45,08","48,04","50,76","44,57","25,45K","-4,55%"
"01.06.2020","48,10","44,80","48,53","43,37","10,72K","6,70%"
"01.07.2020","50,98","48,80","51,20","46,87","53,32K","5,99%"
"01.08.2020","60,59","52,76","61,54","51,75","106,44K","18,85%"
"01.09.2020","66,46","59,50","66,90","55,79","88,32K","9,69%"
"01.10.2020","79,63","66,41","85,85","66,00","148,07K","19,82%"
"01.11.2020","78,04","79,60","84,10","76,10","66,32K","-2,00%"
"01.12.2020","82,76","77,99","83,68","67,30","101,16K","6,05%"
"01.01.2021","86,78","82,70","89,74","80,80","74,09K","4,86%"
"01.02.2021","88,28","86,76","89,10","84,21","71,96K","1,73%"
"01.03.2021","96,59","88,00","96,85","87,55","81,41K","9,41%"
"01.04.2021","103,20","97,43","107,20","97,21","116,33K","6,84%"
"01.05.2021","95,84","104,80","104,89","91,50","79,43K","-7,13%"
"01.06.2021","89,15","97,35","97,35","80,07","103,81K","-6,98%"
"01.07.2021","99,38","91,79","103,09","91,35","139,78K","11,48%"
"01.08.2021","91,62","98,70","100,33","91,62","177,15K","-7,81%"
"01.09.2021","91,97","90,67","94,00","90,51","112,68K","0,38%"
"01.10.2021","88,44","91,11","91,35","87,53","134,55K","-3,84%"
"01.11.2021","88,77","90,30","90,30","83,17","125,09K","0,37%"
"01.12.2021","88,67","90,47","94,80","88,86","166,87K","-0,11%"
"01.01.2022","98,75","91,39","101,05","91,16","115,17K","11,37%"
"01.02.2022","97,40","98,35","99,77","96,61","154,95K","-1,37%"
"01.03.2022","91,31","99,93","103,62","86,36","214,37K","-6,25%"
"01.04.2022","92,26","89,44","95,30","86,01","177,88K","1,04%"
"01.05.2022","88,42","91,94","95,00","86,15","107,02K","-4,16%"
"01.06.2022","84,64","87,11","91,90","84,21","78,77K","-4,28%"
"01.07.2022","86,11","84,38","90,10","81,90","166,09K","1,74%"
"01.08.2022","85,50","85,80","89,36","84,25","209,62K","-0,71%"
"01.09.2022","89,76","85,54","90,87","83,49","97,93K","4,98%"
"01.10.2022","86,60","89,85","89,94","85,52","106,32K","-3,52%"
"01.11.2022","88,47","86,52","90,80","83,94","106,20K","2,16%"
"01.12.2022","89,83","88,32","90,11","86,68","84,24K","1,54%"
