"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","27,94","27,94","27,94","27,94","","0,76%"
"01.02.2012","30,13","30,13","30,13","30,13","","7,84%"
"01.03.2012","31,29","30,45","31,39","30,45","0,80K","3,85%"
"01.04.2012","33,51","31,29","33,35","31,25","5,93K","7,09%"
"01.05.2012","31,00","31,35","31,39","30,90","0,15K","-7,49%"
"01.06.2012","32,67","32,67","32,67","32,67","2,99K","5,39%"
"01.07.2012","37,94","34,00","36,39","34,00","0,01K","16,13%"
"01.08.2012","38,72","38,72","38,72","38,72","1,71K","2,06%"
"01.09.2012","34,63","34,63","34,63","34,63","0,11K","-10,56%"
"01.10.2012","34,47","34,47","34,47","34,47","0,08K","-0,46%"
"01.11.2012","30,97","30,97","30,97","30,97","0,06K","-10,15%"
"01.12.2012","32,46","32,46","32,46","32,46","0,06K","4,81%"
"01.01.2013","32,37","30,56","31,00","29,94","0,03K","-0,26%"
"01.02.2013","32,02","32,91","32,91","31,50","0,14K","-1,11%"
"01.03.2013","30,97","31,75","32,60","30,95","3,43K","-3,27%"
"01.04.2013","30,84","30,85","32,32","29,90","2,53K","-0,41%"
"01.05.2013","33,29","30,35","34,00","30,20","1,96K","7,94%"
"01.06.2013","31,55","33,69","34,25","31,35","1,04K","-5,23%"
"01.07.2013","27,55","31,95","33,50","27,60","3,45K","-12,68%"
"01.08.2013","29,93","27,40","31,95","26,25","0,95K","8,64%"
"01.09.2013","28,28","31,01","31,01","28,27","2,33K","-5,51%"
"01.10.2013","27,92","28,02","29,10","27,90","1,65K","-1,27%"
"01.11.2013","29,46","27,85","29,50","27,48","0,83K","5,52%"
"01.12.2013","28,85","29,55","29,78","28,95","0,75K","-2,07%"
"01.01.2014","28,28","28,05","29,33","27,75","1,33K","-1,98%"
"01.02.2014","31,17","28,35","31,44","28,35","0,49K","10,22%"
"01.03.2014","32,28","31,19","32,32","30,15","3,43K","3,56%"
"01.04.2014","33,35","32,57","33,45","32,10","2,45K","3,31%"
"01.05.2014","32,92","32,38","33,82","31,82","5,87K","-1,29%"
"01.06.2014","29,32","32,81","33,30","29,10","2,73K","-10,94%"
"01.07.2014","24,24","29,13","29,33","24,27","2,33K","-17,33%"
"01.08.2014","22,58","23,90","25,70","22,53","0,99K","-6,85%"
"01.09.2014","20,13","22,72","22,86","20,10","2,24K","-10,85%"
"01.10.2014","23,13","20,10","23,15","19,94","2,12K","14,90%"
"01.11.2014","22,40","23,02","23,94","22,07","0,83K","-3,16%"
"01.12.2014","23,02","22,38","23,17","21,82","0,13K","2,77%"
"01.01.2015","21,19","23,10","23,38","21,10","0,17K","-7,95%"
"01.02.2015","22,75","21,33","22,85","21,33","0,28K","7,36%"
"01.03.2015","21,46","22,75","22,83","21,06","2,75K","-5,67%"
"01.04.2015","21,52","21,57","21,94","20,83","2,82K","0,28%"
"01.05.2015","20,59","21,41","21,85","20,34","1,39K","-4,32%"
"01.06.2015","23,14","20,55","23,17","20,40","2,65K","12,38%"
"01.07.2015","21,02","23,11","23,11","21,05","0,52K","-9,16%"
"01.08.2015","19,57","20,93","21,90","19,34","0,55K","-6,90%"
"01.09.2015","19,66","19,38","19,83","18,90","1,11K","0,46%"
"01.10.2015","19,53","19,70","20,25","19,17","1,91K","-0,66%"
"01.11.2015","19,42","19,45","19,50","18,73","0,46K","-0,56%"
"01.12.2015","19,19","19,54","19,98","19,07","0,57K","-1,18%"
"01.01.2016","19,45","18,88","19,49","18,82","1,20K","1,35%"
"01.02.2016","18,98","19,53","19,58","18,84","1,52K","-2,42%"
"01.03.2016","20,08","19,04","20,18","18,90","3,96K","5,80%"
"01.04.2016","22,70","20,14","22,85","19,88","4,45K","13,05%"
"01.05.2016","23,78","22,62","24,14","22,31","9,02K","4,76%"
"01.06.2016","25,89","23,99","26,60","23,99","5,81K","8,87%"
"01.07.2016","22,49","25,73","25,73","21,69","3,26K","-13,13%"
"01.08.2016","20,79","22,10","22,82","20,67","1,25K","-7,56%"
"01.09.2016","21,03","20,71","21,92","20,57","1,78K","1,17%"
"01.10.2016","22,30","21,04","22,46","20,70","1,77K","6,05%"
"01.11.2016","22,76","22,20","23,33","21,55","2,72K","2,03%"
"01.12.2016","22,33","22,90","23,36","21,79","1,84K","-1,89%"
"01.01.2017","22,59","22,05","23,79","21,95","2,00K","1,16%"
"01.02.2017","22,58","22,66","23,40","22,50","0,68K","-0,02%"
"01.03.2017","20,86","22,92","23,22","20,85","3,42K","-7,64%"
"01.04.2017","21,08","20,93","21,15","20,50","1,03K","1,08%"
"01.05.2017","20,19","21,50","21,75","20,09","2,69K","-4,21%"
"01.06.2017","20,88","20,16","20,92","19,86","4,54K","3,38%"
"01.07.2017","22,03","21,35","22,64","21,32","1,91K","5,54%"
"01.08.2017","20,84","21,74","21,74","20,23","0,81K","-5,43%"
"01.09.2017","21,35","20,95","21,75","20,74","2,49K","2,43%"
"01.10.2017","21,71","21,14","22,10","21,00","1,65K","1,70%"
"01.11.2017","21,73","21,79","22,00","21,72","0,47K","0,10%"
"01.12.2017","21,09","21,09","21,09","21,09","","-2,94%"
"01.01.2018","21,95","21,95","21,95","21,95","","4,08%"
"01.02.2018","23,27","23,27","23,27","23,27","","6,00%"
"01.03.2018","23,03","23,03","23,03","23,03","","-1,02%"
"01.04.2018","23,12","23,12","23,12","23,12","","0,36%"
"01.05.2018","22,55","22,44","22,45","21,87","1,33K","-2,43%"
"01.06.2018","19,04","19,04","19,04","19,04","","-15,59%"
"01.07.2018","20,03","20,03","20,03","20,03","","5,24%"
"01.08.2018","18,60","18,60","18,60","18,60","","-7,18%"
"01.09.2018","18,64","18,64","18,64","18,64","","0,24%"
"01.10.2018","18,78","18,78","18,78","18,78","","0,74%"
"01.11.2018","19,73","19,73","19,73","19,73","","5,05%"
