"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","1.207,50","1.245,75","1.252,25","1.177,25","8,95K","-1,27%"
"01.02.2012","1.300,50","1.221,50","1.305,25","1.217,00","10,79K","7,70%"
"01.03.2012","1.358,00","1.295,50","1.370,00","1.290,00","425,65K","4,42%"
"01.04.2012","1.381,00","1.360,00","1.397,00","1.332,00","947,37K","1,69%"
"01.05.2012","1.273,25","1.378,00","1.394,50","1.251,00","682,24K","-7,80%"
"01.06.2012","1.426,50","1.273,50","1.437,25","1.249,50","172,23K","12,04%"
"01.07.2012","1.533,50","1.441,00","1.570,00","1.408,00","309,24K","7,50%"
"01.08.2012","1.590,00","1.533,25","1.590,00","1.450,00","221,72K","3,68%"
"01.09.2012","1.496,75","1.598,75","1.639,50","1.445,75","174,63K","-5,86%"
"01.10.2012","1.460,75","1.493,25","1.497,00","1.410,50","198,95K","-2,41%"
"01.11.2012","1.376,25","1.460,75","1.480,50","1.312,00","105,30K","-5,78%"
"01.12.2012","1.373,25","1.379,75","1.430,50","1.356,75","6,05K","-0,22%"
"01.01.2013","1.367,75","1.392,50","1.392,50","1.317,00","13,58K","-0,40%"
"01.02.2013","1.316,75","1.368,75","1.395,75","1.294,50","22,13K","-3,73%"
"01.03.2013","1.251,50","1.315,00","1.338,75","1.247,50","234,05K","-4,96%"
"01.04.2013","1.223,50","1.250,00","1.262,75","1.186,50","594,83K","-2,24%"
"01.05.2013","1.310,00","1.222,50","1.319,50","1.197,25","360,95K","7,07%"
"01.06.2013","1.256,75","1.305,25","1.337,00","1.255,50","112,73K","-4,06%"
"01.07.2013","1.212,75","1.250,00","1.301,00","1.200,00","131,59K","-3,50%"
"01.08.2013","1.311,75","1.208,75","1.335,75","1.174,00","264,30K","8,16%"
"01.09.2013","1.241,75","1.337,25","1.349,00","1.240,00","163,98K","-5,34%"
"01.10.2013","1.234,75","1.237,75","1.269,00","1.224,00","198,44K","-0,56%"
"01.11.2013","1.259,00","1.234,75","1.280,00","1.221,00","120,82K","1,96%"
"01.12.2013","1.234,50","1.260,25","1.275,25","1.232,25","5,54K","-1,95%"
"01.01.2014","1.144,50","1.230,00","1.236,25","1.130,25","10,18K","-7,29%"
"01.02.2014","1.233,75","1.145,50","1.249,50","1.141,50","22,10K","7,80%"
"01.03.2014","1.187,25","1.236,75","1.265,50","1.165,50","258,35K","-3,77%"
"01.04.2014","1.246,75","1.185,00","1.249,25","1.182,00","592,60K","5,01%"
"01.05.2014","1.239,50","1.245,25","1.284,00","1.206,75","350,32K","-0,58%"
"01.06.2014","1.164,00","1.230,50","1.252,00","1.158,25","107,21K","-6,09%"
"01.07.2014","1.097,50","1.159,00","1.165,00","1.072,00","210,02K","-5,71%"
"01.08.2014","1.046,25","1.094,00","1.104,75","1.040,00","143,97K","-4,67%"
"01.09.2014","944,50","1.044,50","1.057,75","936,50","185,64K","-9,73%"
"01.10.2014","1.062,75","942,25","1.078,50","935,25","403,61K","12,52%"
"01.11.2014","1.032,75","1.057,00","1.097,00","1.010,50","210,30K","-2,82%"
"01.12.2014","1.035,50","1.026,25","1.077,00","1.006,00","6,92K","0,27%"
"01.01.2015","956,75","1.030,50","1.067,25","952,25","14,49K","-7,61%"
"01.02.2015","1.012,00","957,50","1.017,25","954,00","7,44K","5,77%"
"01.03.2015","955,25","1.012,00","1.018,00","933,00","279,15K","-5,61%"
"01.04.2015","952,25","955,50","978,75","936,00","615,09K","-0,31%"
"01.05.2015","912,75","952,50","961,75","905,50","438,37K","-4,15%"
"01.06.2015","1.042,25","909,50","1.043,00","903,00","222,01K","14,19%"
"01.07.2015","944,25","1.039,75","1.050,25","936,00","236,10K","-9,40%"
"01.08.2015","896,50","942,75","994,25","861,00","246,05K","-5,06%"
"01.09.2015","904,25","895,75","913,25","862,50","163,20K","0,86%"
"01.10.2015","900,25","903,50","934,75","885,25","218,02K","-0,44%"
"01.11.2015","897,00","901,75","903,75","861,00","124,90K","-0,36%"
"01.12.2015","879,50","898,00","922,25","869,25","20,76K","-1,95%"
"01.01.2016","890,75","875,50","893,75","866,00","22,44K","1,28%"
"01.02.2016","870,25","887,00","896,25","868,75","21,77K","-2,30%"
"01.03.2016","924,75","871,25","929,50","864,75","287,80K","6,26%"
"01.04.2016","1.007,75","923,50","1.023,50","916,00","1,40M","8,98%"
"01.05.2016","1.053,00","1.007,00","1.079,75","997,00","857,57K","4,49%"
"01.06.2016","1.148,25","1.052,25","1.182,00","1.042,50","173,78K","9,05%"
"01.07.2016","992,00","1.146,00","1.151,75","952,25","257,34K","-13,61%"
"01.08.2016","951,25","980,25","1.011,00","938,00","153,49K","-4,11%"
"01.09.2016","977,25","951,50","1.010,25","946,00","140,69K","2,73%"
"01.10.2016","1.028,50","976,25","1.046,50","965,25","236,52K","5,24%"
"01.11.2016","1.051,00","1.028,00","1.079,00","997,25","127,95K","2,19%"
"01.12.2016","1.017,75","1.050,50","1.077,00","1.010,25","13,31K","-3,16%"
"01.01.2017","1.019,50","1.019,50","1.061,75","1.008,75","21,67K","0,17%"
"01.02.2017","1.029,50","1.017,00","1.056,00","1.012,75","16,88K","0,98%"
"01.03.2017","954,00","1.033,75","1.044,50","949,50","270,41K","-7,33%"
"01.04.2017","953,25","954,75","968,50","941,50","488,60K","-0,08%"
"01.05.2017","926,25","956,75","980,00","923,50","380,26K","-2,83%"
"01.06.2017","962,50","926,50","965,25","915,25","140,05K","3,91%"
"01.07.2017","1.020,50","970,00","1.054,25","967,00","267,08K","6,03%"
"01.08.2017","972,75","1.011,00","1.014,25","945,25","161,32K","-4,68%"
"01.09.2017","1.002,50","973,25","1.020,00","965,00","133,26K","3,06%"
"01.10.2017","1.012,25","1.001,00","1.038,50","989,00","181,79K","0,97%"
"01.11.2017","1.018,00","1.012,25","1.035,00","996,50","116,57K","0,57%"
"01.12.2017","986,00","1.018,75","1.045,00","979,50","11,84K","-3,14%"
"01.01.2018","1.012,25","990,75","1.019,00","968,25","29,89K","2,66%"
"01.02.2018","1.045,50","1.009,25","1.048,75","988,50","28,29K","3,28%"
"01.03.2018","1.047,75","1.044,50","1.063,25","1.009,75","383,45K","0,22%"
"01.04.2018","1.044,75","1.048,00","1.060,00","997,75","981,03K","-0,29%"
"01.05.2018","1.039,75","1.044,75","1.063,25","1.006,50","556,90K","-0,48%"
"01.06.2018","889,00","1.044,00","1.047,25","874,00","275,85K","-14,50%"
"01.07.2018","938,50","891,25","941,75","837,25","232,95K","5,57%"
"01.08.2018","881,50","931,00","939,00","867,75","193,06K","-6,07%"
"01.09.2018","896,00","883,25","909,75","860,25","139,88K","1,64%"
"01.10.2018","891,25","896,00","941,75","883,75","223,26K","-0,53%"
"01.11.2018","936,75","889,50","941,50","885,25","118,32K","5,11%"
"01.12.2018","925,25","956,50","968,00","911,50","11,21K","-1,23%"
"01.01.2019","949,50","923,75","959,50","923,75","26,75K","2,62%"
"01.02.2019","934,25","956,75","963,75","930,00","21,11K","-1,61%"
"01.03.2019","919,00","934,25","948,00","913,50","214,70K","-1,63%"
"01.04.2019","874,75","918,25","940,25","872,25","469,81K","-4,82%"
"01.05.2019","916,00","874,50","929,75","815,50","559,86K","4,72%"
"01.06.2019","934,50","914,00","959,00","888,75","211,88K","2,02%"
"01.07.2019","908,50","945,00","956,25","902,25","200,16K","-2,78%"
"01.08.2019","904,50","907,25","922,25","880,75","178,31K","-0,44%"
"01.09.2019","947,00","902,50","948,25","891,00","169,95K","4,70%"
"01.10.2019","967,25","945,00","985,50","944,75","337,95K","2,14%"
"01.11.2019","923,00","965,75","976,50","922,75","140,10K","-4,57%"
"01.12.2019","983,00","923,75","983,25","916,50","24,61K","6,50%"
"01.01.2020","906,50","983,25","987,50","906,50","42,64K","-7,78%"
"01.02.2020","904,25","905,00","923,25","895,25","45,39K","-0,25%"
"01.03.2020","877,50","903,25","920,00","836,75","423,57K","-2,96%"
"01.04.2020","857,75","877,75","882,25","831,00","586,30K","-2,25%"
"01.05.2020","855,50","856,50","865,00","838,50","437,80K","-0,26%"
"01.06.2020","884,75","858,50","889,75","850,25","236,58K","3,42%"
"01.07.2020","895,50","884,75","916,25","877,25","280,28K","1,22%"
"01.08.2020","960,50","895,25","971,75","875,00","307,73K","7,26%"
"01.09.2020","1.022,75","958,50","1.037,50","952,00","284,30K","6,48%"
"01.10.2020","1.043,25","1.022,00","1.064,75","1.013,50","332,58K","2,00%"
"01.11.2020","1.145,00","1.040,50","1.171,50","1.035,25","217,14K","9,75%"
"01.12.2020","1.258,50","1.146,00","1.266,75","1.120,25","33,05K","9,91%"
"01.01.2021","1.199,50","1.267,25","1.363,75","1.147,50","42,98K","-4,69%"
"01.02.2021","1.266,50","1.207,00","1.302,50","1.188,00","24,77K","5,59%"
"01.03.2021","1.256,25","1.274,00","1.314,50","1.184,00","303,48K","-0,81%"
"01.04.2021","1.339,75","1.268,00","1.384,75","1.242,75","795,73K","6,65%"
"01.05.2021","1.373,00","1.349,25","1.461,00","1.327,00","656,54K","2,48%"
"01.06.2021","1.399,75","1.388,25","1.479,00","1.244,75","235,30K","1,95%"
"01.07.2021","1.347,75","1.403,00","1.425,00","1.305,00","189,55K","-3,71%"
"01.08.2021","1.310,75","1.347,50","1.372,25","1.286,75","190,20K","-2,75%"
"01.09.2021","1.281,75","1.311,75","1.325,25","1.275,25","126,29K","-2,21%"
"01.10.2021","1.273,50","1.281,00","1.297,00","1.222,75","185,31K","-0,64%"
"01.11.2021","1.237,75","1.272,50","1.307,25","1.213,50","118,42K","-2,81%"
"01.12.2021","1.337,25","1.247,50","1.370,00","1.236,25","22,51K","8,04%"
"01.01.2022","1.400,50","1.352,00","1.403,75","1.301,25","32,22K","4,73%"
"01.02.2022","1.487,00","1.402,00","1.600,00","1.397,50","38,55K","6,18%"
"01.03.2022","1.420,50","1.498,00","1.550,75","1.418,25","282,66K","-4,47%"
"01.04.2022","1.514,75","1.419,50","1.541,25","1.394,00","596,25K","6,63%"
"01.05.2022","1.514,25","1.513,75","1.564,00","1.438,25","405,02K","-0,03%"
"01.06.2022","1.462,25","1.516,25","1.587,75","1.404,25","203,07K","-3,43%"
"01.07.2022","1.469,00","1.467,25","1.487,25","1.299,00","237,29K","0,46%"
"01.08.2022","1.431,50","1.477,00","1.485,50","1.365,25","209,14K","-2,55%"
"01.09.2022","1.393,00","1.430,50","1.504,00","1.384,50","195,58K","-2,69%"
"01.10.2022","1.438,25","1.391,00","1.441,00","1.384,50","241,66K","3,25%"
"01.11.2022","1.465,75","1.433,75","1.484,75","1.408,75","160,34K","1,91%"
"01.12.2022","1.507,25","1.458,50","1.518,50","1.425,50","33,84K","2,83%"
"01.01.2023","1.399,50","1.507,00","1.509,50","1.364,00","38,87K","-7,15%"
"01.02.2023","1.374,75","1.398,75","1.435,50","1.373,50","31,38K","-1,77%"
"01.03.2023","1.319,75","1.375,00","1.419,00","1.247,50","510,34K","-4,00%"
"01.04.2023","1.263,50","1.324,25","1.338,75","1.251,25","749,66K","-4,26%"
"01.05.2023","1.157,00","1.262,50","1.285,75","1.141,50","561,20K","-8,43%"
"01.06.2023","1.346,75","1.155,25","1.384,75","1.155,25","395,86K","16,40%"
"01.07.2023","1.336,25","1.346,50","1.428,25","1.322,50","375,36K","-0,78%"
"01.08.2023","1.386,75","1.336,75","1.419,25","1.294,75","320,53K","3,78%"
"01.09.2023","1.327,25","1.386,25","1.405,00","1.323,00","249,35K","-4,29%"
"01.10.2023","1.346,00","1.324,50","1.364,25","1.302,25","363,69K","1,41%"
"01.11.2023","1.358,25","1.347,00","1.415,75","1.338,50","235,12K","0,91%"
"01.12.2023","1.294,75","1.355,75","1.356,25","1.293,25","41,19K","-4,68%"
"01.01.2024","1.205,25","1.288,25","1.288,25","1.178,00","68,06K","-6,91%"
"01.02.2024","1.138,75","1.201,75","1.203,75","1.128,75","68,22K","-5,52%"
"01.03.2024","1.186,25","1.136,50","1.216,00","1.135,75","377,74K","4,17%"
"01.04.2024","1.159,50","1.190,25","1.195,00","1.146,75","701,01K","-2,26%"
"01.05.2024","1.197,50","1.156,50","1.238,25","1.153,75","708,00K","3,28%"
"01.06.2024","1.118,00","1.194,75","1.198,00","1.114,00","308,87K","-6,64%"
"01.07.2024","1.054,50","1.117,00","1.147,50","1.047,25","461,77K","-5,68%"
"01.08.2024","1.045,25","1.055,50","1.071,75","989,25","311,88K","-0,88%"
"01.09.2024","1.110,75","1.044,50","1.120,75","1.041,25","216,07K","6,27%"
"01.10.2024","1.038,75","1.109,00","1.119,75","1.019,50","354,35K","-6,48%"
