"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","1.199,00","1.223,75","1.235,00","1.150,00","1,09M","0,04%"
"01.02.2012","1.313,50","1.202,00","1.317,50","1.202,00","1,98M","9,55%"
"01.03.2012","1.403,00","1.307,75","1.416,00","1.300,00","1,31M","6,81%"
"01.04.2012","1.503,00","1.407,00","1.509,00","1.403,75","1,73M","7,13%"
"01.05.2012","1.340,00","1.500,25","1.508,25","1.339,50","1,24M","-10,84%"
"01.06.2012","1.512,75","1.340,75","1.517,75","1.317,50","1,70M","12,89%"
"01.07.2012","1.721,00","1.526,00","1.777,75","1.522,50","454,93K","13,77%"
"01.08.2012","1.764,50","1.721,00","1.780,75","1.602,00","169,97K","2,53%"
"01.09.2012","1.601,00","1.778,50","1.794,75","1.557,50","1,52M","-9,27%"
"01.10.2012","1.547,00","1.596,50","1.600,00","1.485,75","2,82M","-3,37%"
"01.11.2012","1.438,75","1.547,00","1.570,25","1.372,25","942,35K","-7,00%"
"01.12.2012","1.418,75","1.443,75","1.508,75","1.402,75","1,82M","-1,39%"
"01.01.2013","1.468,50","1.437,00","1.484,25","1.378,00","1,25M","3,51%"
"01.02.2013","1.474,25","1.470,00","1.516,50","1.404,50","1,94M","0,39%"
"01.03.2013","1.404,75","1.473,50","1.518,00","1.397,00","935,78K","-4,71%"
"01.04.2013","1.467,75","1.401,50","1.488,75","1.354,50","1,85M","4,48%"
"01.05.2013","1.510,00","1.466,25","1.546,75","1.402,25","1,29M","2,88%"
"01.06.2013","1.564,50","1.509,50","1.574,50","1.485,50","1,34M","3,61%"
"01.07.2013","1.374,00","1.565,50","1.630,00","1.328,75","371,25K","-12,18%"
"01.08.2013","1.424,00","1.371,75","1.453,75","1.271,00","170,41K","3,64%"
"01.09.2013","1.282,75","1.454,00","1.499,50","1.280,00","1,18M","-9,92%"
"01.10.2013","1.280,25","1.278,50","1.318,75","1.261,75","2,62M","-0,19%"
"01.11.2013","1.336,50","1.280,00","1.341,00","1.255,00","1,01M","4,39%"
"01.12.2013","1.312,50","1.335,75","1.353,50","1.309,00","1,82M","-1,80%"
"01.01.2014","1.282,75","1.312,50","1.339,00","1.260,00","1,19M","-2,27%"
"01.02.2014","1.414,25","1.281,75","1.452,25","1.278,50","1,85M","10,25%"
"01.03.2014","1.464,00","1.418,50","1.466,50","1.363,50","901,07K","3,52%"
"01.04.2014","1.530,75","1.463,00","1.532,00","1.456,00","1,63M","4,56%"
"01.05.2014","1.493,25","1.528,00","1.536,75","1.443,75","898,36K","-2,45%"
"01.06.2014","1.400,50","1.488,00","1.511,75","1.372,75","1,58M","-6,21%"
"01.07.2014","1.224,50","1.400,50","1.410,00","1.153,25","318,92K","-12,57%"
"01.08.2014","1.089,50","1.224,25","1.336,25","1.064,25","152,85K","-11,02%"
"01.09.2014","913,25","1.090,25","1.110,50","905,50","1,30M","-16,18%"
"01.10.2014","1.046,50","911,00","1.053,75","904,00","3,33M","14,59%"
"01.11.2014","1.016,00","1.043,00","1.086,75","996,00","889,36K","-2,91%"
