"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","1.216,00","1.251,00","1.263,00","1.170,50","239,10K","-0,90%"
"01.02.2012","1.317,00","1.224,00","1.321,25","1.224,00","11,91K","8,31%"
"01.03.2012","1.376,00","1.310,25","1.388,75","1.307,00","25,37K","4,48%"
"01.04.2012","1.424,50","1.383,50","1.425,50","1.363,75","64,87K","3,52%"
"01.05.2012","1.270,25","1.422,00","1.434,50","1.251,25","700,95K","-10,83%"
"01.06.2012","1.427,75","1.270,25","1.439,75","1.244,75","1,95M","12,40%"
"01.07.2012","1.632,25","1.445,25","1.673,00","1.430,50","1,42M","14,32%"
"01.08.2012","1.684,25","1.632,25","1.686,25","1.518,00","278,86K","3,19%"
"01.09.2012","1.521,50","1.697,00","1.728,25","1.464,50","249,23K","-9,66%"
"01.10.2012","1.478,25","1.522,00","1.522,00","1.418,25","199,91K","-2,84%"
"01.11.2012","1.400,50","1.478,75","1.499,25","1.331,75","229,67K","-5,26%"
"01.12.2012","1.395,25","1.405,50","1.462,25","1.383,50","213,71K","-0,37%"
"01.01.2013","1.419,25","1.411,00","1.430,75","1.339,00","186,27K","1,72%"
"01.02.2013","1.391,75","1.419,75","1.450,00","1.352,00","16,20K","-1,94%"
"01.03.2013","1.285,00","1.389,25","1.421,25","1.281,50","18,96K","-7,67%"
"01.04.2013","1.264,75","1.281,00","1.295,00","1.221,75","42,94K","-1,58%"
"01.05.2013","1.304,25","1.264,75","1.314,75","1.205,75","744,06K","3,12%"
"01.06.2013","1.252,00","1.300,50","1.333,00","1.247,00","1,63M","-4,01%"
"01.07.2013","1.211,00","1.244,00","1.302,00","1.199,00","865,72K","-3,27%"
"01.08.2013","1.334,25","1.208,75","1.371,50","1.169,00","325,08K","10,18%"
"01.09.2013","1.248,50","1.364,00","1.377,75","1.247,25","222,59K","-6,43%"
"01.10.2013","1.238,75","1.245,25","1.273,75","1.228,75","223,33K","-0,78%"
"01.11.2013","1.288,00","1.238,75","1.292,75","1.224,00","310,61K","3,98%"
"01.12.2013","1.264,50","1.287,75","1.309,75","1.260,50","223,50K","-1,82%"
"01.01.2014","1.210,50","1.265,00","1.276,25","1.195,75","204,40K","-4,27%"
"01.02.2014","1.331,00","1.210,00","1.354,50","1.207,00","32,57K","9,95%"
"01.03.2014","1.248,00","1.337,00","1.376,75","1.224,25","42,84K","-6,24%"
