"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","1.218,00","1.238,00","1.253,75","1.160,00","512,50K","0,04%"
"01.02.2012","1.327,75","1.220,75","1.331,75","1.220,75","666,27K","9,01%"
"01.03.2012","1.400,50","1.323,25","1.413,00","1.313,75","418,55K","5,48%"
"01.04.2012","1.483,75","1.407,75","1.483,75","1.398,00","140,00K","5,94%"
"01.05.2012","1.293,75","1.480,00","1.492,00","1.287,50","145,13K","-12,81%"
"01.06.2012","1.450,25","1.295,50","1.455,00","1.271,50","116,77K","12,10%"
"01.07.2012","1.641,00","1.462,75","1.691,50","1.454,00","1,92M","13,15%"
"01.08.2012","1.751,00","1.641,25","1.763,25","1.555,25","1,38M","6,70%"
"01.09.2012","1.564,25","1.765,75","1.781,50","1.508,50","420,16K","-10,67%"
"01.10.2012","1.523,75","1.559,25","1.562,50","1.457,00","382,19K","-2,59%"
"01.11.2012","1.409,75","1.523,75","1.545,00","1.337,75","379,63K","-7,48%"
"01.12.2012","1.399,25","1.415,00","1.481,00","1.388,25","313,24K","-0,74%"
"01.01.2013","1.449,50","1.418,00","1.463,00","1.344,00","525,23K","3,59%"
"01.02.2013","1.435,25","1.450,25","1.483,50","1.384,50","614,86K","-0,98%"
"01.03.2013","1.346,75","1.435,25","1.463,50","1.339,75","397,07K","-6,17%"
"01.04.2013","1.339,75","1.342,00","1.358,75","1.282,00","59,24K","-0,52%"
"01.05.2013","1.347,25","1.337,25","1.358,00","1.257,75","107,44K","0,56%"
"01.06.2013","1.303,25","1.342,25","1.377,00","1.296,25","78,35K","-3,27%"
"01.07.2013","1.206,25","1.295,75","1.339,50","1.194,25","1,36M","-7,44%"
"01.08.2013","1.354,75","1.202,75","1.406,00","1.162,50","1,31M","12,31%"
"01.09.2013","1.267,00","1.390,00","1.403,50","1.265,25","347,42K","-6,48%"
"01.10.2013","1.250,25","1.262,75","1.294,25","1.247,75","399,31K","-1,32%"
"01.11.2013","1.297,75","1.250,25","1.304,00","1.233,25","453,65K","3,80%"
"01.12.2013","1.277,00","1.296,75","1.324,25","1.273,00","400,66K","-1,60%"
"01.01.2014","1.252,00","1.277,25","1.295,00","1.234,00","559,44K","-1,96%"
"01.02.2014","1.385,25","1.250,50","1.416,75","1.248,75","722,31K","10,64%"
"01.03.2014","1.361,00","1.388,00","1.429,00","1.315,00","542,24K","-1,75%"
"01.04.2014","1.440,75","1.359,00","1.446,25","1.358,50","88,89K","5,86%"
