"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","1.210,50","1.223,00","1.236,00","1.163,50","118,81K","0,52%"
"01.02.2012","1.292,75","1.210,50","1.296,00","1.210,50","18,20K","6,79%"
"01.03.2012","1.338,00","1.291,00","1.353,50","1.285,00","92,24K","3,50%"
"01.04.2012","1.353,50","1.338,00","1.377,75","1.321,25","138,22K","1,16%"
"01.05.2012","1.244,25","1.351,25","1.363,75","1.218,75","140,57K","-8,07%"
"01.06.2012","1.354,75","1.246,75","1.364,50","1.223,50","130,75K","8,88%"
"01.07.2012","1.436,00","1.364,00","1.489,25","1.344,25","181,04K","6,00%"
"01.08.2012","1.510,25","1.437,00","1.509,50","1.408,50","56,83K","5,17%"
"01.09.2012","1.399,00","1.535,00","1.570,00","1.372,25","4,05K","-7,37%"
"01.10.2012","1.381,00","1.401,75","1.402,00","1.354,00","5,58K","-1,29%"
"01.11.2012","1.304,50","1.385,50","1.396,75","1.255,25","48,21K","-5,54%"
"01.12.2012","1.302,75","1.306,00","1.340,00","1.283,50","109,29K","-0,13%"
"01.01.2013","1.332,25","1.315,25","1.340,00","1.259,25","103,99K","2,26%"
"01.02.2013","1.263,25","1.330,50","1.353,50","1.251,00","15,66K","-5,18%"
"01.03.2013","1.259,00","1.263,75","1.287,25","1.254,00","8,71K","-0,34%"
"01.04.2013","1.237,25","1.259,50","1.270,25","1.201,25","9,98K","-1,73%"
"01.05.2013","1.306,75","1.237,00","1.317,00","1.213,50","28,81K","5,62%"
"01.06.2013","1.254,50","1.305,00","1.332,25","1.247,25","51,61K","-4,00%"
"01.07.2013","1.217,00","1.248,00","1.293,25","1.204,75","46,16K","-2,99%"
"01.08.2013","1.290,75","1.219,50","1.307,25","1.180,00","29,31K","6,06%"
"01.09.2013","1.187,75","1.286,00","1.318,75","1.186,50","1,79K","-7,98%"
"01.10.2013","1.186,75","1.184,75","1.215,75","1.178,00","1,73K","-0,08%"
"01.11.2013","1.147,00","1.188,50","1.211,50","1.145,00","79,87K","-3,35%"
"01.12.2013","1.135,00","1.147,00","1.174,00","1.130,00","154,84K","-1,05%"
"01.01.2014","1.109,75","1.134,50","1.135,00","1.093,25","160,29K","-2,22%"
"01.02.2014","1.172,25","1.110,00","1.185,00","1.105,25","20,10K","5,63%"
"01.03.2014","1.196,25","1.173,00","1.205,50","1.168,00","13,80K","2,05%"
"01.04.2014","1.255,75","1.194,00","1.258,25","1.194,00","19,05K","4,97%"
"01.05.2014","1.244,00","1.254,75","1.287,25","1.219,50","24,55K","-0,94%"
"01.06.2014","1.175,75","1.234,00","1.258,75","1.171,00","35,85K","-5,49%"
"01.07.2014","1.110,25","1.171,25","1.176,50","1.086,50","85,82K","-5,57%"
"01.08.2014","1.049,75","1.105,25","1.117,00","1.044,00","50,15K","-5,45%"
"01.09.2014","939,50","1.055,00","1.062,00","940,25","2,86K","-10,50%"
"01.10.2014","1.042,50","936,50","1.045,25","936,50","3,22K","10,96%"
"01.11.2014","997,00","1.033,50","1.072,75","992,00","48,25K","-4,36%"
"01.12.2014","1.005,50","993,00","1.039,75","969,50","120,35K","0,85%"
