"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.01.2012","1.201,50","1.230,00","1.242,50","1.177,00","135,29K","-0,93%"
"01.02.2012","1.289,00","1.203,25","1.293,75","1.203,25","362,83K","7,28%"
"01.03.2012","1.354,50","1.285,25","1.367,25","1.278,25","321,58K","5,08%"
"01.04.2012","1.374,25","1.355,25","1.392,25","1.336,00","112,79K","1,46%"
"01.05.2012","1.253,25","1.371,00","1.387,00","1.230,00","137,41K","-8,80%"
"01.06.2012","1.387,25","1.254,00","1.395,25","1.232,75","153,40K","10,69%"
"01.07.2012","1.452,00","1.400,00","1.519,00","1.345,00","261,65K","4,67%"
"01.08.2012","1.556,50","1.452,00","1.557,00","1.420,00","152,41K","7,20%"
"01.09.2012","1.463,00","1.564,00","1.605,75","1.428,25","71,82K","-6,01%"
"01.10.2012","1.425,25","1.459,25","1.459,25","1.395,50","5,84K","-2,58%"
"01.11.2012","1.338,25","1.425,00","1.442,75","1.283,25","5,91K","-6,10%"
"01.12.2012","1.334,25","1.348,50","1.382,50","1.320,00","3,49K","-0,30%"
"01.01.2013","1.327,75","1.352,00","1.353,75","1.279,25","152,78K","-0,49%"
"01.02.2013","1.259,50","1.326,50","1.350,75","1.247,25","374,99K","-5,14%"
"01.03.2013","1.256,25","1.259,75","1.284,25","1.248,25","211,43K","-0,26%"
"01.04.2013","1.230,75","1.261,25","1.266,00","1.194,25","27,09K","-2,03%"
"01.05.2013","1.310,25","1.230,75","1.319,25","1.207,75","50,37K","6,46%"
"01.06.2013","1.256,50","1.307,00","1.336,50","1.253,00","63,69K","-4,10%"
"01.07.2013","1.212,75","1.250,00","1.299,00","1.199,75","92,53K","-3,48%"
"01.08.2013","1.307,75","1.208,25","1.330,00","1.175,50","133,14K","7,83%"
"01.09.2013","1.229,00","1.327,75","1.344,00","1.228,00","56,11K","-6,02%"
"01.10.2013","1.222,75","1.225,00","1.255,50","1.215,50","3,99K","-0,51%"
"01.11.2013","1.196,50","1.228,25","1.259,25","1.179,00","5,32K","-2,15%"
"01.12.2013","1.175,25","1.196,00","1.216,00","1.172,25","3,91K","-1,78%"
"01.01.2014","1.104,50","1.173,50","1.173,50","1.088,25","227,11K","-6,02%"
"01.02.2014","1.169,25","1.103,50","1.182,00","1.099,00","428,04K","5,86%"
"01.03.2014","1.192,50","1.169,00","1.201,50","1.164,00","307,30K","1,99%"
"01.04.2014","1.252,00","1.190,50","1.254,25","1.189,50","33,45K","4,99%"
"01.05.2014","1.243,25","1.250,25","1.287,50","1.214,00","46,44K","-0,70%"
"01.06.2014","1.170,50","1.231,50","1.256,50","1.164,75","76,50K","-5,85%"
"01.07.2014","1.104,00","1.166,25","1.171,25","1.080,00","143,53K","-5,68%"
"01.08.2014","1.050,25","1.099,00","1.111,75","1.044,25","102,65K","-4,87%"
"01.09.2014","947,50","1.048,00","1.062,75","941,75","65,78K","-9,78%"
"01.10.2014","1.062,75","942,25","1.071,25","938,75","7,03K","12,16%"
"01.11.2014","1.011,50","1.054,00","1.094,25","1.006,25","5,04K","-4,82%"
"01.12.2014","1.018,00","1.014,25","1.054,75","985,00","3,80K","0,64%"
"01.01.2015","945,75","1.013,50","1.045,75","940,00","128,66K","-7,10%"
"01.02.2015","997,50","945,00","1.004,00","943,00","282,04K","5,47%"
"01.03.2015","960,00","995,25","1.004,75","938,00","207,72K","-3,76%"
"01.04.2015","958,25","960,50","983,50","942,75","31,69K","-0,18%"
"01.05.2015","916,50","959,00","967,75","910,00","67,38K","-4,36%"
"01.06.2015","1.033,00","914,50","1.033,75","907,50","179,31K","12,71%"
"01.07.2015","940,75","1.029,25","1.044,25","932,00","184,54K","-8,93%"
"01.08.2015","900,25","939,75","984,75","866,50","168,02K","-4,31%"
"01.09.2015","903,00","899,75","909,50","866,50","58,64K","0,31%"
"01.10.2015","898,25","906,75","929,50","885,50","15,93K","-0,53%"
"01.11.2015","896,00","899,50","901,75","861,25","16,78K","-0,25%"
"01.12.2015","879,50","895,25","920,50","868,00","9,61K","-1,84%"
"01.01.2016","893,00","881,25","896,25","865,25","106,45K","1,53%"
"01.02.2016","873,50","893,00","898,00","872,00","231,53K","-2,18%"
"01.03.2016","928,50","873,50","933,00","868,00","204,06K","6,30%"
"01.04.2016","1.009,00","928,50","1.023,75","920,75","75,69K","8,67%"
"01.05.2016","1.031,25","1.007,25","1.078,25","998,75","164,83K","2,21%"
"01.06.2016","1.104,75","1.030,25","1.135,50","1.022,25","188,20K","7,13%"
"01.07.2016","986,25","1.102,25","1.109,75","947,75","171,94K","-10,73%"
"01.08.2016","953,50","976,00","1.010,25","937,25","125,41K","-3,32%"
"01.09.2016","976,00","952,25","1.005,75","948,50","71,84K","2,36%"
