Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Preço Tonelada (USD),Preço Tonelada (BRL),Preço Saca (BRL),Spread Diário,Volatilidade Relativa,Retorno Logarítmico,Ano,Mês
2024-10-01,410.75,423.5,434.25,399.0,5160000.0,-3.3,16171.227499999999,80856.1375,4850.3981703659265,35.25,0.08581862446743761,,2024,10
2024-09-01,424.75,378.0,427.75,376.5,2049999.9999999998,12.37,16722.407499999998,83612.03749999999,5015.7191061787635,51.25,0.12065921130076515,0.03351600363466392,2024,9
2024-08-01,378.0,382.5,393.0,360.5,3010000.0,-1.24,14881.859999999999,74409.29999999999,4463.665266946609,32.5,0.08597883597883597,-0.11660656493245375,2024,8
2024-07-01,382.75,397.25,412.0,381.0,1760000.0,-3.65,15068.867499999998,75344.3375,4519.756298740251,31.0,0.08099281515349445,0.01248783891820555,2024,7
2024-06-01,397.25,445.75,460.5,390.5,3980000.0,-10.98,15639.732499999998,78198.66249999999,4690.981553689261,70.0,0.1762114537444934,0.037183770879032255,2024,6
2024-05-01,446.25,440.0,473.25,437.25,2250000.0,1.54,17568.8625,87844.3125,5269.604829034192,36.0,0.08067226890756303,0.11631352767702353,2024,5
2024-04-01,439.5,441.75,444.5,424.5,3820000.0,-0.57,17303.114999999998,86515.57499999998,5189.896520695859,20.0,0.04550625711035267,-0.01524161596861709,2024,4
2024-03-01,442.0,415.5,448.0,409.25,1610000.0,6.31,17401.539999999997,87007.69999999998,5219.418116376723,38.75,0.08766968325791855,0.005672164952466374,2024,3
2024-02-01,415.75,448.0,448.75,394.5,3610000.0,-7.25,16368.0775,81840.3875,4909.441361727654,54.25,0.13048707155742634,-0.06122576400466108,2024,2
2024-01-01,448.25,470.5,470.75,436.5,3690000.0,-4.88,17647.602499999997,88238.01249999998,5293.222105578882,34.25,0.07640825432236475,0.0752669944122053,2024,1
2023-12-01,471.25,460.25,484.0,455.0,1130000.0,2.06,18553.1125,92765.5625,5564.82078584283,29.0,0.06153846153846154,0.05003762627697819,2023,12
2023-11-01,461.75,478.75,481.25,447.0,3800000.0,-3.55,18179.0975,90895.4875,5452.638722255549,34.25,0.07417433676231727,-0.02036511968287121,2023,11
2023-10-01,478.75,477.0,509.5,476.0,3350000.0,0.42,18848.387499999997,94241.93749999999,5653.385572885421,33.5,0.06997389033942558,0.0361549214155065,2023,10
2023-09-01,476.75,461.0,490.0,455.75,1440000.0,3.42,18769.6475,93848.23749999999,5629.768296340731,34.25,0.07184058730991086,-0.0041862960143272746,2023,9
2023-08-01,461.0,504.0,512.25,459.0,2200000.0,-8.53,18149.57,90747.85,5443.78224355129,53.25,0.11550976138828634,-0.033594201483879975,2023,8
2023-07-01,504.0,558.5,614.75,495.25,1290000.0,-9.11,19842.48,99212.4,5951.553689262147,119.5,0.2371031746031746,0.08917822507472001,2023,7
2023-06-01,554.5,594.0,672.5,552.0,3160000.0,-6.65,21830.664999999997,109153.32499999998,6547.889922015595,120.5,0.21731289449954913,0.09549053871905319,2023,6
2023-05-01,594.0,632.5,658.5,547.0,2049999.9999999998,-6.6,23385.78,116928.9,7014.331133773244,111.5,0.18771043771043772,0.06881251257222318,2023,5
2023-04-01,636.0,659.5,682.5,621.75,2390000.0,-3.71,25039.32,125196.6,7510.293941211758,60.75,0.09551886792452831,0.06831924397747723,2023,4
2023-03-01,660.5,630.0,664.5,618.25,2020000.0,4.92,26003.885,130019.42499999999,7799.605578884221,46.25,0.0700227100681302,0.03779856062225783,2023,3
2023-02-01,629.5,679.25,688.25,629.25,2790000.0,-7.39,24783.414999999997,123917.07499999998,7433.53779244151,59.0,0.0937251787132645,-0.04807127047797816,2023,2
2023-01-01,679.75,677.25,688.75,648.25,3080000.0,0.18,26761.7575,133808.7875,8026.921865626874,40.5,0.059580728208900334,0.07679923002817826,2023,1
2022-12-01,678.5,661.75,685.0,623.0,1090000.0,2.49,26712.545,133562.72499999998,8012.16106778644,62.0,0.09137803979366249,-0.0018406042376562588,2022,12
2022-11-01,662.0,689.0,698.5,651.25,3160000.0,-4.27,26062.94,130314.7,7817.318536292741,47.25,0.07137462235649547,-0.024618923337915582,2022,11
2022-10-01,691.5,680.0,706.5,671.5,2810000.0,2.07,27224.355,136121.775,8165.673365326933,35.0,0.05061460592913955,0.04359759516780463,2022,10
2022-09-01,677.5,671.0,725.0,655.0,1680000.0,0.56,26673.175,133365.875,8000.352429514096,70.0,0.1033210332103321,-0.020453598350956947,2022,9
2022-08-01,673.75,619.75,684.25,583.0,1960000.0,9.33,26525.5375,132627.6875,7956.0700359928005,101.25,0.150278293135436,-0.005550430530649092,2022,8
2022-07-01,616.25,748.0,800.0,561.5,969910.0,-17.14,24261.762499999997,121308.81249999999,7277.0733353329315,238.5,0.38701825557809333,-0.08920639686630709,2022,7
2022-06-01,743.75,753.75,800.0,720.5,3070000.0,-1.29,29281.437499999996,146407.18749999997,8782.674715056986,79.5,0.10689075630252101,0.18805223150293962,2022,6
2022-05-01,753.5,811.5,822.0,747.25,1310000.0,-7.91,29665.295,148326.47499999998,8897.808938212354,74.75,0.09920371599203716,0.013024061206710544,2022,5
2022-04-01,818.25,748.5,827.0,730.25,2400000.0,9.28,32214.5025,161072.51249999998,9662.418266346729,96.75,0.11824014665444546,0.08243889531473983,2022,4
2022-03-01,748.75,699.75,800.0,699.75,1430000.0,7.35,29478.2875,147391.4375,8841.717906418715,100.25,0.133889816360601,-0.0887627639516308,2022,3
2022-02-01,697.5,626.0,718.75,610.25,3560000.0,11.42,27460.574999999997,137302.875,8236.525194961006,108.5,0.15555555555555556,-0.07090263573413835,2022,2
