Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5510","Production","01290.01","Green corn (maize)","2014","2014","t","3.92","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5610","Import quantity","01290.01","Green corn (maize)","2014","2014","t","1.5","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2014","2014","t","5.42","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2014","2014","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5510","Production","01290.01","Green corn (maize)","2015","2015","t","6.98","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2015","2015","t","6.98","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2015","2015","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5510","Production","01290.01","Green corn (maize)","2016","2016","t","9.24","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2016","2016","t","9.24","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2016","2016","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5510","Production","01290.01","Green corn (maize)","2017","2017","t","56.42","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2017","2017","t","56.42","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2017","2017","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2018","2018","t","47.09","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2018","2018","t","-47","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2019","2019","t","104.11","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2019","2019","t","-104","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2020","2020","t","14.66","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2020","2020","t","-15","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2021","2021","t","41.95","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2021","2021","t","-42","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5910","Export quantity","01290.01","Green corn (maize)","2022","2022","t","76.49","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5166","Residuals","01290.01","Green corn (maize)","2022","2022","t","-76","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","BRA","Brazil","5113","Opening stocks","0112","Maize (corn)","2012","2012","t","6278000","X","Figure from international organizations","Unofficial figure"
