Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2012","2012","1000 Int$","14266580","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2013","2013","1000 Int$","16113387","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2014","2014","1000 Int$","16034788","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2015","2015","1000 Int$","17119034","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2016","2016","1000 Int$","12884642","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2017","2017","1000 Int$","19653793","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2018","2018","1000 Int$","16533590","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2019","2019","1000 Int$","20299296","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2020","2020","1000 Int$","20874298","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2021","2021","1000 Int$","17719030","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","152","Gross Production Value (constant 2014-2016 thousand I$)","0112","Maize (corn)","2022","2022","1000 Int$","21964229","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","31449718","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","34985457","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2014","2014","1000 SLC","34948206","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2015","2015","1000 SLC","39230214","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2016","2016","1000 SLC","41131872","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2018","2018","1000 SLC","37678190","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2019","2019","1000 SLC","47591383","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2020","2020","1000 SLC","72423545","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2021","2021","1000 SLC","116141528","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","56","Gross Production Value (current thousand SLC)","0112","Maize (corn)","2022","2022","1000 SLC","137743946","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2012","2012","1000 SLC","36443768","E","Estimated value"
"QV","Value of Agricultural Production","BRA","Brazil","55","Gross Production Value (constant 2014-2016 thousand SLC)","0112","Maize (corn)","2013","2013","1000 SLC","41161407","E","Estimated value"
