Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
2012-01-01,645.25,669.5,672.5,599.25,101000000.0,-1.45
2012-01-02,658.0,645.0,661.5,626.0,179000000.0,1.98
2012-01-03,643.25,656.0,673.25,602.5,238000000.0,-2.24
2012-01-04,634.25,646.75,659.75,591.75,286000000.0,-1.4
2012-01-05,525.5,632.0,634.25,511.5,193000000.0,-17.16
2012-01-06,628.5,525.75,649.25,510.0,178000000.0,19.6
2012-01-07,805.25,642.5,820.5,640.75,295000000.0,28.12
2012-01-08,802.75,806.5,843.75,776.75,160000000.0,-0.31
2012-01-09,756.25,805.0,818.25,705.0,156000000.0,-5.79
2012-01-10,755.75,760.25,776.0,732.25,300000000.0,-0.07
2012-01-11,748.0,755.5,763.25,710.5,313000000.0,-1.03
2012-01-12,698.25,752.0,759.0,687.5,87451000.0,-6.65
2013-01-01,740.5,706.25,744.5,678.0,288000000.0,6.05
2013-01-02,719.5,740.25,746.25,687.25,270000000.0,-2.84
2013-01-03,695.25,719.5,749.0,695.25,122000000.0,-3.37
2013-01-04,683.25,679.0,693.0,626.5,267000000.0,-1.73
2013-01-05,662.0,679.5,722.5,632.5,122000000.0,-3.11
2013-01-06,679.25,661.25,685.5,640.5,205000000.0,2.61
2013-01-07,499.0,678.5,800.0,488.25,98875000.0,-26.55
2013-01-08,495.0,499.0,522.75,453.75,162000000.0,-0.8
2013-01-09,441.5,501.25,504.5,440.75,132000000.0,-10.81
2013-01-10,428.25,441.25,449.75,427.0,295000000.0,-3.0
2013-01-11,415.25,427.75,438.0,410.75,372000000.0,-3.04
2013-01-12,422.0,414.75,436.0,410.0,87944000.0,1.63
2014-01-01,434.0,422.0,435.5,406.25,325000000.0,2.84
2014-01-02,457.5,433.5,459.0,433.25,319000000.0,5.41
2014-01-03,502.0,459.0,503.75,457.25,134000000.0,9.73
2014-01-04,514.0,501.5,519.0,485.5,265000000.0,2.39
2014-01-05,465.75,513.25,519.5,465.0,127000000.0,-9.39
2014-01-06,424.25,465.0,470.5,422.5,261000000.0,-8.91
2014-01-07,357.0,423.75,423.75,356.5,103000000.0,-15.85
2014-01-08,359.0,357.0,370.0,347.75,196000000.0,0.56
2014-01-09,320.75,357.5,360.75,319.5,144000000.0,-10.65
2014-01-10,376.75,320.25,381.0,318.25,380000000.0,17.45
2014-01-11,375.75,374.5,389.0,359.0,371000000.0,-0.27
2014-01-12,397.0,374.0,417.0,364.25,138000000.0,5.66
2015-01-01,370.0,396.25,409.5,365.75,319000000.0,-6.8
2015-01-02,384.5,369.75,391.75,367.5,308000000.0,3.92
2015-01-03,376.25,383.0,398.5,367.0,216000000.0,-2.15
2015-01-04,362.5,377.0,390.0,359.0,319000000.0,-3.65
2015-01-05,351.5,362.5,371.5,348.25,166000000.0,-3.03
2015-01-06,414.0,350.5,415.0,346.75,433000000.0,17.78
2015-01-07,371.0,411.0,438.75,365.75,157000000.0,-10.39
2015-01-08,363.75,370.0,391.5,346.5,247000000.0,-1.95
2015-01-09,387.75,362.5,395.0,346.75,171000000.0,6.6
2015-01-10,382.25,387.75,399.75,372.0,350000000.0,-1.42
2015-01-11,365.0,381.25,383.5,356.0,409000000.0,-4.51
2015-01-12,358.75,365.25,381.75,357.0,157000000.0,-1.71
2016-01-01,372.0,359.5,373.0,348.5,357000000.0,3.69
2016-01-02,353.5,371.0,373.75,352.5,358000000.0,-4.97
2016-01-03,351.5,353.5,374.0,347.5,211000000.0,-0.57
2016-01-04,390.25,351.75,402.0,347.25,443000000.0,11.02
2016-01-05,404.75,388.75,413.5,367.0,207000000.0,3.72
2016-01-06,358.75,404.25,439.25,355.75,455000000.0,-11.37
2016-01-07,334.5,360.75,374.5,326.75,107000000.0,-6.76
2016-01-08,301.5,332.5,334.75,301.0,234000000.0,-9.87
2016-01-09,336.75,302.0,342.25,301.75,176000000.0,11.69
2016-01-10,354.75,336.25,359.25,335.25,355000000.0,5.35
2016-01-11,336.75,354.75,356.5,335.5,410000000.0,-5.07
2016-01-12,352.0,337.0,363.0,331.0,122000000.0,4.53
2017-01-01,359.75,352.0,371.0,351.5,362000000.0,2.2
2017-01-02,366.75,360.0,380.0,358.0,371000000.0,1.95
2017-01-03,364.25,366.25,377.0,353.0,186000000.0,-0.68
2017-01-04,358.0,365.75,373.0,354.25,350000000.0,-1.72
2017-01-05,372.0,363.0,377.5,356.25,197000000.0,3.91
2017-01-06,370.5,371.5,391.75,356.25,511000000.0,-0.4
2017-01-07,370.75,373.25,394.5,360.0,131000000.0,0.07
2017-01-08,342.25,369.25,375.5,328.5,297000000.0,-7.69
2017-01-09,355.25,341.5,358.0,336.0,160000000.0,3.8
2017-01-10,345.75,354.75,356.25,342.5,370000000.0,-2.67
2017-01-11,341.75,345.75,352.0,335.5,501000000.0,-1.16
2017-01-12,350.75,341.75,354.25,335.25,100000000.0,2.63
2018-01-01,361.5,351.25,362.25,345.5,396000000.0,3.06
2018-01-02,374.5,360.75,376.75,356.25,471000000.0,3.6
2018-01-03,387.75,374.0,390.75,369.25,228000000.0,3.54
2018-01-04,392.5,389.25,395.75,372.0,400000000.0,1.23
2018-01-05,394.0,393.0,412.25,387.5,232000000.0,0.38
2018-01-06,350.25,393.75,397.0,338.75,462000000.0,-11.1
2018-01-07,372.25,352.25,374.25,329.75,131000000.0,6.28
2018-01-08,351.0,372.0,373.75,340.25,270000000.0,-5.71
2018-01-09,356.25,351.5,366.75,337.0,176000000.0,1.5
2018-01-10,363.25,356.75,378.5,356.5,382000000.0,1.96
2018-01-11,366.5,363.25,379.0,355.25,435000000.0,0.89
2018-01-12,375.0,372.75,386.5,369.25,113000000.0,2.32
2019-01-01,376.5,375.25,384.5,371.0,342000000.0,0.4
2019-01-02,362.0,376.5,381.75,361.25,441000000.0,-3.85
2019-01-03,356.5,361.75,380.75,352.75,210000000.0,-1.52
2019-01-04,353.25,356.5,366.25,342.25,398000000.0,-0.91
2019-01-05,427.0,353.5,438.0,335.5,419000000.0,20.88
