Tipo_Estacao,Local_Nome_Estacao,Contagem,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Valores Nulos,% Nulos
automatica,ABROLHOS,72,5.66,5.35,1.0,4.1,8.2,82,53.25
automatica,ACARAU,110,3.21,3.3,1.16,0.1,5.0,44,28.57
automatica,AFONSO CLAUDIO,132,1.95,1.95,0.3,1.4,2.7,22,14.29
automatica,AGUA BOA,88,2.31,2.3,0.39,1.4,3.3,66,42.86
automatica,AGUA CLARA,152,1.24,1.2,0.21,0.7,1.9,2,1.3
automatica,AGUAS EMENDADAS,149,1.95,1.9,0.31,1.4,3.2,5,3.25
automatica,AGUAS VERMELHAS,130,1.99,2.0,0.52,0.0,3.4,24,15.58
automatica,AIMORES,116,2.7,2.65,0.53,1.9,4.0,38,24.68
automatica,ALEGRE,145,1.38,1.4,0.19,1.0,1.9,9,5.84
automatica,ALEGRETE,140,2.04,2.0,0.32,1.4,2.9,14,9.09
automatica,ALFREDO CHAVES,139,1.89,1.9,0.24,1.4,2.7,15,9.74
automatica,ALMAS,71,1.51,1.5,0.22,1.1,2.1,33,31.73
automatica,ALMENARA,141,1.52,1.4,0.48,0.7,2.7,13,8.44
automatica,ALTA FLORESTA,101,1.39,1.4,0.17,1.0,1.9,53,34.42
automatica,ALTAMIRA,45,0.9,0.9,0.16,0.6,1.3,28,38.36
automatica,ALTO ARAGUAIA,52,2.34,2.3,0.21,2.0,2.8,102,66.23
automatica,ALTO PARAISO DE GOIAS,129,1.98,2.0,0.5,0.2,3.7,25,16.23
automatica,ALTO PARNAIBA,129,0.88,0.9,0.24,0.2,1.6,25,16.23
automatica,ALTO TAQUARI,137,2.36,2.4,0.4,0.2,3.2,17,11.04
automatica,ALVORADA DO GURGUEIA,107,1.78,1.8,0.43,1.0,3.0,47,30.52
automatica,AMAMBAI,107,1.65,1.5,0.42,0.8,2.9,47,30.52
automatica,AMARGOSA,140,1.66,1.4,0.88,0.2,3.6,14,9.09
automatica,ANGICAL DO PIAUI,23,1.06,1.0,0.2,0.8,1.4,37,61.67
automatica,ANGRA DOS REIS,66,0.65,0.6,0.18,0.3,1.2,21,24.14
automatica,APIACAS,84,0.69,0.7,0.26,0.0,1.2,70,45.45
automatica,APODI,112,2.71,2.9,1.01,0.1,4.2,42,27.27
automatica,APUI,81,0.64,0.5,0.22,0.3,1.1,73,47.4
automatica,AQUIDAUANA,89,1.02,1.0,0.33,0.3,1.8,65,42.21
automatica,ARACAJU,132,2.56,2.6,0.95,0.0,4.7,22,14.29
automatica,ARACUAI,82,1.35,1.2,0.53,0.6,2.8,8,8.89
automatica,ARAGARCAS,112,1.21,1.2,0.16,0.8,1.5,42,27.27
automatica,ARAGUACU,84,1.76,1.8,0.21,1.3,2.3,27,24.32
automatica,ARAGUAINA,103,0.46,0.4,0.32,0.0,1.4,51,33.12
automatica,ARAGUATINS,97,1.57,1.5,0.17,1.3,2.0,57,37.01
automatica,ARAPIRACA,100,2.08,2.1,0.94,0.2,3.9,54,35.06
automatica,ARARANGUA,135,2.14,2.1,0.41,1.0,3.0,19,12.34
automatica,ARAXA,153,2.45,2.4,0.36,1.7,3.7,1,0.65
automatica,ARCO VERDE,120,3.35,3.4,0.51,1.9,4.6,34,22.08
automatica,AREIA,137,3.65,3.9,1.07,0.0,5.2,17,11.04
automatica,AREMBEPE,19,5.98,5.9,0.63,4.8,7.6,3,13.64
automatica,ARIQUEMES,68,1.36,1.4,0.18,0.8,1.7,86,55.84
automatica,ARIRANHA,113,1.6,1.6,0.46,0.3,2.5,41,26.62
automatica,ARQ.SAO PEDRO E SAO PAULO,9,5.54,6.0,1.0,4.3,6.6,103,91.96
automatica,ARRAIAL DO CABO,140,4.78,4.75,0.9,3.0,7.2,14,9.09
automatica,AUTAZES,0,,,,,,154,100.0
automatica,AVARE,106,2.15,2.15,0.59,0.2,3.3,48,31.17
automatica,BACABAL,117,1.05,1.0,0.35,0.4,1.8,37,24.03
automatica,BAGE,138,3.36,3.4,0.64,0.7,4.4,16,10.39
automatica,BAIXA GRANDE DO RIBEIRO,42,2.04,1.9,0.66,1.0,3.6,38,47.5
automatica,BALSAS,99,1.22,1.2,0.42,0.1,2.5,55,35.71
automatica,BAMBUI,87,1.29,1.3,0.21,0.9,1.9,9,9.38
automatica,BARBACENA,142,1.46,1.9,0.92,0.0,2.8,12,7.79
automatica,BARBALHA,97,1.71,1.7,0.44,1.0,3.1,57,37.01
automatica,BARCELOS,91,0.77,0.8,0.23,0.1,1.4,63,40.91
