Tipo_Estacao,Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Direcao_Vento_Predominante_Mensal_graus,Evaporacao_Piche_Mensal_mm,Evapotranspiracao_Potencial_BH_Mensal_mm,Evapotranspiracao_Real_BH_Mensal_mm,Insolacao_Total_Mensal_horas,Nebulosidade_Media_Mensal_decimos,Numero_de_dias_com_precip_pluv_mensal,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Precipitacao_total_mensal_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Pressao_atmosferica_media_mensal_mB,Pressao_atmosferica_nivel_mar_media_mensal_mB,Temperatura_maxima_media_mensal_Celsius,Temperatura_media_compensada_mensal_Celsius,Temperatura_media_mensal_auto_Celsius,Temperatura_minima_media_mensal_Celsius,Umidade_relativa_ar_media_mensal_percentual,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MAXIMA_mensal_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_metros_seg,Visibilidade_media_mensal_codigo
automatica,01/01/2012,31/10/2024,31/01/2012,Mensal,BRASILIA,Operante,A001,-1578944444.0,-4792583332.0,1160.96,,,,,,,,25.0,248.8,,885.6,,,,,20.3,,,7.3,,2.3,,
automatica,01/01/2012,31/10/2024,29/02/2012,Mensal,BRASILIA,Operante,A002,-1578944444.0,-4792583332.0,1160.96,,,,,,,,14.0,104.8,,885.9,,,,,21.3,,,6.1,,2.3,,
automatica,01/01/2012,31/10/2024,31/03/2012,Mensal,BRASILIA,Operante,A003,-1578944444.0,-4792583332.0,1160.96,,,,,,,,17.0,182.6,,886.4,,,,,21.7,,,5.5,,2.1,,
automatica,01/01/2012,31/10/2024,30/04/2012,Mensal,BRASILIA,Operante,A004,-1578944444.0,-4792583332.0,1160.96,,,,,,,,10.0,110.0,,886.4,,,,,22.1,,,5.6,,2.1,,
automatica,01/01/2012,31/10/2024,31/05/2012,Mensal,BRASILIA,Operante,A005,-1578944444.0,-4792583332.0,1160.96,,,,,,,,9.0,40.2,,888.3,,,,,19.4,,,5.9,,2.5,,
automatica,01/01/2012,31/10/2024,30/06/2012,Mensal,BRASILIA,Operante,A006,-1578944444.0,-4792583332.0,1160.96,,,,,,,,2.0,2.4,,889.1,,,,,20.2,,,5.5,,2.3,,
automatica,01/01/2012,31/10/2024,31/07/2012,Mensal,BRASILIA,Operante,A007,-1578944444.0,-4792583332.0,1160.96,,,,,,,,1.0,0.2,,889.2,,,,,19.7,,,7.4,,2.5,,
automatica,01/01/2012,31/10/2024,31/08/2012,Mensal,BRASILIA,Operante,A008,-1578944444.0,-4792583332.0,1160.96,,,,,,,,,0.0,,890.4,,,,,19.7,,,7.0,,3.5,,
automatica,01/01/2012,31/10/2024,30/09/2012,Mensal,BRASILIA,Operante,A009,-1578944444.0,-4792583332.0,1160.96,,,,,,,,3.0,30.8,,888.5,,,,,23.5,,,5.9,,2.7,,
automatica,01/01/2012,31/10/2024,31/10/2012,Mensal,BRASILIA,Operante,A010,-1578944444.0,-4792583332.0,1160.96,,,,,,,,9.0,98.8,,885.8,,,,,23.7,,,6.3,,2.6,,
