Data_Inicial;Data_Final;Data_Medicao;Periodicidade_Medicao;Local_Nome_Estacao;Situacao;Codigo_Estacao;Latitude;Longitude;Altitude;Numero_de_dias_com_precip_pluv_mensal_auto_em_numero;Precipitacao_total_mensal_auto_em_mm;Pressao_atmosferica_media_mensal_auto_em_mB;Temperatura_media_mensal_auto_Celsius;VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg;VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
01/01/2012;31/10/2024;31/01/2012;Mensal;BRASILIA;Operante;A001;-15.78944444;-47.92583332;1160.96;25;248.8;885.6;20.3;7.3;2.3
01/01/2012;31/10/2024;29/02/2012;Mensal;BRASILIA;Operante;A002;-15.78944444;-47.92583332;1160.96;14;104.8;885.9;21.3;6.1;2.3
01/01/2012;31/10/2024;31/03/2012;Mensal;BRASILIA;Operante;A003;-15.78944444;-47.92583332;1160.96;17;182.6;886.4;21.7;5.5;2.1
01/01/2012;31/10/2024;30/04/2012;Mensal;BRASILIA;Operante;A004;-15.78944444;-47.92583332;1160.96;10;110;886.4;22.1;5.6;2.1
01/01/2012;31/10/2024;31/05/2012;Mensal;BRASILIA;Operante;A005;-15.78944444;-47.92583332;1160.96;9;40.2;888.3;19.4;5.9;2.5
01/01/2012;31/10/2024;30/06/2012;Mensal;BRASILIA;Operante;A006;-15.78944444;-47.92583332;1160.96;2;2.4;889.1;20.2;5.5;2.3
01/01/2012;31/10/2024;31/07/2012;Mensal;BRASILIA;Operante;A007;-15.78944444;-47.92583332;1160.96;1;0.2;889.2;19.7;7.4;2.5
01/01/2012;31/10/2024;31/08/2012;Mensal;BRASILIA;Operante;A008;-15.78944444;-47.92583332;1160.96;;0;890.4;19.7;7;3.5
01/01/2012;31/10/2024;30/09/2012;Mensal;BRASILIA;Operante;A009;-15.78944444;-47.92583332;1160.96;3;30.8;888.5;23.5;5.9;2.7
01/01/2012;31/10/2024;31/10/2012;Mensal;BRASILIA;Operante;A010;-15.78944444;-47.92583332;1160.96;9;98.8;885.8;23.7;6.3;2.6
01/01/2012;31/10/2024;30/11/2012;Mensal;BRASILIA;Operante;A011;-15.78944444;-47.92583332;1160.96;22;356.2;884.4;21.3;6.6;2.3
01/01/2012;31/10/2024;31/12/2012;Mensal;BRASILIA;Operante;A012;-15.78944444;-47.92583332;1160.96;20;132.8;885.1;22.5;6.1;2.1
01/01/2012;31/10/2024;31/01/2013;Mensal;BRASILIA;Operante;A013;-15.78944444;-47.92583332;1160.96;24;440.4;885.6;21.1;10.4;2.3
