Nome: FACULDADE DA TERRA DE BRASILIA
Codigo Estacao: A008
Latitude: -15.907513
Longitude: -48.119977
Altitude: 1144.2
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-02-19
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-01-31;25;466.4;887.5;20.5;10.6;3.4;
2012-02-29;17;203.8;887.7;21.6;10.1;3.3;
2012-03-31;18;208.8;888.2;22.1;8.3;3.1;
2012-04-30;14;299.8;888.2;22.3;9.2;3;
2012-05-31;4;37;890;19.8;10.4;3.9;
2012-06-30;2;9;890.9;20.7;9.2;3.6;
2012-07-31;3;3.6;890.9;20.2;12.7;3.9;
2012-08-31;null;0;892.2;19.7;11.4;4.7;
2012-09-30;4;46.8;890.3;23.8;10.2;3.9;
2012-10-31;12;168;887.6;24.1;10.9;4;
2012-11-30;22;568.2;886.2;21.6;9.4;3.5;
2012-12-31;21;253.4;887;22.7;9.5;2.9;
2013-01-31;25;556.2;887.5;21.4;8.3;3.4;
2013-02-28;7;null;null;23;9.4;null;

