Nome: AREMBEPE
Codigo Estacao: A403
Latitude: -12.762552
Longitude: -38.16906
Altitude: 4.87
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-10-12
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-01-31;12;29;1015.5;26.5;11.3;5.9;
2012-02-29;11;null;null;26.6;13.5;null;
2012-03-31;14;66.8;1015.8;26.8;10.8;5.9;
2012-04-30;12;33.2;1015.8;26.8;10.2;5.2;
2012-05-31;16;null;1017.6;26;12.9;6.1;
2012-06-30;4;null;null;null;null;null;
2012-07-31;17;68.8;1016.7;24.5;12.6;5.9;
2012-08-31;24;44.2;1018.5;24.2;13.8;7.6;
2012-09-30;11;12.2;1017.2;24.5;14.2;6.4;
2012-10-31;12;36.2;1014.3;25;12.1;6.7;
2012-11-30;8;61.6;1011.1;25.3;10.6;5.2;
2012-12-31;7;4;1011.4;26.2;9.9;5.9;
2013-01-31;14;15.2;1012;26.4;10.7;5.6;
2013-02-28;10;42.2;1012;27.1;12;6.3;
2013-03-31;13;63.4;1012;27.2;10.7;5.7;
2013-04-30;16;150.2;1012.5;26.8;14.3;6.4;
2013-05-31;18;95.6;1013.8;26.1;13.4;5.4;
2013-06-30;22;170.6;1015.1;25.4;11.7;4.8;
2013-07-31;23;97.4;1016.7;25.1;14.9;6;
2013-08-31;19;126.2;1016.4;24.6;13;6.2;
2013-09-30;15;39.4;1015.9;25.1;13.4;6.4;
2013-10-31;4;null;null;null;null;null;

