Nome: PAULO AFONSO
Codigo Estacao: A411
Latitude: -9.37805554
Longitude: -38.22666666
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2017-03-12
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-01-31;1;.2;982.9;28;10.3;4.8;
2012-02-29;2;67.8;982.8;27.2;9.1;4.8;
2012-03-31;3;1.4;983.3;27.7;9.1;4.7;
2012-04-30;3;4;983.4;27.4;9;4.5;
2012-05-31;8;22.2;985.2;26;9.1;4.3;
2012-06-30;8;24;986.8;25;7.9;4.3;
2012-07-31;18;62.4;987.5;22.8;8.6;4.1;
2012-08-31;21;42;988.8;22.7;8.7;4.6;
2012-09-30;5;20;987.7;24.8;9.5;4.8;
2012-10-31;2;2.6;985;26;8.7;4.8;
2012-11-30;2;9.6;982.1;28.5;9.8;3.8;
2012-12-31;null;null;null;28.1;8.9;null;
2013-01-31;5;53.4;983.2;28.2;9.1;3.8;
2013-02-28;0;0;982.9;28.3;9.1;4.6;
2013-03-31;null;0;983.1;28.8;9.2;4.2;
2013-04-30;7;56;983.7;27.9;8.6;3.7;
2013-05-31;15;66.8;985.3;25.4;7.5;3.2;
2013-06-30;10;13.2;986.3;25.2;7.7;3.5;
2013-07-31;20;93.4;987.8;23.4;8.8;3.3;
2013-08-31;15;27;987.3;23.9;8;3.9;
2013-09-30;7;3.2;986.6;25.8;8.9;4.5;
2013-10-31;3;66;985.1;26.4;8.7;4.4;
2013-11-30;2;.4;982.9;27.2;8.8;4.2;
2013-12-31;null;null;982.4;28;8.4;3.1;
2014-01-31;null;null;983.8;27.8;9.3;4.2;
2014-02-28;null;null;982.8;27.7;8.1;4;
2014-03-31;null;null;983.4;28;8.4;3.8;
2014-04-30;8;77.8;983.8;27.4;7.9;3.1;
2014-05-31;15;62.2;985.1;24.7;7.9;2.9;
2014-06-30;20;37.2;986.9;24.3;8.4;3.5;
2014-07-31;18;82.6;989.1;23.5;8.5;3.6;
2014-08-31;16;47;988.5;23.3;8.1;3.7;
2014-09-30;9;21.4;987;25.2;8.5;4.2;
2014-10-31;9;14.6;985.9;26.1;8.5;4.7;
2014-11-30;3;35;983.3;27.5;8.9;3.7;
2014-12-31;4;6.2;983.9;27.6;8.9;3.9;
2015-01-31;2;5.2;984.6;28.2;9.3;4.5;
2015-02-28;6;57.6;983.7;28.1;8.9;3.8;
2015-03-31;2;13.6;983.3;28.6;9;3.9;
2015-04-30;6;44.2;983.5;28.5;9.8;3.4;
2015-05-31;null;null;985.3;26.8;8.6;3.6;
2015-06-30;13;32.6;987.8;24.3;7.9;3.4;
2015-07-31;21;52.2;988.2;23.7;8.1;3.6;
2015-08-31;10;12.2;988;24.2;9;4;
2015-09-30;4;7.8;986.3;26.3;8.9;4.3;
2015-10-31;3;13.6;985.5;27.1;8.4;4.5;
2015-11-30;0;0;982.7;29.1;9.1;3.9;
2015-12-31;3;35.2;984.5;28.5;9.3;4.2;
2016-01-31;15;179.2;983.5;27.4;8.7;2.5;
2016-02-29;3;65.6;984.4;27.6;8.5;3.6;
2016-03-31;1;.4;984.4;28.9;8.4;4.1;
2016-04-30;5;7.4;984.2;27.8;8.1;4.2;
2016-05-31;11;29;986.3;26.4;7.9;3.6;
2016-06-30;14;60;988;25.1;7.9;3.4;
2016-07-31;8;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;27.2;8.9;null;
2016-10-31;2;4;984.3;27.8;9.2;4.6;
2016-11-30;1;1.8;983.1;28.5;8.8;4.6;
2016-12-31;2;1;982.9;28.8;9.6;4.4;
2017-01-31;0;0;983.4;28.6;9.3;4.7;
2017-02-28;1;.6;982.9;28.8;9.2;4.4;
2017-03-31;null;null;983.4;null;9.5;1.7;

