Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-01-31;3;3;951.8;26.2;8.5;3.3;
2012-02-29;9;126.8;951.8;25.3;8.9;3.4;
2012-03-31;3;3.6;952.2;26.2;9;3.2;
2012-04-30;5;2;952.4;25.7;6.7;3.2;
2012-05-31;10;24.4;954.3;23.9;7.2;3.2;
2012-06-30;11;22.6;956;23;7.5;2.9;
2012-07-31;15;39.8;956.6;21.4;7.4;3.2;
2012-08-31;18;73.8;957.9;21;8.5;3.8;
2012-09-30;5;13.6;956.6;23.4;7.9;3.8;
2012-10-31;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;
2012-12-31;5;12.4;951.4;26.4;7.8;2.4;
2013-01-31;6;78.4;952.2;26.5;7.7;1.3;
2013-02-28;2;.6;952;27;9.8;1.7;
2013-03-31;4;2.4;952.2;27.5;7.7;1;
2013-04-30;13;190.6;953.1;25.3;7.3;.6;
2013-05-31;18;63.8;954.4;22.9;4.7;0;
2013-06-30;18;51.4;955.4;22.2;0;0;
2013-07-31;16;94.4;956.8;21.4;0;0;
2013-08-31;17;47;956.2;21.4;0;0;
2013-09-30;13;28.2;955.4;23.2;0;0;
2013-10-31;8;40.6;954;24.6;0;0;
2013-11-30;7;18.8;951.8;25.2;6.3;.3;
2013-12-31;13;206.8;951.4;25.1;6.5;2.3;
2014-01-31;7;10.2;953;25.1;7.5;2.9;
2014-02-28;14;28.6;952.1;25.4;8.3;3.2;
2014-03-31;11;37.4;952.6;25.7;7.6;2.9;
2014-04-30;12;177.4;953;24.9;6.3;2.6;
2014-05-31;19;73.4;954.1;22.6;6.1;2.7;
2014-06-30;15;46.4;955.9;21.7;6.9;3;
2014-07-31;null;null;958.1;20.8;6.9;3.1;
2014-08-31;null;null;957.3;20.9;7.4;3.3;
2014-09-30;3;1.4;955.7;23.2;7.8;3.3;
2014-10-31;null;null;954.7;23.8;7.1;3.5;
2014-11-30;null;null;952.4;24.6;7.4;2.8;
2014-12-31;8;23.2;953.1;23.9;8.9;2.5;
2015-01-31;5;3.2;953.8;25;7.3;2.6;
2015-02-28;21;239.4;952.9;25.3;7.2;2.7;
2015-03-31;null;null;952.6;25.9;5.5;2.6;
2015-04-30;null;null;952.8;25.6;6.6;2.6;
2015-05-31;17;null;955;22.6;7.9;3;
2015-06-30;1;null;null;null;null;null;
2015-07-31;9;null;null;20.8;7.2;null;
2015-08-31;14;24.4;956.9;21.5;6.8;3.2;
2015-09-30;5;7.2;955;24.2;7.1;3;
2015-10-31;3;13.2;954.4;25.3;7.3;3.3;
2015-11-30;5;14;951.6;27.6;8;3;
2015-12-31;5;6;953.4;27.3;10.1;3.5;
2016-01-31;7;null;null;null;6.8;null;
2016-02-29;4;null;null;24.9;10.5;null;
2016-03-31;2;40.4;953.7;26;6.9;2.7;
2016-04-30;7;15.8;953.4;25.1;6.2;2.8;
2016-05-31;10;67;955.5;23.7;6.3;2.8;
2016-06-30;7;null;null;21.7;5.7;null;
2016-07-31;4;null;null;null;null;null;
2016-08-31;8;null;null;22.2;7;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;null;null;26.1;8.4;null;
2016-11-30;3;32.2;952.2;25.8;7.8;3.3;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;7;48.4;952.2;26.4;8.3;3;
2017-04-30;11;23.2;953.2;25.2;7;3.1;
2017-05-31;17;42.4;954.6;23.7;6.8;3.1;
2017-06-30;15;38.6;956.2;22.2;7.6;3.3;
2017-07-31;27;61;959;19.9;7.5;3.9;
2017-08-31;8;13.8;956.6;22;6.9;3.3;
2017-09-30;23;89.2;957.3;21.1;7.5;4;
2017-10-31;3;12.6;954.1;24.7;7.6;3.7;
2017-11-30;5;21.8;951.7;25.8;6.2;3;
2017-12-31;5;32.4;951.5;26.5;8.8;2.9;
2018-01-31;6;27.8;952.1;26.7;8.3;3.2;
2018-02-28;12;70.4;951.6;25.6;6.1;2.6;
2018-03-31;11;169.4;951.9;25.3;7.8;2.4;
2018-04-30;11;33.2;953.8;23.6;6.2;2.8;
2018-05-31;15;41.4;955.1;22.9;6.2;3.1;
2018-06-30;21;52.6;956.8;21.6;6.6;2.9;
2018-07-31;5;8.4;957;22.2;6.4;3.3;
2018-08-31;7;13.4;956.8;23.1;7;3.4;
2018-09-30;4;8.4;954.4;24.6;7.1;3.4;
2018-10-31;8;45.6;952.8;25.9;6.9;3.2;
2018-11-30;4;23.6;952.3;25.8;8;3.2;
2018-12-31;13;88.8;953.2;24.4;6.1;2.5;
2019-01-31;3;7.6;953.9;26.3;9.4;3.2;
2019-02-28;8;85;952.1;27.1;7.4;2.6;
2019-03-31;8;105.8;952.7;26.2;7.1;2.5;
2019-04-30;7;52;953;24.8;5.4;2.1;
2019-05-31;5;11.6;953.6;24.9;6.2;2.6;
2019-06-30;19;69.2;956.9;21.9;6.5;3.2;
2019-07-31;22;71.8;956.9;21;7.1;3.1;
2019-08-31;14;35;958.2;21.7;7.5;3.3;
2019-09-30;7;15.6;955.7;23.9;7.7;3.4;
2019-10-31;7;32.4;953.5;25.5;7.6;3.5;
2019-11-30;2;6.6;951.5;26.8;7.9;3.2;
2019-12-31;1;87.2;951.8;27.4;7.5;3.3;
2020-01-31;6;86.8;952.3;25.9;7.6;2.3;
2020-02-29;6;18.2;952.7;26;6.6;2.3;
2020-03-31;16;124.8;952.4;25.4;6;2.4;
2020-04-30;18;108.2;953.7;24.1;5.6;2.5;
2020-05-31;20;110.6;955.2;22.5;7.4;2.6;
2020-06-30;23;112.6;956.2;21.1;6.3;2.8;
2020-07-31;19;70.8;956.4;20.4;6.1;2.9;
2020-08-31;15;49.8;956.5;20.7;6.6;2.9;
2020-09-30;13;25.8;955.5;22.9;6.8;3.2;
2020-10-31;3;10.6;952.9;25.9;7;2.8;
2020-11-30;7;146.6;952.6;24;9;2.5;
2020-12-31;0;0;952.4;25.4;6.8;2.5;
2021-01-31;null;null;952;26.1;6.9;2.9;
2021-02-28;5;35.6;951.5;25.9;6.1;2.4;
2021-03-31;2;9.4;952.1;26.4;7.1;2.8;
2021-04-30;12;116;952.8;24.9;5.6;2.6;
2021-05-31;10;58.6;955.1;22.1;5.7;2.6;
2021-06-30;7;32.2;955.9;21.8;5.5;2.7;
2021-07-31;17;78.2;957.5;20.7;6.3;3;
2021-08-31;12;25.4;957.1;21;6.3;3.3;
2021-09-30;4;3;955.2;24.3;6.3;3.2;
2021-10-31;6;34.2;953;25.9;6.8;2.9;
2021-11-30;3;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;1;null;null;23.7;6.9;null;
2022-10-31;4;3.8;953.6;25.2;7.2;3.3;
2022-11-30;8;null;952.3;23.9;7.6;2.3;
2022-12-31;5;null;951.6;null;7.3;2.1;
2023-01-31;6;18.4;952.6;25;6.1;2.1;
2023-02-28;8;3.6;952.6;26.1;7;2.7;
2023-03-31;9;null;952.8;25.2;7.6;2.6;
2023-04-30;7;null;952.3;25.5;6.2;2.3;
2023-05-31;15;108;954.6;23.2;5.3;2.5;
2023-06-30;17;null;956.8;21.4;6.6;2.9;
2023-07-31;3;null;957.2;22;6.6;2.8;
2023-08-31;8;null;955.9;23.2;6.6;2.8;
2023-09-30;7;7.8;955.1;24.8;6.9;3.3;
2023-10-31;null;0;953;26.8;7.2;3.1;
2023-11-30;4;13.2;952.1;27.3;7.2;2.9;
2023-12-31;null;null;951.9;27.4;7.8;3;
2024-01-31;null;null;952.3;27.4;7;2.5;
2024-02-29;null;null;953.6;25.4;8;2.4;
2024-03-31;8;124.8;952.7;25.7;5.7;2.1;
2024-04-30;11;null;952.6;24.6;5.8;2.2;
2024-05-31;16;46.8;954.4;23.2;5;2.5;
2024-06-30;11;null;956.2;21.8;5.4;2.7;
2024-07-31;11;null;null;21.4;5.8;null;
2024-08-31;3;null;null;null;7.2;null;
2024-09-30;4;2.8;955.8;23.8;7;3.3;
2024-10-31;3;14.4;953.5;25.8;7;2.8;

