Nome: JACAREPAGUA
Codigo Estacao: A654
Latitude: -22.986979
Longitude: -43.370102
Altitude: 3.91
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2013-06-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-01-31;14;162;1012.1;25.2;7.1;2;
2012-02-29;null;null;null;null;null;null;
2012-03-31;null;null;null;null;null;null;
2012-04-30;8;null;null;24.5;7.8;null;
2012-05-31;12;154.2;1018.2;22;7.5;1.6;
2012-06-30;14;125.2;1017.7;22.4;7.9;1.8;
2012-07-31;9;58;1018.4;21.7;10.6;2;
2012-08-31;5;17.2;1022.4;22;8.6;1.9;
2012-09-30;6;95.6;1018.1;22.3;10.4;2.3;
2012-10-31;7;57.6;1013.8;24.3;9.4;2.3;
2012-11-30;18;88;1012.6;23.3;8.2;2.1;
2012-12-31;9;40.6;1010.1;27.9;9.7;2.2;
2013-01-31;14;null;1012.4;26;8.2;2.3;
2013-02-28;null;null;1011.9;27.7;7.4;2;
2013-03-31;6;null;1013.5;26;12.3;2;
2013-04-30;8;77.2;1015.8;23.8;7.1;1.7;
2013-05-31;11;122.2;1016.5;22.7;10.5;1.8;
2013-06-30;4;null;null;null;null;null;

