Data_Inicial,Data_Final,Data_Medicao,Periodicidade_Medicao,Local_Nome_Estacao,Situacao,Codigo_Estacao,Latitude,Longitude,Altitude,Numero_de_dias_com_precip_pluv_mensal_auto_em_numero,Precipitacao_total_mensal_auto_em_mm,Pressao_atmosferica_media_mensal_auto_em_mB,Temperatura_media_mensal_auto_Celsius,VENTO_velocidade_MAXIMA_mensal_auto_em_metros_seg,VENTO_velocidade_MEDIA_mensal_auto_em_metros_seg
2012-01-01,2024-10-31,2012-01-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,25.0,185.4,975.3,25.3,4.7,0.9
2012-01-01,2024-10-31,2012-02-29,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,24.0,221.4,976.1,25.2,4.8,0.8
2012-01-01,2024-10-31,2012-03-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,22.0,142.8,977.6,24.8,4.9,0.9
2012-01-01,2024-10-31,2012-04-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,11.0,75.4,977.1,25.4,4.7,1.3
2012-01-01,2024-10-31,2012-05-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,15.0,72.2,979.1,23.4,5.9,1.2
2012-01-01,2024-10-31,2012-06-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,10.0,,979.8,22.9,5.1,1.4
2012-01-01,2024-10-31,2012-07-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,2.0,,,20.0,5.3,
2012-01-01,2024-10-31,2012-08-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,,,,,4.5,
2012-01-01,2024-10-31,2012-09-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,,,,,6.7,
2012-01-01,2024-10-31,2012-10-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,13.0,94.2,975.7,26.6,6.6,1.6
2012-01-01,2024-10-31,2012-11-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,21.0,334.6,974.8,25.7,5.7,1.5
2012-01-01,2024-10-31,2012-12-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,21.0,263.4,975.0,25.7,4.8,1.4
2012-01-01,2024-10-31,2013-01-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,21.0,275.4,975.8,25.9,4.9,1.5
2012-01-01,2024-10-31,2013-02-28,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,26.0,439.6,976.1,24.9,5.9,1.3
2012-01-01,2024-10-31,2013-03-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,21.0,303.8,976.8,25.5,4.6,1.3
2012-01-01,2024-10-31,2013-04-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,22.0,104.8,978.5,23.8,4.3,1.2
2012-01-01,2024-10-31,2013-05-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,11.0,59.4,979.2,23.2,5.8,1.3
2012-01-01,2024-10-31,2013-06-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,6.0,38.2,979.5,23.8,3.6,1.1
2012-01-01,2024-10-31,2013-07-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,5.0,31.2,981.4,21.4,5.1,1.5
2012-01-01,2024-10-31,2013-08-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,0.0,0.0,980.2,21.9,7.0,2.1
2012-01-01,2024-10-31,2013-09-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,6.0,127.0,978.2,25.2,6.5,1.7
2012-01-01,2024-10-31,2013-10-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,16.0,96.6,977.0,25.5,7.3,1.4
2012-01-01,2024-10-31,2013-11-30,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,19.0,200.0,975.1,25.7,5.0,1.5
2012-01-01,2024-10-31,2013-12-31,Mensal,SALTO DO CEU,Operante,A936,-15.12472221,-58.12722221,300.83,26.0,348.0,974.8,25.5,4.9,1.7
