Nome: BOA VISTA
Codigo Estacao: 82024
Latitude: 2.82944443
Longitude: -60.66194444
Altitude: 84.18
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;155.2;169.2;34;211.7;5.9;7;33.6;null;null;34;28.1;24.6;69.4;4;1.7;71.3;
2012-02-29;5;151.5;156.7;16.9;179.4;7.3;10;16.8;null;null;33.4;27.8;24.1;69.4;4;1.4;66.5;
2012-03-31;5;153.1;173.5;46.7;164.4;6.8;7;46.6;null;null;34.1;28.1;24.5;68.2;3.5;1.3;67.4;
2012-04-30;0;94.1;152.7;152.7;145.6;7.5;20;246.9;null;null;33.1;27.5;24.3;80;3;.7;67.7;
2012-05-31;0;82.4;158.6;158.6;179.5;7.1;17;303.7;null;null;32.7;27.4;23.9;80.8;3;.6;68.6;
2012-06-30;0;85.5;151.7;87.6;196.9;6.6;14;105.4;null;null;33.2;27.6;24.2;79.7;3;.7;68.2;
2012-07-31;0;63.5;143.2;143.2;150;7.6;25;342.8;null;null;32.3;26.7;23.7;84.2;3;.3;63.1;
2012-08-31;0;74.1;146.9;146.9;179.5;7.4;24;308.6;null;null;33.1;26.9;23.8;81.9;3;.6;67.7;
2012-09-30;5;122.2;183.3;130.8;231.5;4.2;8;59.9;null;null;35.5;28.8;24.6;71;2.5;1;70.6;
2012-10-31;5;148.4;213.1;57.9;257.7;4.8;7;35.6;null;null;36.4;29.8;25.4;68.8;3;1.1;70.8;
2012-11-30;5;163.3;157;17.5;247.2;7;6;13.8;null;null;36.5;29.8;25;67.4;2.5;1;66.1;
2012-12-31;5;131.9;176.3;47;198.9;6.4;7;46.2;null;null;34.2;28.5;24.7;71;3;1.1;62.5;
2013-01-31;5;210.1;189.5;.3;215.6;5.8;0;0;null;null;35;29;25;62.1;4;2;66.2;
2013-02-28;5;133.7;123;78.5;114.4;7.4;10;78.4;null;null;34;28;24.5;72;3.5;1.4;65.9;
2013-03-31;5;182;188.8;13.8;197.8;6.8;4;13.8;null;null;35.1;29;25.2;65.3;4.5;1.5;68.1;
2013-04-30;5;141.3;178.9;167.8;129.9;7.3;13;168.6;null;null;34.4;28.4;25;72.9;4;1.2;62.1;
2013-05-31;0;68;151.7;151.7;136.9;7.7;24;314;null;null;32.5;27.2;24.3;84.1;4;.5;63.1;
2013-06-30;0;83.5;156.2;156.2;189.1;6.8;14;216.4;null;null;33.4;27.7;24.4;79.8;4;.5;63;
2013-07-31;0;82.2;147.6;147.6;201.6;6.8;21;253.7;null;null;32.6;27.1;23.8;80.4;3;.4;61.9;
2013-08-31;0;70.8;146.9;146.9;177;7.3;22;312.7;null;null;32.7;27;23.8;84.6;2;.5;61.3;
2013-09-30;0;100.5;173.2;137.1;224.2;6.9;13;74.2;null;null;35;28.5;24.5;78.2;2;.6;64.2;
2013-10-31;0;124.4;196.2;78.3;214.9;6.9;9;90.1;null;null;35.6;29.1;24.7;69.2;3;.9;64.6;
2013-11-30;0;115.8;129.4;129.4;202.4;6.8;8;251;null;null;35;28.7;24.6;70.6;3;.9;64.2;
2013-12-31;5;126.6;178.9;139.3;203.4;6.6;7;77.8;null;null;34.1;28.5;24.9;70.3;3;1.2;64.8;
2014-01-31;5;174;176.6;32.8;231.8;4.6;3;3.8;null;null;34.6;28.6;24.4;65.9;4.5;1.9;64.6;
2014-02-28;5;164.1;164.9;24;158;6.5;5;19.2;null;null;34.6;28.6;24.5;63.6;4;1.5;63.7;
