Nome: CARACARAI
Codigo Estacao: 82042
Latitude: 1.83249999
Longitude: -61.12083332
Altitude: 51.99
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;109.1;143.5;100.4;214.2;7.3;9;88.4;null;null;32.5;27.1;23.7;86.4;3;.9;63.8;
2012-02-29;0;92.2;133;89.5;171;7.5;11;66.1;null;null;31.9;26.7;23.3;89;3;.8;64.5;
2012-03-31;0;87.4;142.2;142.2;164.5;7.7;13;202.9;null;null;31.7;26.7;23.2;90.5;3;.8;64.2;
2012-04-30;0;68.2;137.4;137.4;134.1;8.1;21;337.3;null;null;31.1;26.4;23.5;93.6;2;.4;61.8;
2012-05-31;0;67.7;143.4;143.4;176;7.8;20;294.6;null;null;31.7;26.5;23.3;92.3;3;.4;63.4;
2012-06-30;0;68.4;140;140;197;7.5;18;253.5;null;null;31.7;26.6;23.6;92;3;.4;63.8;
2012-07-31;0;49.3;141.6;141.6;149.8;8;21;358.2;null;null;31;25.8;22.9;95.1;2;.3;59.7;
2012-08-31;0;59.6;142.9;142.9;165.1;8;18;263.2;null;null;32.3;26.3;23.3;93.2;3;.4;61;
2012-09-30;0;89.2;140.6;140.6;225.5;7.2;13;214.2;null;null;33.8;27.3;23.4;90.5;2;.5;64;
2012-10-31;0;108;148.9;112.9;258.9;6.8;6;50.2;null;null;34.7;28.6;24.3;88.2;2;.6;65.9;
