Nome: IAUARETE
Codigo Estacao: 82067
Latitude: 0.60222222
Longitude: -69.19277777
Altitude: 107.73
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-08-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;31.4;130.1;130.1;107.2;7.5;23;280.4;null;997.7;32.6;26.1;22;87.4;4;.7;30.5;
2012-02-29;0;28.6;121.8;121.8;88.4;7.1;20;523.3;null;997.1;31.9;26;22;87.7;4;1;28.4;
2012-03-31;0;33.7;128.7;128.7;95.8;7.7;21;532.5;null;998.1;31.7;25.9;22;87.4;2;.8;31.6;
2012-04-30;0;18;128;128;100.4;7.3;23;342.7;null;997.7;32.4;26.1;22.1;88;4;.9;31.3;
2012-05-31;0;32.4;124;124;121.5;7.7;26;550.3;null;999;31.6;25.7;22;89.2;3;.9;30.6;
2012-06-30;0;36.1;126.6;126.6;142.4;7.5;20;387.3;null;1000;32.1;26;22;86.2;4;.9;32.1;
2012-07-31;36;35.6;125.7;125.7;92.7;8.3;18;208.2;null;1000.1;31;25.7;22.1;86.2;3;1.1;26.7;
2012-08-31;0;19.2;132.4;132.4;140.4;7.5;18;276.6;null;999.9;32.9;26.5;21.9;83;4;.9;35.6;
2012-09-30;36;41.8;133;133;111.2;7.1;15;145.7;null;999.8;33.2;26.5;21.8;83.9;3;1;38.4;
2012-10-31;0;53.8;155.7;152.8;117.6;6.7;14;130.5;null;997;34.3;27.4;22.6;81.9;3;1.1;37.8;
2012-11-30;0;33.6;143.2;143.2;106.1;7.3;16;273;null;996.5;33.8;27;22.7;85.4;3;.9;32.1;
2012-12-31;0;34.8;142.4;142.4;143.3;7.2;21;201.4;null;996.2;33.2;26.7;22.4;86.1;3;1;34.5;
2013-01-31;0;24.5;142.4;142.4;124.4;6.8;20;234.8;null;997.3;33;26.7;22.6;87.2;4;1;34.7;
2013-02-28;0;15.6;117.6;117.6;76.2;8;25;523.7;null;997.1;32.4;26;22.3;87.8;4;1.1;24.8;
2013-03-31;0;33.6;122.1;122.1;138.7;7.2;19;274.1;null;997.4;33.1;null;null;82.5;4;1.1;36.5;
2013-04-30;0;26.1;134.2;134.2;114.7;7.2;19;471.8;null;998;32;26.3;22.9;83.9;4;1.1;35.1;
2013-05-31;0;39.4;132.5;132.5;101.1;7.9;8;365.8;null;998.9;31;26.5;23.3;85.8;3;1;31.2;
2013-06-30;0;52.6;130;130;145.7;7;null;191.3;null;999.3;31.2;26.2;22.6;86.7;4;.9;39.3;
2013-07-31;0;33.7;124.1;124.1;152.7;7.4;null;325.6;null;1000.6;30.4;25.6;22;85.8;4;1.1;36.7;
2013-08-31;0;44.9;130.7;130.7;141.9;6.9;null;275.4;null;999.2;31;26;22.4;85.9;4;1.1;33.7;
2013-09-30;0;44.2;129.6;129.6;156.6;7.4;null;397.2;null;998.6;32.2;26.2;22.1;85.5;4;1.2;36.3;
2013-10-31;0;27.7;144.4;144.4;168.9;6.7;null;191.7;null;997.6;32.6;26.9;23;84.7;4;1;41.8;
2013-11-30;0;31.4;129.3;129.3;132.9;7.9;null;308.7;null;996.2;32.2;26.7;22.9;84.8;3;.9;32.7;
2013-12-31;0;53.7;146;146;141.4;6.6;null;272.9;null;996.8;32.5;26.9;23.1;85.8;3;1.2;36.7;
2014-01-31;0;29.8;137;137;99.9;7.3;null;286.6;null;997.4;31.5;26.3;22.8;87.3;4;1.2;32.4;
2014-02-28;0;25.1;120.7;120.7;53.9;8.1;null;270.8;null;996.8;31.1;26.2;23;89.1;3;1;26.1;
2014-03-31;0;30.1;146.4;146.4;86.1;7.6;null;245.5;null;997.2;32.3;26.9;23.2;84.6;3;1.2;30.2;
2014-04-30;0;44.7;140.1;140.1;134.5;7.4;null;420.8;null;998;31.8;26.8;23;85;3;1;34.2;
2014-05-31;0;37.9;141.3;141.3;136.4;7.8;null;500.7;null;998.6;31.6;26.6;23.1;86;3;1.1;30.5;
2014-06-30;36;19.1;133.4;133.4;104;7.7;null;483.7;null;999.6;30.6;26.4;23.1;86.7;3;1.1;31.8;
2014-07-31;0;null;129.1;129.1;147.9;6.8;null;334.5;null;1001.1;30.8;25.9;22.7;86.3;4.1;1.1;95.1;
2014-08-31;0;null;null;null;76.2;7.5;null;178.6;null;1000.1;30.7;25.8;22.2;84.5;3.1;1;95.3;
2014-09-30;null;null;145.4;145.4;null;null;null;229;null;997.8;null;null;22.8;null;3.1;null;null;
2014-10-31;0;null;148.1;148.1;118.8;6.8;null;211.8;null;998.1;32.6;27.1;22.8;82.8;4.1;1;95.6;
2014-11-30;0;null;148.7;148.7;null;7.5;null;173;null;996.7;32.9;27.3;23.4;82.4;4.1;1.2;95.2;
2014-12-31;0;null;161.3;161.3;102.6;7.4;null;309.8;null;996.9;32;26.6;22.9;85.3;4.1;1.1;95.5;
2015-01-31;36;null;130.1;130.1;72.4;8;null;311.6;null;998.4;31.5;26.1;22.7;87.2;4.1;1.3;94.9;
2015-02-28;0;null;132.1;132.1;null;7.8;null;280.3;null;997.9;32.1;26.5;23;84.7;3.1;1;95.3;
2015-03-31;0;null;132.1;132.1;66.3;7.8;null;269.1;null;998.1;31.4;26.5;23.2;85.8;4.1;1;95.3;
2015-04-30;0;null;134.8;134.8;58.8;7.8;null;244.6;null;998.6;32.2;26.7;23.5;85.5;4.1;.8;95.2;
2015-05-31;0;null;null;null;null;8;null;367;null;999.6;31.1;26.6;23.5;85.8;3.1;.8;95.1;
2015-06-30;null;null;131.6;131.6;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-07-31;0;null;134.3;134.3;117.2;8.1;null;203.6;null;1000.5;31.2;26.2;22.9;86.9;5.1;.6;95.2;
2015-08-31;0;null;154.2;154.2;null;7.7;null;161.5;null;999.6;32.7;27.6;23.3;81.4;4.1;.6;95.4;
2015-09-30;null;null;164.4;146.9;null;null;null;null;null;999;null;null;null;null;3.1;null;null;
2015-10-31;0;null;159.6;109.4;117.3;7.9;null;68.9;null;998;33.5;27.4;23.4;91.4;3.1;.6;95.3;
2015-11-30;0;null;152.4;152.4;null;7.6;null;null;null;997.8;33.1;null;23.3;84.6;3.1;.8;95.4;
2015-12-31;0;null;121.8;121.8;108.7;7.9;null;284.4;null;998.4;32.2;null;null;84.5;3.1;.9;95.3;
2016-01-31;0;74.3;null;null;162.6;7.4;8;73.9;null;997.3;34.7;29.6;null;78.3;3;.8;41.1;
2016-02-29;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;null;null;null;998.5;null;null;null;null;3.1;null;null;
2016-04-30;0;null;null;null;113.9;8.1;null;261.1;null;998.1;null;null;null;null;3.1;.9;95.1;
2016-05-31;0;null;134.2;134.2;96.6;8.4;null;345.4;null;1000;31.1;26.3;19.8;86.2;3.1;.7;94.9;
2016-06-30;null;null;null;null;null;null;null;null;null;1000.2;null;null;null;null;3.1;null;null;
2016-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;null;null;null;999.9;32.3;26.6;19.3;86.6;3.1;null;null;
2016-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-06-30;0;null;null;null;103.6;8.1;null;259.9;null;999.4;null;null;null;88.8;2.1;.7;95.2;
2017-07-31;0;null;null;null;null;8.2;null;269.9;null;1000.4;null;null;null;88.1;4.1;1;95;
2017-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-09-30;null;null;null;null;null;null;null;null;null;998.3;null;null;null;84.7;3.1;null;null;
2017-10-31;0;null;140.8;140.8;121.6;8;null;194.8;null;997.6;null;null;null;84.5;3.1;.7;95.2;
2017-11-30;0;null;null;null;106.7;8;null;108.4;null;996.8;null;null;null;85.8;3.1;.8;95.2;
2017-12-31;36;null;null;null;null;8.1;null;111;null;996.4;null;null;null;85.4;3.1;1;95.2;
2018-01-31;0;null;121.8;121.8;84.5;8;null;null;null;996.4;null;null;null;82.5;3.1;1.3;95.3;
2018-02-28;0;null;110.1;98.1;132.9;7.8;null;56.8;null;996.6;null;null;null;78.8;3.1;1;95.4;
2018-03-31;0;null;122.1;122.1;142.1;7.9;null;246.6;null;996.4;null;null;null;80;3.1;1.1;95.3;
2018-04-30;0;null;null;null;78.6;8.2;null;164;null;998.2;null;null;null;85.4;4.6;.9;95.1;
2018-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-07-31;0;null;null;null;null;7.6;null;262.4;null;999.5;null;null;null;84;10.3;1.1;95.3;
2018-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;null;null;null;997;null;null;null;81.3;3.1;null;null;
2018-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-11-30;0;42;null;null;null;8.3;null;175.2;null;996.2;null;null;null;85.1;3;.9;30.2;
2018-12-31;0;null;null;null;null;8.1;null;227.4;null;997.6;null;null;null;84;3.1;.8;93.7;
2019-01-31;0;50.7;null;null;null;8.2;15;427.1;null;998.2;null;null;null;null;4;1.1;31.6;
2019-02-28;0;48.3;null;null;116.8;8.2;null;133.1;null;997.3;null;null;null;84.5;3;.8;30;
2019-03-31;0;66.4;null;null;105.7;8.1;null;169.7;null;997.5;null;null;null;null;3;1.1;31.3;
2019-04-30;0;43.6;null;null;null;8;11;189.1;null;null;31.6;27.3;24.2;82.4;3;1;30.8;
2019-05-31;0;57.9;null;null;null;7.9;12;252.5;null;null;32;26.7;23.8;87;3;.8;31.9;
2019-06-30;0;null;null;null;null;8.3;null;241.5;null;null;30.4;26.6;23;86;3.1;.8;93.9;
2019-07-31;0;null;null;null;null;8.3;null;113.7;null;null;29;25.3;22.5;88;3.1;1.1;95.1;
2019-08-31;0;null;null;null;null;7.9;null;null;null;null;31.2;26.9;22.4;85;10.3;1.3;95.2;

