Nome: MACAPA
Codigo Estacao: 82098
Latitude: -0.04499999
Longitude: -51.11
Altitude: 12.8
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;65.3;137.4;137.4;155;8;20;206.6;1010.4;1008.6;31.6;26.8;23.5;81.5;6;1.6;54;
2012-02-29;0;45.5;117.9;117.9;126.9;8.4;21;381.6;1010.3;1008.5;30.2;26;22.6;84.2;4.2;1.4;53;
2012-03-31;0;43.3;131.6;131.6;147.3;8.5;27;465.9;1010.9;1009.1;30.6;26.1;23;86;5;1.3;52.3;
2012-04-30;7;46.7;142.6;142.6;160.4;8.3;24;273.7;1010.6;1008.9;31.6;27;23.6;84.7;5.8;1.2;53.8;
2012-05-31;7;71.4;166.6;166.6;244.9;7.2;19;256.9;1011.3;1009.6;32.3;27.6;23.7;79;5.8;1.6;53.9;
2012-06-30;0;71.8;152.7;150.3;255.5;5.9;17;130.2;1012.5;1010.8;32.4;27.5;23.4;78.4;4.8;1.5;54.1;
2012-07-31;0;60.6;164.3;164.3;243.8;7.3;25;214;1012;1010.3;32.7;27.3;24.2;81.2;4.5;1.1;53.7;
2012-08-31;7;77.4;168.8;137.2;197.2;6.6;14;77.2;1012.6;1010.8;32.8;27.8;24.2;77;5.1;2;54.5;
2012-09-30;7;112.2;174.6;42.3;287.6;4.9;3;10;1012.5;1010.7;33.4;28.5;23.9;70.8;5;3;55.7;
2012-10-31;7;129.9;190.1;16;289;5.2;2;9.6;1010.4;1008.6;33.9;28.9;24.3;68.4;5.8;3.7;55.9;
