Nome: BARCELOS
Codigo Estacao: 82113
Latitude: -0.97416666
Longitude: -62.9286111
Altitude: 30.65
Situacao: Temporariamente Fechada
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;73;135.5;135.5;120.1;8.5;22;260.8;null;null;31.7;26.3;23.3;87.2;3;1.3;33.8;
2012-02-29;5;35.6;118.3;118.3;92.5;8.4;20;464.7;null;null;30.6;25.8;22.9;88.8;5;1.4;33.4;
2012-03-31;0;69.5;144.3;144.3;95.2;8.7;25;319.3;null;null;31.2;26.7;23.8;86.5;3;1.1;32.6;
2012-04-30;0;38.1;120.2;120.2;91.5;8.8;24;479.8;null;null;30.5;25.7;22.9;90.7;3;1.1;32.3;
2012-05-31;0;78.7;127.4;127.4;129.2;8.4;28;474.2;null;null;31.1;25.9;23;89.7;3;1;32.2;
2012-06-30;14;93.6;130;130;174.9;7.2;23;306.7;null;null;31.9;26.3;22.8;86.9;3;1.2;36.7;
2012-07-31;0;96.3;155.3;155.3;167.6;8.1;20;299.9;null;null;31.5;26.1;22.9;86.3;3;1.2;35.4;
2012-08-31;23;120.8;140.1;139.8;188.7;7.7;12;132;null;null;32.7;26.6;22.7;83.7;3;1.2;36.2;
2012-09-30;23;104.4;122;122;174.2;7.6;19;122;null;null;33;26.5;22.4;85.6;3;1.1;38;
2012-10-31;23;115.3;154.2;149.6;160.1;7.6;16;129.1;null;null;33.7;27.2;23.3;83.9;5;1.5;36.8;
2012-11-30;0;113.7;155.4;150.4;157.7;7.5;13;162;null;null;33.9;27.6;23.7;84;3;1.1;38.7;
2012-12-31;0;102.1;143;143;136.8;8.1;19;237.2;null;null;32.5;26.7;23.4;86.7;4;.9;34.6;
2013-01-31;5;162;166.9;136.9;169.1;7.8;12;78;null;null;33.6;27.9;24;79.5;3;1.3;36.8;
2013-02-28;0;72.9;117.3;117.3;68.4;9;24;397.4;null;null;31.3;25.9;23.1;90;3;1.1;34;
2013-03-31;5;97.7;144.3;144.3;79.1;8.4;24;271.9;null;null;32.3;26.8;23.7;85.9;3;1.2;34.2;
2013-04-30;0;104.6;144.9;144.9;103.8;8.1;21;223.8;null;null;32.7;27.2;24.1;85.4;3;1.2;35;
2013-05-31;0;74.3;136.3;136.3;121.7;8.2;22;335.1;null;null;31.7;26.4;23.5;88.2;4.5;1;34.1;
2013-06-30;0;80.5;133.5;133.5;149.9;7.5;16;267.1;null;null;31.9;26.5;23.4;87.5;3.4;1;36.3;
2013-07-31;5;90.8;122.2;122.2;145;7.8;24;232.2;null;null;31;25.5;22.3;87.1;3;1.2;35.4;
2013-08-31;0;94.5;131;131;118.3;7.9;17;251.8;null;null;31.7;26;22.9;92.2;3.4;.8;29.5;
2013-09-30;23;112.9;141.4;125.6;145.5;7.3;13;79.5;null;null;33.3;26.9;23.2;89.7;2.3;.9;31;
2013-10-31;23;133.2;156.2;114.5;174.5;7.2;12;87.8;null;null;33.7;27.4;23.3;88;2.3;1;31.9;
