Nome: SOURE
Codigo Estacao: 82141
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.6
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;55.4;160;114.9;223.8;6.5;16;114.8;1008.6;30.6;27.7;25;82.2;6;2.9;66.7;null;
2012-02-29;5;42.2;123.3;123.3;109.3;6.9;21;579.1;1009.4;29.6;26.3;23.5;87.6;5.1;2.1;66.7;null;
2012-03-31;5;48.8;131.6;131.6;90.5;7.4;29;808.2;1009.5;29.6;26.3;23.3;89.7;4.6;1.8;66.2;null;
2012-04-30;5;42.5;143.3;143.3;133.6;7.1;29;432.8;1008.8;30.4;27.1;23.8;88.2;4.5;2.1;66.7;null;
2012-05-31;5;77.8;166;165.5;261.5;6.1;18;155.9;1010.3;31.2;27.8;24.4;81.3;5;2.8;66.7;null;
2012-06-30;5;45.3;149.4;147.1;262.9;5.9;16;134.8;1011.3;30.9;27.5;23.8;81.3;4.6;2.4;66.7;null;
2012-07-31;5;41.7;154.4;118.6;274;5.5;13;82.5;1010.2;31;27.6;24.1;79.8;4.6;2.7;66.7;null;
2012-08-31;5;42.3;159.2;140.9;269.4;5.7;9;132.6;1010.5;30.8;27.5;24;79.3;5;2.8;66.7;null;
2012-09-30;5;37.9;161.1;33.8;261.2;5.4;3;12.6;1011;31;27.9;24.8;76.7;5;3.3;66.7;null;
2012-10-31;5;55.5;171.5;5.1;253.3;6.1;0;0;1008.9;31.3;28.1;24.9;75.3;5.1;3.6;66.8;null;
2012-11-30;5;56.6;166.2;.9;271.9;5.5;0;0;1008.5;31.5;28.2;24.7;76.1;5;3.3;65.5;null;
2012-12-31;5;48.6;176.8;60.5;240;6.4;3;47;1008.6;31.6;28.3;24.9;77.5;5.1;3.4;66.7;null;
2013-01-31;5;47;146.6;146.6;192.1;7.2;25;331;1010.2;30.5;27.2;23.3;85;5.6;2.7;66.8;null;
2013-02-28;5;28.9;132.2;132.2;110.6;7.5;21;230.3;1009.6;30.3;27;22.8;85.3;5.1;2.7;66.7;null;
2013-03-31;5;35.6;152.8;152.8;132.6;7.5;4;555.3;1009.8;30.3;27.3;24.4;86.9;4;2.5;66;null;
2013-04-30;5;34.8;147.6;147.6;116.9;8.2;null;510.1;1010.5;30.6;27.2;24.4;89.8;4.3;1.7;65;null;
2013-05-31;9;67.1;154.5;154.5;153.3;6.7;null;338.8;1010.1;31;27.5;24.6;89.8;4.5;1.7;66.7;null;
2013-06-30;9;76.7;160.6;138.9;252.6;5.5;null;86.6;1010.5;31.4;27.9;25;80.9;4.5;2.3;66.7;null;
2013-07-31;9;71.5;145.6;145.6;214;5.6;null;203.8;1010.8;30.9;27;23.4;82.1;5;1.9;66.6;null;
2013-08-31;9;89.8;156.9;152.3;262.3;6;null;125.1;1009.8;31;27.5;24.1;81.8;4.8;2.7;66.7;null;
