Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;65.5;150.6;150.6;147.1;8.4;24;245.3;1002.1;31.3;26.6;23.5;88.1;3;.2;60.8;null;
2012-02-29;0;53.6;120.2;120.2;103.7;8.4;22;452.1;1001.2;30.6;26.1;23;88.7;3;.3;60.7;null;
2012-03-31;0;56.5;133.6;133.6;145.6;8.3;26;249.1;1002.1;30.8;26.3;23.3;87.5;3;.5;60.8;null;
2012-04-30;0;62.4;140.1;140.1;167.4;7.9;17;172.5;1002.1;31.4;26.9;23.8;88;4;.4;62.2;null;
2012-05-31;0;82.5;152.4;131.3;227.4;7.4;11;79.7;1002.3;31.8;27.3;23.9;86;3;.6;63.9;null;
2012-06-30;0;84.3;147.2;64.4;239.7;6.9;10;81.3;1002.1;31.9;27.3;23.5;85.7;3;.8;64.8;null;
2012-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-08-31;0;115.2;174.9;74.9;283.1;6.3;3;10.3;1004.4;32.8;28.3;24.2;77.9;4;1;67.5;null;
2012-09-30;0;126.2;172.2;55.2;255.3;6.4;4;42;1003;33.6;28.4;24.2;76;4;1;65.7;null;
2012-10-31;0;129.7;190.9;42;245.9;6.7;4;38.7;1001.8;33.8;28.9;24.8;75.7;5;.9;65.8;null;
2012-11-30;0;138.3;200.3;66.9;235.3;6.9;5;65.5;1002.5;34.4;29.5;25.1;74.2;3;.6;64.5;null;
2012-12-31;0;93.2;157.1;157.1;120.9;8.3;19;219.5;1002.2;32;27.3;23.8;83.9;3;.5;61.6;null;
2013-01-31;0;67.3;142.4;142.4;140.4;8.5;24;418.2;1003.7;31.4;26.8;23.7;88.4;2;.2;61;null;
2013-02-28;0;53;124.7;124.7;136.5;8.6;23;338.1;1002.6;31;26.5;23.6;88.1;3;.4;60.4;null;
2013-03-31;0;52.8;141.4;141.4;115.1;8.8;26;391.1;1002.8;31.1;26.6;23.9;89.2;3;.4;60.6;null;
2013-04-30;0;58.4;138.1;138.1;160.2;8.1;21;323.2;1004.4;31.3;26.9;24.1;88.4;4;.5;61.5;null;
2013-05-31;0;55.1;148.3;148.3;184.1;7.8;10;194.9;1005;31.5;27.1;24.2;88;3;.5;62.7;null;
2013-06-30;0;80.5;153.4;121.4;240.9;6.7;null;61.2;1003.8;31.9;27.5;24.3;84;3;.6;61.5;null;
2013-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-08-31;0;null;161.3;150.4;257.6;7.1;null;127.4;null;32.3;27.7;23.9;83.2;3.1;.4;97.5;null;
2013-09-30;0;99.7;163.3;101.9;254.1;6.4;null;66.6;null;32.6;28;24.3;81.1;3;.8;66.8;null;
2013-10-31;0;125.3;183.5;31.2;274.8;6.3;null;13.5;null;33.2;28.6;24.7;76.8;4;1.1;66.6;null;
2013-11-30;0;95.3;164.6;164.6;185;7.1;null;165.8;null;32.5;28;24.4;80.6;4;1;63.5;null;
2013-12-31;0;92.9;170.4;80.9;188.9;7.1;null;77.8;null;32.2;28;24.4;80.9;3;.7;64.8;null;
2014-01-31;0;84.5;146.5;146.5;169.6;7.9;null;255.7;null;31.1;26.8;23.5;84.4;4;.6;56.5;null;
2014-02-28;0;48.4;119.4;119.4;103.4;8.7;null;210.7;null;30.2;26.1;23.2;88.8;4;.4;59.8;null;
2014-03-31;0;53.3;137.5;137.5;null;8.6;null;343.6;null;30.5;26.5;23.7;87;3;.4;61.1;null;
2014-04-30;0;49.9;136.2;136.2;109.8;8;null;404.6;null;30.5;26.7;24.1;85.6;3;.6;62.2;null;
2014-05-31;0;51.8;140.2;140.2;143.2;7.8;null;253.4;null;30.4;26.7;24;88.2;5;.6;62.3;null;
2014-06-30;0;64.4;143.2;135.8;193.4;7.1;null;102.2;null;31;27.1;24;85.7;3.4;.9;64.3;null;
2014-07-31;0;83.2;158.6;92.9;254.2;6.6;null;58.6;null;31.3;27.4;24;83.1;4;1;65.6;null;
2014-08-31;0;116.4;170.2;32.8;271.7;5.8;null;15.4;null;32.7;28;24.3;79.9;4;.8;67.3;null;
2014-09-30;0;122.2;169.9;41.4;266.5;5.9;null;38;null;32.7;28.3;24.3;77.3;4.1;1.2;66.1;null;
2014-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-11-30;0;115.4;175.9;89.8;249.6;6.9;null;86.9;null;32.8;28.4;24.7;78.9;4.1;1.1;64.2;null;
2014-12-31;0;122.8;184.5;44.2;188;6.7;null;42.6;null;33.1;28.6;24.7;78.2;4;1;65;null;
2015-01-31;0;86.9;142.4;142.4;177.4;7.6;null;208.8;null;31;26.7;23.6;85.4;3;.6;60.9;null;
2015-02-28;0;57;124.7;124.7;141.9;8.1;null;165.4;null;30.6;26.5;23.7;87.6;3;.6;60.9;null;
2015-03-31;0;50.3;128;128;110.7;8.5;null;355.9;null;29.5;26;23.5;89.6;2;.3;60.3;null;
2015-04-30;0;66.5;132.4;132.4;174.8;7.9;null;287.8;null;30.3;26.5;23.8;88.3;4.1;.6;62.3;null;
2015-05-31;0;59.5;140.2;140.2;183;7.6;null;172.4;null;30.1;26.8;24.2;87.2;3;.6;58.2;null;
2015-06-30;0;75.8;145.2;92.4;232.4;6.7;null;51.4;null;30.9;27.2;24.1;83.8;3.4;.9;65.7;null;
2015-07-31;0;72.7;150.2;139.5;217.2;6.9;null;127.3;null;30.9;27.1;24;84.1;3;.6;64.8;null;
2015-08-31;0;123.2;174.8;23.7;282.6;5.5;null;3.2;null;32.4;28.3;24.7;79.6;3;1.1;68.4;null;
2015-09-30;5;145.3;183.9;5.2;288.6;5.3;null;1.4;null;33.1;28.9;25.1;76.2;5;1.8;69;null;
2015-10-31;5;168.1;193.3;32.6;257.9;6.5;null;26.2;null;32.9;29;25.1;74.4;5.1;1.9;64.8;null;
2015-11-30;0;155.6;195.2;35.7;238.2;7;null;35.6;null;33.3;29.2;25.2;74.3;5;1.3;63;null;
2015-12-31;0;149.5;191.9;29.5;138.8;7.2;null;29.5;null;33.1;28.9;25.1;76.5;4;1;61.5;null;
2016-01-31;0;134.3;152.7;151.8;172.3;7.8;null;151.8;null;32.5;28.2;24.7;80.5;5;1;62.9;null;
2016-02-29;0;76.9;130.9;130.9;null;7.7;null;276.5;null;31.3;27.3;24.5;85.3;4;.7;63.6;null;
2016-03-31;0;55.8;139.4;139.4;114;8.5;null;381.5;null;30.1;26.6;24.1;88.7;3;.4;61;null;
2016-04-30;0;53;136.2;136.2;119.4;8.2;null;320.7;null;30.2;26.8;24.1;88.4;3;.5;59.8;null;
2016-05-31;0;null;150.3;149.1;null;7.4;null;133.9;null;30.9;27.2;24.5;84.2;5;1.6;63.1;null;
2016-06-30;0;null;157.6;119.6;null;6;null;null;null;32.1;27.8;24.6;79.7;5;1.4;65.7;null;
2016-07-31;0;null;163;70.2;null;6.2;null;null;null;32;27.7;24.5;79.6;5;1.5;66.4;null;
2016-08-31;18;null;177.2;44.2;null;5.5;null;null;null;33.2;28.4;24.7;75.6;5;1.9;67.9;null;
2016-09-30;0;null;176.8;29.5;null;6.2;null;null;null;33.5;28.6;24.8;74.4;5;1.7;65.7;null;
2016-10-31;18;null;190.9;48.3;null;6.1;null;null;null;34;28.9;24.8;72.6;5;2.3;65.2;null;
2016-11-30;18;null;183;39.5;null;6.8;null;null;null;33.5;28.9;25.1;73.6;5;1.9;64.3;null;
2016-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2017-01-31;0;null;136.5;136.5;null;8;null;null;null;30.2;26.3;23.4;84.5;4;1.2;62.3;null;
2017-02-28;0;null;114.4;114.4;null;8.5;null;null;null;30.4;26;23.1;85.5;4;.9;60.8;null;
2017-03-31;0;null;128;128;null;8;null;434.1;null;30.2;26;23.3;85.8;5;1;62.8;null;
2017-04-30;0;null;138.1;138.1;null;7.4;null;null;null;30.8;26.9;23.9;85;4;1;63.4;null;
2017-05-31;0;null;152.4;152.4;null;6.7;null;224.7;null;31.3;27.4;24.5;82.3;5.1;1.4;97.6;null;
2017-06-30;0;null;151.3;133.5;null;6.3;null;86.1;null;31.7;27.6;24.4;81.2;4;1.4;67.2;null;
2017-07-31;0;110.6;165.2;83.6;263.1;5.4;null;48;null;32.3;27.8;24.4;79.6;5;1.5;67.6;null;
2017-08-31;14;134.5;186.7;17.2;282.1;4.4;null;3.8;null;33.7;28.8;24.7;76.2;5;2.1;68.5;null;
2017-09-30;5;146.4;188.7;3;251.5;5.3;null;.8;null;34.3;29.1;24.9;73.9;7.3;2.6;66.7;null;
2017-10-31;5;128;190.8;62.1;226.2;5.3;null;61.8;null;33.9;28.9;24.8;76.1;6;2.5;67.4;null;
2017-11-30;14;144.1;195.2;51.5;233;6.1;null;51.3;null;34.5;29.3;25;73.5;5;2.2;64.9;null;
2017-12-31;0;104.1;161.4;161.4;107.2;7.7;null;281.2;null;32.4;27.5;24;78.8;5;1.4;61.8;null;
2018-01-31;0;83.8;144.4;138.1;161.6;7;null;106.7;null;31.2;26.8;23.7;84.1;5;1.4;64.4;null;
2018-02-28;0;45.7;117.7;117.7;87.7;8;null;416;null;30.2;26.2;23.4;87.3;3;1.1;62.4;null;
2018-03-31;0;67.2;141.4;141.3;179;7.3;null;136.2;null;31.2;26.8;23.9;85.9;4;1.4;64.1;null;
2018-04-30;0;54.9;128.7;128.7;124.8;7.5;null;422.9;null;30.4;26.4;23.7;88.1;4;1.3;63.3;null;
2018-05-31;14;72.3;150.4;150.4;178.5;6.8;null;179.7;null;31.4;27.1;24.3;85.4;5;1.7;64.7;null;
2018-06-30;14;80.4;149.3;132.9;220.7;5.9;null;86.1;null;31.7;27.3;24.3;83.7;4;1.9;67.8;null;
2018-07-31;14;null;156.5;88.1;197.2;5.8;null;54;null;32.2;27.5;24.3;84.7;5;2.1;67.7;null;
2018-08-31;14;123.7;174.8;22.9;291.3;5.4;null;7.4;null;33.3;28.4;24.5;79.5;5;2.5;66.9;null;
2018-09-30;5;114.3;174.5;48.1;259.2;5.5;null;45.5;null;33.6;28.5;24.7;77.3;6;2.5;68;null;
