Nome: PORTO DE MOZ
Codigo Estacao: 82184
Latitude: -1.751055
Longitude: -52.236186
Altitude: 13.08
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;57.8;142.7;142.7;132.4;6.4;24;189.6;1009.7;31.3;26.6;23.9;83;1.3;1;68.6;null;
2012-02-29;36;42.5;122.4;122.4;143.2;6.6;26;451;1009.5;30.8;26.1;23.4;85.2;1.1;1;68.4;null;
2012-03-31;36;37.4;132.2;132.2;123.3;6.6;26;374.4;1010;30.3;26.2;23.7;87.7;1.3;.9;68.9;null;
2012-04-30;5;37.8;134.7;134.7;154.6;6.5;28;517.6;1009.7;31;26.7;24.1;87.6;1.1;.9;68.1;null;
2012-05-31;5;54.1;172.1;172.1;254.1;6.1;27;300.9;1010.1;32.4;27.6;24.4;81.7;1.1;.9;68.8;null;
2012-06-30;5;54.3;149.5;149.1;225.2;5.8;21;140.2;1011.4;32.2;27.5;24.3;81.3;1.1;.8;69.6;null;
2012-07-31;36;58.5;152.5;152.5;221.3;6;19;251;1011.2;32;27.4;24.2;81.2;1.1;.8;69.7;null;
2012-08-31;5;76.1;168;145.2;274.1;5.8;11;91.9;1011.3;32.9;28.1;24.5;77.7;1.3;.9;69.7;null;
2012-09-30;5;78.7;167.6;98;242.8;6.1;1;68.7;1011.4;33;28.2;24.5;75.7;1.8;.9;69.8;null;
2012-10-31;5;78.3;183.1;41.8;229.1;6.1;5;28.1;1009.1;33.4;28.6;24.8;74;1.1;.9;69.8;null;
