Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 9.8
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;52;137.7;137.7;131;6;24;266.7;1011.4;31.8;26.4;23.3;87.6;2;.8;60.6;null;
2012-02-29;0;40.6;120;120;127.8;6.3;25;390.1;1011.1;31.2;26;22.9;87.7;2;.7;59.3;null;
2012-03-31;0;39.4;131.4;131.4;135.7;6.4;30;445.6;1011.7;31.6;26.2;23.3;88.8;3;.7;59.6;null;
2012-04-30;0;45.7;133.6;133.6;123.9;5.1;14;415.2;1011.7;31.2;26.6;23.4;87.6;1;.6;62.3;null;
2012-05-31;5;null;155;109.5;188.7;5.2;3;41.8;1011.1;32.3;27.3;24;85.7;1;.9;96.9;null;
2012-06-30;0;62.5;151.6;45.1;209.1;5.1;2;21.6;1011.4;32.5;27.5;24.4;85.1;2;.7;63.6;null;
2012-07-31;0;63.3;152.8;123.8;247.6;5.2;12;121;1012.4;33;27.4;24.1;83.7;2;.7;63;null;
2012-08-31;9;66.4;151.3;70;241.6;5.5;14;66.3;1013.3;33;27.2;null;82.2;2;.8;62.4;null;
2012-09-30;5;60.3;148.9;74.6;229.6;5.3;8;73.1;1012.9;32.9;27.4;null;83.6;2;.8;62.9;null;
2012-10-31;9;58.3;160.5;54.4;204.2;5.5;13;53.6;1011.9;33.5;27.6;null;81.4;2;1;63.3;null;
