Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;38.3;137.7;137.7;166.3;7.1;27;451.2;1009.5;1009;31.4;26.4;23;87.3;2.6;1;46;
2012-02-29;0;30.6;116.9;116.9;118.9;8.6;29;411.9;1009.4;1008.9;30.4;25.7;22.7;90.1;3;.7;45.6;
2012-03-31;0;20.6;129.8;129.8;135.2;8.2;31;742.5;1010.2;1009.7;30.9;26;22.9;90.7;4.6;.7;44.7;
2012-04-30;9;29.5;139.3;139.3;177.8;8.1;26;382.8;1009.9;1009.3;32;26.8;23.2;87.4;6.8;1.2;46.3;
2012-05-31;9;51.7;143.5;143.5;244.6;6.3;23;225.1;1010.7;1010.2;32.5;26.8;22.4;83.4;5.3;1.2;50.2;
2012-06-30;0;44.6;133.3;133.3;245.7;6.1;27;320;1012;1011.5;32.3;26.5;22.1;84.1;3.3;1.1;50.5;
2012-07-31;9;56;143.4;143.4;251.2;6;24;313.2;1011.5;1011;32.4;26.7;22.3;82.5;3.5;1.2;51.5;
2012-08-31;9;47.7;145.6;140.6;264.9;5.5;15;112.2;1012.2;1011.6;32.7;27;22.2;79.7;3.5;1.5;54.4;
2012-09-30;9;62;143.2;143.2;241.9;5.6;17;197;1012.2;1011.6;32.9;27;22.1;80.1;3.1;1.6;52.6;
2012-10-31;5;65.8;158.4;112.4;224.8;5.9;12;44.3;1009.8;1009.2;33.1;27.6;23.1;77.4;4.1;1.5;51.8;
