Nome: FONTE BOA
Codigo Estacao: 82212
Latitude: -2.51583333
Longitude: -66.10083333
Altitude: 59.34
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;65.3;135.3;135.3;118.8;7.9;25;553.7;1011.3;1003.1;31.6;26.4;22.9;84.6;3;1.1;55.3;
2012-02-29;0;52;null;null;90.8;8.1;23;187.4;1011.2;1003;31.3;26;22.9;85.8;4;1;54.7;
2012-03-31;0;55.5;122.2;122.2;111.7;8.2;24;442.1;1012.1;1004;30.7;25.6;21.8;88.9;3;.6;51.3;
2012-04-30;0;43.5;128.9;128.9;119;7;19;299;1011.9;1003.9;31.5;26.2;22.3;89.1;3;.6;51.9;
2012-05-31;0;60.2;132.5;132.5;160.4;7.3;24;357.3;1012.5;1004.3;31.8;26.3;22.7;87;4;.9;55.6;
2012-06-30;0;65;127.9;127.9;139.1;6.4;16;214.2;1013.3;1005.1;31.6;26.3;22.6;86.6;3;.9;54.9;
2012-07-31;0;70.4;130.6;130.6;137.4;7.1;15;239.8;1013.3;1005;31.4;26.2;22.4;85.9;3;1;55.8;
2012-08-31;0;100.9;149.1;135.4;203.8;5.2;11;94;1012.9;1004.7;33.6;27.1;23;81.9;3;.9;61.3;
2012-09-30;0;93.2;145.2;130;192.7;5.6;10;115.5;1012.6;1004.6;33.5;27;22.7;82.2;3;.8;60.5;
2012-10-31;0;88.8;152.8;86.9;174.7;6.4;12;57.2;1011.3;1002.9;33.4;27.2;23;83.5;3;.9;60.7;
2012-11-30;0;84.7;152.4;106.2;194.8;6.6;10;99.2;1010.5;1002.3;33.4;27.5;23.2;82.2;3;1.1;60.3;
2012-12-31;0;84.4;142.7;142.7;180.7;7.5;18;286.5;1010.9;1002.6;32.4;26.6;22.6;83.9;3;1;57.8;
2013-01-31;0;75.7;148;148;135.8;7.5;20;154.9;1011.3;1003;32.4;27;23;81.6;6;1.1;61.2;
2013-02-28;0;60.7;123.3;123.3;103.5;8.4;20;312.1;1011.4;1003.3;31.3;26.2;22.7;86.8;3;.9;54.8;
2013-03-31;0;66.4;139.3;139.3;141.5;7.4;16;325.3;1011.6;1003.4;31.9;26.5;22.4;87.3;3.6;.9;52.7;
2013-04-30;0;77.9;139.3;139.3;135.2;7.1;19;230.8;1011.5;1003.3;32.4;26.8;22.8;83.5;3;.9;58.6;
2013-05-31;0;64.6;136.1;136.1;137.6;7.4;6;459;1012.2;1004.1;31.6;26.4;22.5;85.6;3;.8;51.2;
2013-06-30;0;64.2;133;133;156.4;6.8;null;284.4;1012.7;1004.4;31.8;26.5;22.7;83.8;8;.8;55.1;
2013-07-31;0;69.8;119.1;119.1;153;7.1;null;265.1;1013.8;1005.8;31;25.6;21.7;86.1;3;.8;55.7;
2013-08-31;0;79.7;132.9;132.9;147;7.1;null;258.1;1013;1004.9;31.9;26.2;22.1;83.7;6;.9;55.6;
2013-09-30;0;73.2;139.7;139.7;171.5;6.6;null;138.3;1011.9;1003.9;32.8;26.8;22.8;83.6;4;1.2;57.5;
2013-10-31;0;99.7;154.7;127;207.8;6.2;null;71.2;1011.2;1003.1;33.5;27.4;23.3;81.8;3;1.1;61.6;
