Nome: PARINTINS
Codigo Estacao: 82240
Latitude: -2.62999999
Longitude: -56.72999999
Altitude: 29
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;52.7;161.3;161.3;100.4;6.8;26;381.3;null;null;30.4;26.6;24;84.3;0;0;44.2;
2012-02-29;0;50.6;125.9;125.9;90.4;6.1;24;470.4;null;null;30;26.4;24;84.1;0;0;45.8;
2012-03-31;0;58.8;142;142;116.8;6.8;24;306;null;null;30.6;26.8;24.3;84.2;0;0;46.8;
2012-04-30;0;57.7;130.6;130.6;154.6;6.2;24;177;null;null;31.4;27.5;25;83.8;0;0;48.3;
2012-05-31;0;64.3;153.4;153.4;196.8;5.2;19;295.4;null;null;31.4;27.5;24.6;83.1;0;0;47.6;
2012-06-30;0;75.7;156.8;156.8;229.1;4.1;17;175.3;null;null;32.2;27.8;24.7;79.9;0;0;48.3;
2012-07-31;0;70.3;155.4;155.4;203.6;5.1;21;232.9;null;null;31.5;27.5;24.6;81.5;0;0;48.5;
2012-08-31;0;98.9;187.6;154.8;273.8;3;7;90.9;null;null;33.5;28.8;25.3;73.3;0;0;47.5;
2012-09-30;0;123.2;206.5;80.8;254.5;3.1;1;49.7;null;null;34.4;29.6;26;69.4;0;0;38.1;
2012-10-31;0;124.4;206.1;60.8;241.6;3.7;5;54.4;null;null;34.5;29.5;25.4;69.2;0;0;33.7;
