Nome: BELTERRA
Codigo Estacao: 82246
Latitude: -2.64222221
Longitude: -54.94388888
Altitude: 164.3
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;60.4;126.5;126.5;123.6;7.9;16;242.7;1011.5;991.7;30.2;25.6;22.3;90;9.3;.9;54.4;
2012-02-29;0;41.2;107.7;107.7;77.6;9;17;197.8;1011.6;991.7;29.2;24.9;21.9;91.9;1.4;.7;50.9;
2012-03-31;0;48.2;122.1;122.1;84.3;8.1;20;227.9;1012.1;992.1;29.7;25.4;22.2;90.7;1.4;.7;51.4;
2012-04-30;0;47.4;123.5;123.5;85.5;8.2;20;168.9;1011.6;991.8;30.4;25.9;22.4;90.6;1.4;.8;54.6;
2012-05-31;0;54.7;126.9;126.5;104.6;7.2;15;117.4;1012.2;992.3;30.5;25.8;22.4;89.6;5;.8;55.9;
2012-06-30;0;57.7;122.5;114.2;129.6;7;15;87.2;1013.3;993.4;30.4;25.8;21.9;91.1;1.3;.8;56.7;
2012-07-31;0;58.9;129.9;125.4;142.1;7.3;16;118.4;1013;993.1;30.7;25.6;21.9;90.7;1.3;.8;55.1;
2012-08-31;14;78.5;138.8;69.3;null;5.4;8;31.9;1012.9;993.1;32.1;26.6;22.3;86.6;1.3;.8;58.5;
2012-09-30;14;98.8;148.7;40;186.1;5.3;4;26.2;1013;993.2;32.8;27.3;22.9;82.1;1.5;.9;59.7;
2012-10-31;14;103.6;152.8;70.5;248.5;6.2;5;67.2;1011.2;991.5;33;27.2;22.8;82.8;1.5;.9;58.4;
