Nome: CAMETA
Codigo Estacao: 82263
Latitude: -2.23972221
Longitude: -49.49972221
Altitude: 9.93
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;2;69;150.9;150.9;178.5;7.4;21;213.5;1009.4;32.5;27.2;23.4;82.8;5;2.6;65.1;null;
2012-02-29;2;49.7;122.1;122.1;154.7;8.2;28;454.1;1009.3;32.1;26.1;22.7;87.5;5;2.1;62.6;null;
2012-03-31;2;55.2;145.5;145.5;207.2;8.1;29;293.6;1009.9;32.7;26.9;23.2;87;4;2.6;62.6;null;
2012-04-30;2;49.3;150;150;221.7;7.7;25;375.1;1009.5;33.1;27.3;23.4;86.7;5;2.6;62.1;null;
2012-05-31;2;67.7;158.6;158.6;268.5;6.2;25;187.1;1010.4;33.3;27.6;23.6;84.4;5;2.5;64.3;null;
2012-06-30;2;67.5;153.2;141.8;247.3;5;18;101.7;1011.7;33.3;27.6;23.4;81;5;2.6;66.2;null;
2012-07-31;2;76;165;132.7;251.2;5;16;94.3;1011.1;33.5;27.9;23.6;82.6;4;2.5;65.9;null;
2012-08-31;2;76.7;165.6;84.5;271.3;4.8;7;63.3;1011.9;33.7;27.9;23.6;82.9;5;2.3;66.7;null;
2012-09-30;2;92;161.1;26.4;259.9;4.3;7;17.3;1011.8;33.8;28.2;23.7;75.9;5;2.9;66.7;null;
2012-10-31;2;98.8;178.8;55.8;223.2;5;3;53.8;1009.3;33.8;28.5;23.8;74.7;5;3.2;66.7;null;
2012-11-30;2;110.1;188;4.1;234.4;4.1;2;3.4;1008.6;34.5;29;24.3;71.8;4;3.1;66.7;null;
2012-12-31;2;72.6;166.2;166.2;202.8;6.8;19;322.8;1008.6;33.4;27.7;23.8;80.5;5;2.6;64.4;null;
2013-01-31;2;56.3;153;153;164.9;7.8;26;291;1009.9;32.6;27.2;23.7;85.9;5;2.3;64.5;null;
2013-02-28;2;54.4;130.2;130.2;170.6;7.7;23;394.4;1009;32.7;26.8;23.2;86;6;2.3;63.3;null;
2013-03-31;2;51.4;151.7;151.7;174;8.2;4;386.3;1009.7;32.5;27.1;24;87.4;5;2.2;61.8;null;
2013-04-30;2;51.2;146;146;204.8;7.4;null;446.5;1010.3;32.9;27.2;23.7;86.4;5;2.3;65;null;
2013-05-31;2;56.5;174.3;174.3;221.7;6.2;null;381.3;1010.6;33.1;27.3;23.6;84.8;4;2.1;62;null;
2013-06-30;2;56.9;153.2;153.2;234.1;5;null;205.5;1011.2;33.2;27.6;23.8;83.2;4;2.3;65.8;null;
2013-07-31;2;61.4;147.9;147.9;232;4.9;null;150.1;1011.9;33.1;27.1;22.9;85.2;4;2.3;65.8;null;
2013-08-31;2;71.9;170.1;131.8;264.4;4.9;null;67.8;1010.8;34.2;28.1;23.9;82.5;4.3;2.5;66.6;null;
2013-09-30;2;77.1;169.9;78.3;262.9;5.4;null;53.6;1010.7;33.9;28.2;23.9;80.4;4;2.9;66.7;null;
2013-10-31;2;null;178.8;48.2;276.8;4.3;null;39.8;1010.1;34.3;28.5;24.1;78.2;4;3;66.7;null;
2013-11-30;2;null;167;133.8;204.9;6;null;173;1008.7;33.4;28.1;24.1;81.7;5;2.8;66;null;
2013-12-31;2;110.4;180;46.6;230.2;5.7;null;44.9;1009.3;33.6;28.3;24.3;81.6;5;2.9;66.5;null;
2014-01-31;2;82.9;142.7;142.7;173;7.2;null;476;1010.2;32.4;26.9;23.2;85.8;5;2.5;65.5;null;
2014-02-28;2;59.1;126.6;126.6;132.4;8.2;null;349.7;1009.4;31.9;26.5;23.4;88.5;4;2.5;63.6;null;
2014-03-31;2;63.7;141.5;141.5;193.8;8.1;null;448;1010.1;32.2;26.7;23.5;88.4;4;2.7;62.6;null;
2014-04-30;2;67.6;146;146;203.9;7.8;null;404.2;1010.5;32.9;27.2;23.8;87.5;5;2.8;64;null;
2014-05-31;2;66.7;152.3;152.3;215;7.2;null;360.2;1010.6;32.8;27.3;23.8;87.1;4;2.5;65.3;null;
2014-06-30;2;90.4;161.6;161.6;257.3;6;null;176.2;1011.1;33.8;28;24.1;83.3;5;2.4;65.8;null;
2014-07-31;2;99.8;160.6;160.6;292.6;5.1;null;181.8;1012.8;33.3;27.8;23.6;82.4;5;2.5;66.7;null;
2014-08-31;2;111.6;170.1;128.8;301.6;4.2;null;63.1;1011.8;33.7;28.1;23.8;80.6;5;2.6;66.7;null;
2014-09-30;2;113.7;169.9;67.4;280.9;4.5;null;42.5;1011.3;33.8;28.3;23.9;79.7;5;3;66.7;null;
2014-10-31;2;127.5;186;33.2;282;5;null;25.5;1010.3;34.2;28.7;24.1;78.1;5;3.2;66.9;null;
2014-11-30;2;135.6;185.6;85.9;266;4.8;null;84.7;1009.3;34.4;28.9;24.3;76.2;4;3;66.7;null;
2014-12-31;2;127.7;180;100.3;248;6.1;null;99.9;1009.8;33.7;28.4;24.4;79.8;4;2.9;66.7;null;
2015-01-31;2;85.2;146.7;146.7;197.4;7.3;null;240.7;1010.8;32.5;26.9;23.1;84.5;5;2.9;66.1;null;
2015-02-28;2;65;126.6;126.6;152.4;7.8;null;287.5;1010.6;32.1;26.7;23.1;86.8;5;2.6;63.6;null;
2015-03-31;2;59;139.5;139.5;163.9;7.9;null;290.9;1010.4;32;26.6;23.4;88.1;4;2.7;65.6;null;
2015-04-30;2;61.1;138.1;138.1;223.9;7.3;null;540.3;1010.7;32.5;26.8;23.3;88.4;4;2.5;65.1;null;
2015-05-31;2;78.8;158.6;158.6;243.1;6.4;null;268.6;1011;33.3;27.6;23.8;85.5;4;2.7;64.5;null;
2015-06-30;2;90.1;157.4;157.4;274.2;5.5;null;186.1;1012;33.2;27.8;23.9;84.2;4;2.5;63.8;null;
2015-07-31;2;99;167.2;164.7;290;4.8;null;144;1011.8;33.4;28;24;82.6;4;2.7;66.7;null;
2015-08-31;2;114.4;177;100;292.9;3.7;null;41.1;1011.3;33.9;28.4;24.3;80.5;5;2.3;66.7;null;
2015-09-30;2;129;179.1;54.9;296;4.2;null;39.6;1011.1;33.9;28.7;24.4;77;5;3;66.7;null;
2015-10-31;2;139.6;201;6.6;292.3;4.4;null;2.2;1010.7;34.8;29.3;24.4;75.3;5;3.5;65.7;null;
2015-11-30;2;148.9;195.4;19.4;259.2;4.7;null;18.8;1009.3;34.7;29.4;24.8;73.9;5;3.7;66.7;null;
