Nome: PARNAIBA
Codigo Estacao: 82287
Latitude: -3.08668
Longitude: -41.783139
Altitude: 52.11
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-09-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;183.5;149.2;17;248.4;5.4;6;17;1006.4;1003.9;33.6;null;null;null;8.3;4.7;50;
2012-02-29;5;137.1;136.7;136.7;191.1;6.8;14;163.8;1006.3;1003.6;32.5;null;null;null;7;3.7;50;
2012-03-31;9;78.8;142.7;142.7;179.5;7.3;22;228.9;1007.1;1004.5;31.3;null;null;null;6.2;2.9;50.8;
2012-04-30;5;94.2;138.9;107.6;232.5;5.7;12;47.9;1006.9;1004.3;32;null;null;null;6;3.2;50;
2012-05-31;5;142.3;144.1;55.4;256.7;4.1;4;27.7;1007.7;1005.1;33.5;null;null;null;7;3.4;50;
2012-06-30;5;116.8;136.9;104.8;241.9;3.7;12;101;1008.8;1006.2;32.7;null;null;null;6.3;3.2;49.2;
2012-07-31;9;141.2;142.8;44;246.9;3.2;6;38.5;1008.4;1005.8;33.6;null;null;null;5.8;3;50;
2012-08-31;5;180.1;143.5;2.4;284.4;2.6;0;0;1009.2;1006.4;34.4;null;null;null;6.5;3.4;50;
2012-09-30;5;212.6;141;.6;285.4;2;0;0;1009.1;1006.5;34.4;null;null;null;7;4.6;50;
2012-10-31;5;225.9;148.8;.1;292.3;2.3;0;0;1006.4;1003.8;35;null;null;null;9;5;50;
