Nome: LUZILANDIA(LAG.DO PIAUI)
Codigo Estacao: 82296
Latitude: -3.46972221
Longitude: -42.26805554
Altitude: 44.13
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2012-02-29;36;75.1;133.7;133.7;182.3;6.8;15;166.5;null;33.4;26.4;20.2;82.6;10;4.2;2;null;
2012-03-31;9;null;null;null;null;6.7;13;216.6;null;32.4;26.1;20.1;85.2;9;3.6;2;null;
2012-04-30;9;null;137.4;128.9;217.8;4.3;13;93.2;null;33.1;26.7;21.2;82.6;7;3.6;2;null;
2012-05-31;5;null;145.2;93.6;282.9;2.8;5;55.5;null;34.3;27.7;22.3;70.7;9;3.8;2;null;
2012-06-30;18;null;139.4;100.7;null;2.9;6;90.6;null;34.7;28;22.2;68.5;10;3.7;2;null;
2012-07-31;18;null;145.9;12.4;211.6;3.2;null;0;null;35.7;28.2;22.2;66.2;10;3.5;2;null;
2012-08-31;14;null;148.2;2.9;276.1;2.4;0;0;null;37.6;28.6;21.1;64.7;8;3.7;2;null;
2012-09-30;9;null;144.7;.7;279.7;2.2;0;0;null;38.3;28.7;21.4;62.1;12;5.4;2;null;
2012-10-31;14;null;151.7;.2;235.4;3.1;null;0;null;38.9;29.1;22.3;61.8;8;4.9;2;null;
2012-11-30;36;null;147.8;0;254.3;3.5;null;0;null;38;29;22.8;61.9;12;6.6;2;null;
2012-12-31;9;null;153.4;4.1;219.1;5;3;4.1;null;37.7;29;23.1;61.9;12;6.9;2;null;
2013-01-31;36;null;148.1;148.1;180.8;5.4;9;193.4;null;34.7;27.6;22.7;75.3;10;4.2;2;null;
2013-02-28;9;null;133.3;101.3;201.6;5.9;null;86.2;null;35.1;27.6;23.1;75.6;12;4.4;2;null;
2013-03-31;5;null;147.4;147.4;186;6.5;null;218.7;null;34.4;27.8;22.8;80.4;10;4.2;2;null;
2013-04-30;36;null;138.9;138.9;182.3;6.3;null;213.3;null;33.2;27.1;22.4;84.9;7;2.9;2;null;
2013-05-31;18;null;141.5;129.3;213.1;4.6;null;87.6;null;33.2;27;21.8;82.9;8;2.4;2;null;
2013-06-30;18;null;136.8;79.7;203;4.2;null;44.4;null;33.9;26.9;20.9;83.1;7;2.6;2;null;
2013-07-31;18;null;141.4;47;236.9;4;null;31.5;null;34.6;26.9;20.4;80.2;9;3.3;2;null;
2013-08-31;18;null;146.3;42.5;280.2;2.9;null;37.4;null;37.2;28.1;20.9;75.4;8;3.6;2;null;
2013-09-30;14;null;144.3;3.6;281.2;2.7;null;1.6;null;38.2;28.7;21;70.9;10;4.2;2;null;
2013-10-31;5;null;151.3;15.9;278.2;2.8;null;15.4;null;38.4;28.9;21.3;81;11;4.9;2;null;
2013-11-30;9;null;144;53.1;222.6;4.9;null;53;null;37;28.4;21;87.5;11;5;2;null;
2013-12-31;36;null;null;null;242.7;3.7;null;0;null;37;28.6;21.5;84.1;12;4.7;2;null;
