Nome: ESPERANTINA
Codigo Estacao: 82298
Latitude: -3.9
Longitude: -42.25944444
Altitude: 88
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2018-11-19
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;132.4;147.5;147.5;240.9;4.6;13;229;null;34.7;27.2;21.6;76.9;6;1.8;10;null;
2012-02-29;5;78.8;133.8;133.8;193.7;5.9;17;154.9;null;32.8;26.2;21.4;82.4;5;1.4;10;null;
2012-03-31;5;45.9;140.8;140.8;221.4;5.5;23;253.9;null;32.2;26;21.5;85;8;1.3;10;null;
2012-04-30;5;63.2;136.5;136.5;248;4.8;17;295.8;null;32.8;26.5;21.8;83.7;3;1.4;10;null;
2012-05-31;5;93.3;140.9;131.2;299.3;3.2;9;93.3;null;32.9;26.6;21.7;79.8;4;1.5;10;null;
2012-06-30;5;106.3;135.9;82.8;275.4;3;7;46.4;null;33.4;26.6;21.4;78.5;3;1.5;10;null;
2012-07-31;5;141;142.4;27.4;296.3;2.7;4;8.8;null;35;27.1;20.8;70.3;3;1.3;10;null;
2012-08-31;14;188.6;145.5;7.3;314.6;2;2;2.2;null;36.9;27.8;20.1;69.7;5;2;10;null;
2012-09-30;5;186;null;null;298.9;1.8;0;0;null;37.9;28.2;20.3;67.8;5;2.1;10;null;
2012-10-31;5;248.6;151.4;4;304.1;2.2;1;3.8;null;38.6;28.9;21.3;66.1;6;2;10.6;null;
2012-11-30;5;248;148.7;4;281.9;2.4;1;4;null;38.1;29.1;22.3;67.2;5;2.4;10;null;
2012-12-31;5;238.1;154;27.4;263.4;4.1;8;27.4;null;37.5;29;22.6;67.4;5;1.7;10;null;
2013-01-31;5;161.5;149.8;97.3;218;5;10;97.3;null;35.1;27.8;22.5;75.5;5;1.5;10;null;
2013-02-28;5;125.4;133;133;220.3;5.1;null;211.1;null;34.8;27.5;22.1;78.9;4;1.2;10;null;
2013-03-31;5;109.8;146.5;146.5;223;5.3;null;205.1;null;34.2;27.4;22.6;80.7;4;1.3;10;null;
2013-04-30;5;74.1;136.5;136.5;245.2;5.5;null;285.3;null;32.8;26.7;22.3;83.6;3;1.3;10;null;
2013-05-31;5;78.9;140.6;139.1;265.3;4.5;null;122.6;null;32.7;26.5;21.9;82.5;4;1.2;10;null;
2013-06-30;5;89.4;135.2;93.4;256.4;3.9;null;42.8;null;32.8;26.4;21.4;80.5;3;1.3;10;null;
2013-07-31;5;94.1;143.1;81.7;267.9;3.7;null;63.4;null;33.3;26.4;21.3;77.4;3;1.2;10;null;
2013-08-31;5;214.6;145.4;31.6;304.6;2;null;20.9;null;36.2;27.7;21.2;70.9;5;1.6;10;null;
2013-09-30;5;215.2;143.5;46.8;302.5;2.2;null;43.5;null;37.8;28.3;20.8;66.4;6;2.2;10;null;
2013-10-31;5;322.9;151.4;18.8;309.5;2.7;null;17.6;null;38.4;28.8;21.2;63.9;6;2.1;10;null;
2013-11-30;14;223;146.1;37.3;241.8;3.8;null;37;null;36.9;28.3;21.6;67.1;5;2.1;10;null;
2013-12-31;5;204.7;152.4;1.4;262;3.3;null;1.3;null;37.1;28.6;21.7;64;6;1.8;10;null;
2014-01-31;5;123;146.7;145.8;215.7;5.5;null;146.4;null;34.8;27;21.7;75.2;6;1.4;10;null;
2014-02-28;5;69.5;129.2;129.2;196.8;6.1;null;341.6;null;32.6;26.1;21.6;81.3;3;1.1;10;null;
2014-03-31;5;71.5;142.7;141.9;214.7;5.9;null;129.2;null;32.5;26.4;21.8;82.1;5;1.2;10;null;
2014-04-30;5;65.2;135.8;135.8;226.1;6;null;271;null;32.2;26.1;21.7;83.3;5.1;1.2;10;null;
2014-05-31;5;61.8;139.1;139.1;240;5.7;null;251;null;32;26.1;21.5;84.1;3;1.1;10;null;
2014-06-30;5;48.9;135.5;135.5;283.2;3.3;null;172.3;null;32.6;26.4;21.3;81.5;3;1.2;10;null;
2014-07-31;5;153.3;139.4;77.7;302.3;2.5;null;15.4;null;33.3;26.3;20.2;75.8;5;1.4;10;null;
2014-08-31;5;276.6;141.3;23.6;313.3;2.2;null;4.5;null;35.6;27;19.8;70.2;5;1.8;10;null;
2014-09-30;5;305;141.6;8.1;281.6;2.3;null;3.2;null;37.5;28.2;20.6;64.6;6;2.1;10;null;
2014-10-31;5;358.2;151.3;29.4;297.7;2.9;null;28.2;null;38.5;28.9;21;62.2;6;2.1;10;null;
2014-11-30;5;202.8;146.1;53.5;272.2;3.3;null;53.2;null;37.2;28.4;21.2;66;5;2.3;10;null;
2014-12-31;5;201.4;152.4;2;244;3.9;null;1.9;null;37.2;28.6;21.5;63.4;7;2.1;10;null;
2015-01-31;5;213.6;151.3;43;243.8;4.1;null;43;null;36.7;28.2;21.4;66.1;5;1.6;10;null;
2015-02-28;5;65.3;131.6;131.6;168.6;5.6;null;204.6;null;34.1;27;21.3;75.9;6;1.3;10;null;
2015-03-31;5;80.3;143.1;143.1;193.5;6.1;null;152.6;null;33;26.5;21.5;80.4;3;1.2;10;null;
2015-04-30;5;56.6;136.9;136.3;235.7;5.2;null;133.8;null;32.8;26.4;21.4;82.6;3;1.4;10;null;
2015-05-31;5;79.4;141.4;128.5;260.9;4.4;null;103;null;33;26.7;21.3;80.3;3;1.3;11.2;null;
2015-06-30;5;88.8;135.2;113.9;269.1;3.3;null;96.4;null;32.9;26.4;20.3;78.6;5;1.5;10;null;
2015-07-31;5;134.9;142;34.1;277.8;3;null;6.7;null;34.7;27;19.9;70.7;5;1.3;10;null;
2015-08-31;5;284.2;145.1;7.3;314.9;1.9;null;0;null;37.2;28;19.6;63.7;6;2;10;null;
2015-09-30;5;191.8;144.6;2.5;304.3;2.1;null;.8;null;38.5;28.7;20.5;61;5;2.1;10;null;
2015-10-31;5;316.3;152.9;.4;314.6;2;null;0;null;39.1;29.2;20.9;58.9;5;2.2;10;null;
2015-11-30;14;259.2;149.8;.1;305.3;2.2;null;0;null;39.4;29.4;21.2;58.6;6;2.7;10;null;
2015-12-31;5;227.8;155.5;6.4;291;3;null;6.4;null;38.9;29.4;21.4;57.5;5;2.2;10;null;
2016-01-31;5;71.1;146.6;146.6;142.9;6.8;null;301.6;null;33.3;27;21.4;76.9;5;1.6;10;null;
2016-02-29;5;64.1;135.6;135.6;197.8;5.9;null;183.9;null;33.2;26.6;20.9;79.9;4;1.2;10;null;
2016-03-31;5;71.7;144.2;144.2;215.4;5.9;null;254.2;null;33;26.8;21.3;81.6;3;1.2;10;null;
2016-04-30;5;70.1;138.6;138.6;222;5.3;null;241.6;null;33.1;26.8;21;80.8;3;1.4;10;null;
2016-05-31;14;88.1;140.9;140.9;283.2;4;null;191.6;null;32.8;26.6;20.7;80.2;4;1.3;10;null;
2016-06-30;5;107;135.2;91.2;274.6;3.1;null;24.1;null;33.2;26.4;19.9;77.7;4;1.4;10;null;
2016-07-31;5;155.6;140.2;37;292.5;2.8;null;13.3;null;34.7;26.5;19;72.6;5;1.6;10;null;
2016-08-31;5;221;144;7.1;319;1.7;null;0;null;36.5;27.4;18.7;65.3;5;2;10;null;
2016-09-30;5;222.4;143.1;28.9;303.1;2.6;null;28.2;null;37.7;28.2;20;64.7;5;2.1;10;null;
2016-10-31;14;309.2;151.4;37.7;303.1;2.3;null;37.2;null;38.6;28.8;20.1;63;5;2;10;null;
2016-11-30;14;289.6;149.1;7.2;283;2.4;null;7;null;38.7;29.3;20.6;62.6;5;2.4;10;null;
2016-12-31;5;182.9;151.6;31.8;215.2;4.7;null;31.6;null;37;28.4;20.8;65.3;6;1.7;10;null;
2017-01-31;5;126.4;147.4;135.2;217.9;5.7;null;133.6;null;35;27.2;20.2;71.8;4;1.4;10;null;
2017-02-28;5;84.2;128.5;128.5;185.7;6.8;null;305.5;null;32.8;26;20;79.7;4;1.1;10;null;
2017-03-31;5;54.5;null;null;196.7;6.9;null;402.8;null;32;25.5;19.6;83.4;3;1.1;10;null;
2017-04-30;5;55;134.7;134.7;203.6;6.1;null;376.5;null;32.1;25.8;20.5;83.5;3;.9;10;null;
2017-05-31;5;56.4;141;141;241.7;4.6;null;243.6;null;32.5;26.6;21.8;81.1;2;1.2;10;null;
2017-06-30;5;56.9;136.3;91.6;271.8;3;null;24.2;null;32.7;26.7;21.6;77;3;1.4;10;null;
2017-07-31;14;140.6;138.3;91.1;294;2.1;null;76;null;32.8;26.2;20.3;74.2;4;1.8;10;null;
2017-08-31;14;243.2;144.7;15.7;292.9;2;null;2.4;null;35.5;27.5;20.5;70.2;5;1.9;10;null;
2017-09-30;14;332.6;144.2;6.2;303.2;1.9;null;3;null;37.3;28.5;21;65.4;6;2.5;10;null;
2017-10-31;14;355;153.3;16.1;312.5;2.2;null;15.3;null;38.6;29.3;22.3;62.9;6;2.6;10;null;
2017-11-30;5;297.8;149.1;.2;287.4;2.4;null;0;null;38.2;29.2;22.6;65.1;5;2.4;10;null;
2017-12-31;5;179.4;null;null;240.4;4.2;null;68.6;null;36.7;28.7;22.7;67.5;6;2.4;10;null;
2018-01-31;5;92.2;146.2;127.2;203.7;5.6;18;231.7;null;33.4;26.9;21.8;75.9;5;1.5;10;null;
2018-02-28;5;45.4;128.5;128.5;151.9;6.2;20;351;null;30.8;26;22;81.7;5;1.3;11.3;null;
2018-03-31;5;86;144.2;144.2;230;5.3;16;204.9;null;31.9;26.8;22.3;78.6;4;1.3;10;null;
2018-04-30;5;53.1;136.1;136.1;170.4;6.4;21;361;null;30.9;26;21.8;82.1;4;1.1;10;null;
2018-05-31;5;68;140.6;140.6;197.8;4.6;11;143.6;null;31.7;26.4;21.7;80.5;3;1.5;10;null;
2018-06-30;14;98.8;134.8;103.8;256.6;2.9;5;44.2;null;32.3;26.3;21.4;78.1;5;1.7;10;null;
2018-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-08-31;14;124;142.8;53.6;288.9;2.3;4;47.5;null;34.9;27.1;20.6;70.9;5;1.9;10;null;
2018-09-30;14;194.2;144.6;6.5;304.9;1.5;1;3.6;null;37.8;28.6;21.3;63.8;6;2.5;10;null;
2018-10-31;5;213.6;151.7;26.3;296.2;2.5;4;25.6;null;38;28.9;22.2;64.7;5;2.4;10;null;
2018-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;

