Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Temporariamente Fechada
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;60.1;125.7;125.7;129.8;7.3;24;637.2;null;null;32.3;25.7;21.1;88;3;.4;6.2;
2012-02-29;0;59.7;115.2;115.2;104.6;7.3;25;364.3;null;null;32.2;25.6;20.8;86.9;3;.5;6.4;
2012-03-31;0;62.9;125.6;125.6;120.5;6.9;27;302.7;null;null;32.3;25.8;20.6;86.9;3;.5;6.4;
2012-04-30;0;63;122.1;122.1;140.3;6.6;23;338.6;null;null;32.4;25.9;20.9;89;2;.5;6.7;
2012-05-31;0;58.2;123.5;123.5;150.1;6.3;22;370.3;null;null;32;25.8;20.5;87.7;2;.4;6.6;
2012-06-30;0;82.7;134.8;132.2;172.4;4.8;16;111;null;null;32.9;26.8;22.5;83.6;3;.5;9.8;
2012-07-31;0;90.7;134;130.7;191.2;5.2;14;121.5;null;null;32.6;26.5;23;83.7;2;.4;10.5;
2012-08-31;0;120.3;148.2;137.4;212.4;4.1;7;120.6;null;null;34.3;27.1;22.7;80.6;2;.5;9.7;
2012-09-30;0;101;156.7;129.2;213.9;4.2;1;109.3;null;null;34.9;27.5;23.2;80.9;5;.5;9;
2012-10-31;0;93.6;165.5;165.5;182.4;6.1;15;196.4;null;null;34.6;27.7;23.9;82.6;2;.4;8.7;
2012-11-30;0;85.9;163.5;135.5;172.2;5.7;13;108.6;null;null;34.6;27.8;24;81.7;3;.6;13.5;
2012-12-31;0;75.4;146.5;146.5;137.7;6.5;19;344.1;null;null;32.8;26.7;23.4;86.1;3;.7;10.3;
2013-01-31;0;74;154.3;154.3;159.9;6.7;20;268.4;null;null;33.2;27.1;24;85.1;3;.5;12.5;
2013-02-28;0;59.9;127.8;127.8;112.7;7.4;22;401.8;null;null;32.4;26.5;23.4;86.6;3;.5;14.2;
2013-03-31;0;70.8;150.1;150.1;152;7.1;4;391.6;null;null;32.7;27;23.9;85.6;3;.7;20.5;
2013-04-30;0;65.3;147.8;147.8;137.7;6.7;null;424.7;null;null;33.1;27.1;24.2;87.5;2;.4;17.3;
2013-05-31;0;66.5;147.6;147.6;170.1;6;null;229.7;null;null;32.9;27;24;86;2;.4;14.8;
2013-06-30;0;62.6;136.7;136.7;165.4;5.5;null;175.2;null;null;32.7;26.7;23.4;86.8;3;.5;13.3;
2013-07-31;0;76.9;135.8;135.8;196.3;5.7;null;146.3;null;null;32.7;26.2;22.6;84.8;3;.7;11.9;
2013-08-31;0;99.9;148.2;135;220.3;5;null;91.9;null;null;33.9;27;23;80.8;3;.6;12.7;
2013-09-30;0;96.3;156.6;153.1;212;4.5;null;148.7;null;null;34.2;27.5;23.3;81.5;2;.3;11.8;
2013-10-31;0;101.3;161.2;137.4;245.2;4.8;null;119.4;null;null;34.6;27.5;23;81.5;3;.5;12.3;
2013-11-30;0;73.8;141.3;141.3;161;6.6;null;374.2;null;null;33.1;26.8;22.7;85.9;3;.5;13.3;
