Nome: CODAJAS
Codigo Estacao: 82326
Latitude: -3.8411111
Longitude: -62.05527777
Altitude: 30.31
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;43.3;141.7;141.7;122.8;8.3;25;436.1;null;null;30.5;25.6;23;93;5;1.7;48.4;
2012-02-29;14;26.3;null;null;131.7;8.2;19;374.5;null;null;30.3;25.3;22.3;92.2;5;1.7;48.7;
2012-03-31;0;17.2;139;139;137;7.9;26;497.1;null;null;30.7;25.4;22.4;92.9;5;1.5;51.2;
2012-04-30;0;19.9;136.1;136.1;158.8;7.1;21;249.7;null;null;31.3;26;22.8;91;5;1.9;56.3;
2012-05-31;0;34.6;140;140;190.4;6.5;18;241.4;null;null;31.1;26.3;22.7;90.8;5;1.8;56.7;
2012-06-30;18;32.8;135;135;218.3;5;11;144.2;null;null;31.4;26.3;22.7;89.9;5;1.9;57.1;
2012-07-31;18;42.7;137.8;135.3;225.5;5.6;12;115.2;null;null;31.4;25.8;22;90.8;5;1.7;56.7;
2012-08-31;0;105.9;140.3;113.2;233.9;4.7;8;76.3;null;null;33.2;26.3;21.7;85.9;5;1.7;60.1;
2012-09-30;23;77.2;138.3;121.3;224.6;5.4;16;113;null;null;33.6;26.6;22.2;87.1;5;1.8;45.9;
2012-10-31;23;38.5;146.1;146.1;218.6;6.3;17;181.4;null;null;33.8;27.1;23;88.1;5;2;54.2;
2012-11-30;23;54.9;142.4;142.4;199;7;15;233.2;null;null;33.4;27.2;23.3;88.6;5;1.7;56.4;
2012-12-31;23;20.3;143;143;133.4;7.3;24;624.8;null;null;31.4;25.9;22.6;91.3;5;1.8;53.3;
2013-01-31;0;31;151.7;151.7;168.2;7.6;26;571.6;null;null;31.5;26.3;22.7;91.9;5;1.7;56.5;
2013-02-28;0;15.6;126.5;126.5;120.2;7.9;24;625.2;null;null;31.1;25.4;21.7;92.4;5;1.5;52.1;
2013-03-31;0;17.3;141.4;141.4;159.1;7.4;4;545.2;null;null;31.3;25.9;22.1;92.4;5;1.6;54.7;
2013-04-30;0;12.9;135.4;135.4;147.9;7.6;null;319.4;null;null;31.2;26;22;92.7;5;1.4;56.4;
2013-05-31;0;31.6;138.5;138.5;198.5;6.6;null;359.6;null;null;31.3;26;21.7;90.7;9;1.4;54.8;
2013-06-30;0;37.4;135;135;219.3;5.4;null;135.4;null;null;32;26.3;22.3;90.4;5;1.5;58.6;
2013-07-31;14;17.9;138.6;131.1;217.1;5.9;null;97.4;null;null;31.7;25.8;22.3;88.2;5;1.6;58.6;
2013-08-31;14;91.5;140.2;123;234;5.9;null;101.8;null;null;32.4;26.3;22.6;86.9;5;1.8;57.4;
2013-09-30;14;121.5;139.4;72.1;240.9;5.4;null;44.4;null;null;33.7;27.2;23.2;82.9;3;2;58.2;
2013-10-31;14;121.5;146.4;97.3;221.6;6.1;null;89.7;null;null;33.9;27.2;23.3;83.3;5;2;56.5;
2013-11-30;14;59.1;138.6;138.6;145.9;7.8;null;545.4;null;null;31.5;26.2;23.3;90.1;5;2.2;52.5;
2013-12-31;14;54.3;146.1;146.1;192;7.2;null;215;null;null;32.5;26.7;23.7;89;3;1.7;56.7;
2014-01-31;14;65.3;144.8;144.8;179.9;7.2;null;326;null;null;31.9;26.4;23.5;89.8;5;1.9;55.3;
2014-02-28;0;33.9;127.6;127.6;112.9;8.2;null;386.2;null;null;31.1;25.6;23;93.1;3;1.5;51.1;
2014-03-31;0;24;144.8;144.8;130.6;7.9;null;495.6;null;null;31.3;26.1;23.3;91.8;5;1.7;51;
2014-04-30;0;47;137.6;137.6;153.8;7.1;null;408.7;null;null;32;26.5;23.7;92.1;3;1.6;52.9;
2014-05-31;0;31.7;140.4;140.4;165.6;7.4;null;319.6;null;null;31.6;26.4;23.7;91.8;5;1.7;55.4;
2014-06-30;0;54.7;135.4;135.4;194.6;5.6;null;242.4;null;null;32;26.4;23.2;89.4;5;1.6;54.8;
2014-07-31;0;null;140;131;245.1;4.8;null;94.4;null;null;32.3;26.5;22.9;88.3;5.1;1.9;96.2;
2014-08-31;0;null;141.4;120.5;232.9;5.8;null;98.3;null;null;32.9;26.4;22.2;88.9;5.1;1.8;97;
2014-09-30;0;null;141.2;86.6;240.2;6;null;64.5;null;null;34.8;27.5;22.9;86.3;3.1;1.8;96.7;
2014-10-31;36;null;143.7;143.7;159.5;6.6;null;256.8;null;null;33.3;27;23.4;87.5;3.1;2;96.2;
2014-11-30;0;null;140.9;140.9;162.7;7.6;null;318.8;null;null;32.4;26.9;23.4;90;5.1;1.7;96.5;
2014-12-31;14;null;145.7;145.7;161.7;7.6;null;373.1;null;null;32.3;26.7;23.8;90.5;5.1;2;96.7;
2015-01-31;0;null;143.3;143.3;149.9;7.9;null;411.5;null;null;31.5;26;23.2;91.7;5.1;1.8;96.5;
2015-02-28;5;null;130;130;125.4;7.3;null;338.6;null;null;32;26.6;23.7;92.2;5.1;2;96.8;
2015-03-31;0;null;141.4;141.4;158.2;7.8;null;489.5;null;null;31.8;26.1;23.2;92;5.1;1.7;96.8;
2015-04-30;0;null;137.6;137.6;161.1;7.5;null;209.8;null;null;32;26.7;23.7;92.4;5.1;1.8;96.7;
2015-05-31;0;null;140.4;140.4;181.2;7;null;387.4;null;null;31.5;26.4;23.7;93.1;3.1;1.3;96.8;
2015-06-30;0;null;137.9;137.9;null;6;null;137.2;null;null;32.3;27.4;24.3;87.8;5.1;1.8;96.9;
2015-07-31;14;null;137.4;117.7;null;5.3;null;67.7;null;null;33.3;27.3;23.9;87.1;5.1;1.8;97;
2015-08-31;0;null;146.6;44.3;276;4.2;null;7;null;null;34.9;28;23.5;81.5;5.1;2;96.6;
2015-09-30;5;null;145.8;26.6;221.6;4.7;null;14.1;null;null;36.5;28.8;23.7;74;5.1;2.2;95.6;
2015-10-31;36;null;149;149;186.9;6;null;179.8;null;null;34.6;28.1;24.1;87.2;3.1;2.2;95.3;
2015-11-30;0;null;145;145;193.4;8;null;207.7;null;null;33.7;27.6;23.9;90.6;5.1;1.9;96.9;
2015-12-31;0;null;147.2;147.2;158.9;7.2;null;237.9;null;null;32.8;27.2;24.1;88.7;5.1;1.9;96.4;
2016-01-31;0;null;150.5;150.5;154.8;7;null;206.1;null;null;33.1;27.9;25.1;87.4;5.1;1.9;96.8;
2016-02-29;5;null;136.8;136.8;155.9;7.4;null;305.8;null;null;32.5;27;24.1;88.9;5.1;2.2;96.8;
2016-03-31;14;null;145.1;145.1;134.1;7.9;null;382.8;null;null;32;27;24.5;90.5;5.1;2;96.6;
2016-04-30;0;null;135.3;135.3;137;7.5;null;345.4;null;null;31.9;26.8;24;91.2;5.1;1.9;96.5;
2016-05-31;0;null;142.2;142.2;173.7;7.1;null;208.5;null;null;31.8;26.9;24;91.8;5.1;1.7;96.8;
2016-06-30;0;null;135.3;135.3;215.6;5.8;null;190.5;null;null;31.9;26.4;23.2;89.8;5.1;1.7;96.9;
2016-07-31;0;null;141.5;122.3;249.1;4.9;null;72.4;null;null;34;26.9;22.8;86.4;5.1;1.5;97.1;
2016-08-31;0;null;144;114.7;239.7;4.4;null;95.4;null;null;34;27.2;22.9;84.2;5.1;1.6;96.8;
2016-09-30;14;null;139;139;189.7;7;null;181.2;null;null;33.5;26.9;23.3;87.3;5.1;2.2;96.6;
2016-10-31;5;null;148.7;148.7;209.1;6.1;null;164.6;null;null;34.4;27.7;23.7;90.6;5.1;1.8;96.3;
2016-11-30;5;null;144.2;144.2;194.4;7;null;199.4;null;null;33.6;27.6;24.1;88.8;5.1;2;96.7;
2016-12-31;18;null;144.9;144.9;138.6;8.6;null;481.7;null;null;32.5;26.4;23.5;91.7;5.1;2.4;96.5;
2017-01-31;5;null;null;null;144.2;7.6;null;435.1;null;null;31.7;25.9;22.8;91.6;5;1.6;52;
2017-02-28;0;null;127.9;127.9;102;7.9;null;485;null;null;31.1;25.9;23.1;93.1;5.1;1.5;95.7;
2017-03-31;0;null;141;141;134.3;8.3;null;700.6;null;null;31.5;26;22.9;92.8;5.1;1.4;96.5;
2017-04-30;0;null;137.2;137.2;177.4;7.6;null;364.9;null;null;32.4;26.6;23.2;89.4;5.1;1.6;96.6;
2017-05-31;0;null;142.9;142.9;215.2;6.3;null;180.5;null;null;33.1;27.1;23.6;89.7;8.7;1.5;96.8;
2017-06-30;5;null;137.5;109;228.3;5.6;null;51.2;null;null;32.9;27;23.6;89.1;5.1;1.9;97;
2017-07-31;0;null;139.6;125.1;232.6;4.7;null;116.4;null;null;33.3;26.3;21.8;88.5;5.1;1.9;96.9;
2017-08-31;0;null;144.7;85;241.8;4.9;null;66.9;null;null;35;27.5;23.1;85.7;5.1;1.8;96.8;
2017-09-30;5;null;139.3;87.7;159.5;6.8;null;80.9;null;null;34.1;27;23.1;88;5.1;2;96.2;
2017-10-31;5;null;144.8;144.8;186.4;6.3;null;154;null;null;33.7;27.1;23.2;87.4;4.1;2;96.2;
