Nome: MANAUS
Codigo Estacao: 82331
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;62.9;135.2;135.2;107.8;8.4;23;365.2;1011.1;1002.9;31.1;26.3;23.9;85;5;.9;46.6;
2012-02-29;0;65.8;124;124;84.5;8.9;20;288.7;1010.9;1002.7;30.7;26;23.9;86;5;.8;49.3;
2012-03-31;5;70.8;137.4;137.4;104.2;8;23;277.4;1011.6;1003.6;30.9;26.6;23.9;84;4;1.2;49.7;
2012-04-30;5;72.3;143.7;143.7;111.1;8.1;16;195.6;1011.2;1003.1;31.6;27.1;24.6;82.2;3;1;50.1;
2012-05-31;5;80.3;160.2;160.2;161.6;7.6;16;167.8;1011.3;1003.2;32;27.6;24.6;79.2;4;1.2;52;
2012-06-30;5;111.3;161;138.4;204.5;5.5;7;85.4;1012.6;1004.6;32.5;28.1;24.8;74.8;3;1.2;60.6;
2012-07-31;5;115;157.8;107.7;210.4;5.5;13;83;1012.8;1004.6;32.5;27.7;24.5;76;5;1.2;59.4;
2012-08-31;5;143.9;186.2;44.3;224.9;5.5;8;26.6;1012.6;1004.4;34;28.8;25.1;70.5;4;1.3;60.7;
2012-09-30;5;134.7;165.4;92.7;216.8;5.8;1;90.3;1012.6;1004.4;34.6;29;25.1;72.3;4;1.3;60.8;
2012-10-31;5;151.3;188.9;181.6;214.8;6.9;12;181.3;1010.4;1002.2;34.4;29.2;25.6;72.6;14;1.5;55.6;
2012-11-30;5;113.9;191.3;191.3;178.9;7.1;9;284.5;1009.8;1001.5;34.1;29.1;25.8;75.1;4;1.4;54.9;
2012-12-31;5;84.5;151.5;151.5;135.9;8.4;20;266.2;1009.9;1001.8;31.6;27.1;24.4;82.2;3;1.3;48.5;
2013-01-31;5;90.6;155.6;155.6;141.9;8.3;22;314.6;1011.7;1003.2;32.3;27.3;24.8;83.5;4;1.1;51.5;
2013-02-28;5;59.4;125;125;90.5;8.6;22;342.1;1010.8;1002.6;31.2;26.5;24.1;86;3;1.1;46.2;
2013-03-31;0;62.3;139.4;139.4;92.2;8.2;26;427.4;1011.5;1003.5;31.3;26.8;24.5;86.8;3;.8;47.7;
2013-04-30;5;74.8;133.9;133.9;125.3;8.2;23;420.6;1011.8;1003.7;31.9;27.3;24.9;83.1;2;.9;51.7;
2013-05-31;0;77;151.7;151.7;162;7.1;25;238.4;1012.2;1004;31.9;27.2;24.6;83.3;2;.8;50.5;
2013-06-30;5;113.7;167.6;106.3;221;5.7;7;32.3;1012.2;1004.2;33.1;28.5;25.5;75.5;3;.9;58.6;
2013-07-31;5;96.4;153.5;153.5;205.6;5.9;17;167.1;1013.5;1005.4;32.2;27.4;24.3;76.6;3;1;55.1;
