Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.21416666
Longitude: -52.21305555
Altitude: 101.51
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;18;42.6;131.1;131.1;102.7;7.9;26;222.4;1007.7;999.2;31.3;26;22.5;86.5;3;1.5;54;
2012-02-29;18;37.6;113.9;113.9;133.6;7.9;27;288.9;1007.6;999.2;30.9;25.5;21.4;87.9;3;1.6;56;
2012-03-31;27;41.7;127.8;127.8;168;8.4;28;521.8;1008.1;999.6;31.8;26;22;87.1;3;1.8;57.2;
2012-04-30;18;41.6;135;135;185.3;7.3;22;194.9;1007.8;999.4;32.1;26.6;22.7;86.3;3;1.8;59.1;
2012-05-31;18;50;144.2;144.2;236.2;6;21;162.6;1008.5;999.9;32.9;26.9;22.7;85.9;3;1.5;60.5;
2012-06-30;18;53.6;137.3;112.1;238.7;5.2;11;57;1009.9;1001.4;33;26.9;22.4;83.6;4;1.4;60.6;
2012-07-31;18;66.7;149.8;64.1;236.7;4.8;10;33.3;1009.3;1000.9;33.9;27.2;22.1;79.8;3;1.4;62.5;
2012-08-31;18;89.6;164.9;21.8;271.7;4.5;5;10.8;1009.4;1000.9;35.3;28;22.1;73.5;4;1.5;63.2;
2012-09-30;0;80;167;31;241.4;5;5;28.8;1009.3;1000.9;35.3;28.3;22.8;74.1;5;1.6;58.8;
2012-10-31;18;78;173.9;128.1;235.1;5.4;5;127.8;1006.9;998.5;34.5;28.2;22.8;73.6;8;1.9;59.9;
