Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.76
Longitude: -49.66666666
Altitude: 27.83
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;56.8;139.7;139.7;116.8;7.8;26;427.1;1007.2;30.9;26.6;23.1;83.2;2.8;1.1;54.1;null;
2012-02-29;0;48;121;121;123.1;7.9;21;343.5;1007.1;30.8;26;22.6;84.7;2.8;1.1;53.8;null;
2012-03-31;5;48.5;133.9;133.9;178.6;7.7;29;499;1007.7;31.5;26.3;23;86.5;2.9;1.2;52.4;null;
2012-04-30;5;56.3;145.6;145.6;209.4;6.9;24;219.1;1007.3;32.5;27.2;23.8;83.4;2.8;1.2;54;null;
2012-05-31;5;72.5;145.3;116.3;234.7;5.6;16;58.1;1008.3;33.1;27.8;23.9;78.6;2.3;1.3;56;null;
2012-06-30;5;81.3;152;87;243.9;4.4;13;62.6;1009.6;33.3;27.6;23.3;76.8;2.8;1.3;56;null;
2012-07-31;5;82.6;157.4;104.4;248.9;4.8;13;96.7;1009.1;33.3;27.7;23.5;75.6;2.3;1.3;56.6;null;
2012-08-31;5;114.8;167.1;7.5;260.9;3.9;null;0;1009.6;34.4;28;23.4;68.3;2.3;1.4;56.3;null;
2012-09-30;5;118.6;186;1.9;199.4;4.9;2;.4;1009.4;35.1;28.9;24.5;67.2;2.5;1.5;56.2;null;
2012-10-31;5;112.2;188.9;106.2;168.6;5.9;2;106;1007.1;34.4;28.8;24.9;70;3.4;1.5;56.1;null;
2012-11-30;5;108.2;193.9;53.7;170.9;5.7;6;53.6;1006.3;34.7;29.2;25.2;70.9;2.8;1.3;54.4;null;
2012-12-31;0;77;162.9;162.9;126.4;7.1;24;321.5;1006.4;32.7;27.6;24;79.5;3.4;1.1;55.7;null;
2013-01-31;0;58.8;154;154;108.9;7.7;26;442.8;1007.8;31.6;27.2;23.9;83.4;2.5;1;52.7;null;
2013-02-28;0;60.4;140.1;140.1;157;7.8;22;403.7;1006.8;32.6;27.2;23.7;82.2;2.3;.9;53.3;null;
2013-03-31;0;63.4;164.7;164.7;162.2;7.7;22;297.2;1007.5;32.7;27.8;24.1;82.4;3.4;1.1;55.2;null;
2013-04-30;5;58.8;160.1;160.1;176.9;7.3;23;375.5;1008.1;33.1;27.7;24.3;83.2;2.4;1.1;55;null;
2013-05-31;0;69.3;166.5;166.5;222.7;5.8;11;204;1008.5;33.4;27.9;24.1;80.2;1.8;1;55.6;null;
2013-06-30;5;80.7;158.3;149.5;242.7;5.1;null;113.2;1009.1;33.4;27.9;23.9;77.3;2.8;1.2;56.3;null;
2013-07-31;5;86.5;153.1;132.5;254.4;6;null;110.4;1009.8;33.3;27.4;23.3;76.8;3.2;1.3;55.9;null;
2013-08-31;2;86.5;213.5;63.1;216.4;4.6;null;28.1;1008.6;33.8;27.9;23.8;76.6;3.4;1.5;58.9;null;
2013-09-30;5;94.9;172;36.3;220.9;5.3;null;31.4;1008.4;34.3;28.4;24.3;74;3.4;1.4;57.2;null;
2013-10-31;5;104.7;188.9;101.7;205.1;5.4;null;100.8;1007.7;34.8;28.8;24.5;71.4;3.4;1.4;57;null;
2013-11-30;5;78;159.2;145.2;153.9;6.8;null;145.1;1006.3;32.9;27.7;24;77.6;2.8;1.2;54.8;null;
2013-12-31;36;92.4;183.6;70.3;211.2;5.6;null;69.9;1006.9;34;28.5;24.3;73.9;2.4;1.4;56.6;null;
2014-01-31;0;64.1;145.7;145.7;133;7;null;448.8;1008;31.7;26.8;22.8;81.7;2.8;1;54.6;null;
2014-02-28;0;49.4;121.9;121.9;115.6;8.2;null;433.2;1007.1;31.3;26.2;22.5;86.9;2.8;1.1;51.9;null;
2014-03-31;0;50.2;137.8;137.8;130.2;7.9;null;371.2;1007.9;31.6;26.5;23;86.6;3.3;1.1;52.9;null;
2014-04-30;5;46.7;134;134;171.7;7.9;null;546.2;1008.2;31.8;26.6;23.1;87.1;2.3;1;52.3;null;
2014-05-31;0;58.7;153.5;153.5;192.2;6.9;null;260.7;1008.3;32.3;27.3;23.7;83.3;2.3;1;55.1;null;
2014-06-30;0;75.4;156.2;134.3;239.2;5.1;null;81.9;1008.8;33.4;27.9;23.5;78;2.5;1.2;58.9;null;
2014-07-31;5;80.9;155.2;73.4;265.9;4.4;null;41;1010.7;33.3;27.5;22.9;75.1;2.3;1.3;57.2;null;
2014-08-31;5;84.1;156.2;58.3;212.3;4.6;null;42.6;1009.7;33.6;27.5;22.8;75;3.4;1.3;57.1;null;
2014-09-30;5;89.8;160.9;42.6;216.1;5.2;null;36.2;1008.8;34.1;28;23.3;73.1;2.5;1.4;58;null;
2014-10-31;5;89.9;172.3;140.7;189.9;5.9;null;140.3;1007.8;33.8;28.1;23.3;75.3;2.4;1.3;57.4;null;
2014-11-30;5;86.8;170.2;40.8;190.2;5.6;null;40;1006.9;33.7;28.2;23.7;74.6;2.5;1.2;57.2;null;
2014-12-31;5;83.4;167.3;167.3;175.6;5.5;null;204.9;1007.4;33.1;27.8;23.2;77;2.3;1.2;57.6;null;
2015-01-31;0;62.9;149.8;149.8;164.1;6.2;null;440.7;1008.5;32.3;27;22.1;81;2.3;1;57.9;null;
2015-02-28;0;52.9;125.4;125.4;null;7.7;null;412.2;1008.4;31.6;26.4;22.3;83.2;2.3;1.1;52.8;null;
2015-03-31;0;58;147.7;147.7;133.1;7.6;null;554.8;1008.2;32;27.1;24.5;84;2.6;1;53.3;null;
2015-04-30;5;57.1;155.9;155.9;194.6;7.2;null;323.4;1008.4;32.7;27.6;25;82.5;2.3;1.2;55.6;null;
2015-05-31;5;64.8;173.2;173.2;215.8;6.5;null;242.8;1008.6;33.4;28.1;25.6;80;2.3;1.1;56.6;null;
2015-06-30;5;78.1;171.4;134.2;246.4;4.5;null;44.7;1009.8;33.5;28.5;25.5;75.2;4.5;1.2;57;null;
2015-07-31;5;83.6;157.3;85.8;245.3;4.6;null;63.6;1009.6;33.7;27.6;21.7;74.6;2.3;1.2;57;null;
2015-08-31;0;104.4;152;57.9;239.6;3.6;null;48.7;1009;34.2;27.3;19.3;70.5;2.8;1.3;59;null;
2015-09-30;5;103.8;160.9;24;210.8;4.5;null;20.2;1008.6;34.7;27.8;20;69.7;2.6;1.4;57.9;null;
2015-10-31;5;122.3;184;98.3;211.8;4.4;null;92.6;1007.9;35.4;28.7;20.8;67.2;2.6;1.3;56.6;null;
2015-11-30;5;110.8;177.1;22.2;158;6.6;null;21.8;1006.8;34.9;28.6;21;68.1;3.6;1.2;54.6;null;
2015-12-31;5;104.1;176.5;89.7;119.6;7.8;null;89.4;1007.9;34.3;28.3;20.6;71;2.3;1.1;48.8;null;
2016-01-31;0;62.1;149.8;149.8;128.1;7.5;null;365.7;1008.2;32.6;27;19.9;80;2.3;1.1;56.6;null;
2016-02-29;0;65.6;147.1;147.1;176.2;6.4;null;151.7;1007.8;33.5;27.3;19.6;79.1;2.3;1;56.7;null;
2016-03-31;0;54.2;141.6;141.6;122.6;7.2;null;382.3;1008.7;32.6;26.7;19.4;83;4.5;.8;54;null;
2016-04-30;0;56.1;145.6;145.6;141.6;6.7;null;215;1007.6;33.5;27.2;19.8;82.1;4.5;.9;56.6;null;
2016-05-31;0;72.2;157.7;143.6;210.1;5;null;133.4;1009.2;34;27.7;19.8;79.3;2.3;1;58.5;null;
2016-06-30;0;82.1;150;86.9;259;3.4;null;60;1010.5;34;27.5;19.1;73.1;3.2;.9;59.5;null;
2016-07-31;0;96.5;161.7;29.7;null;2.8;null;13.5;1009.7;34.9;27.6;18.8;70.5;2.3;1.2;59.6;null;
2016-08-31;36;116.7;169.4;15;229.4;3.3;null;11.2;1009.5;35.5;28;19.2;68.3;3;1.4;59.6;null;
2016-09-30;0;null;154.6;52.6;154.5;4.6;null;52;1009.1;34.3;27.6;19.1;72.4;3.5;1.2;58.4;null;
2016-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-11-30;0;null;177.1;150.8;null;5.1;null;150.8;1006.4;34.7;28.4;20;70.3;3;1.2;56.6;null;
2016-12-31;0;68.6;152.1;152.1;128.1;6.2;null;194;1007.1;33.4;27.2;18.9;76.4;2.4;1;55.7;null;
2017-01-31;0;null;124.6;124.6;128.2;7.4;null;542.9;1008.1;32.3;25.5;17.6;82.9;2.4;.9;54.9;null;
2017-02-28;0;null;103.9;103.9;null;8.4;null;684.7;1008.1;31.5;25.3;17.6;85.4;3.4;.9;53.4;null;
2017-03-31;0;53.8;145.7;145.7;116.1;7.3;null;545.4;1008.3;32.4;27;23.3;83.3;2.3;.9;55.5;null;
2017-04-30;0;61.3;160.1;160.1;170.5;6.7;null;368.5;1008.2;33.2;27.9;25.4;81.8;2.3;1;54.2;null;
2017-05-31;5;73.8;184.9;184.9;203.6;4.9;null;198.2;1008.6;34.1;28.9;26.2;79.5;2.3;1;57.3;null;
2017-06-30;0;95;180.6;129.5;null;3.6;null;59.2;1009;34.7;29.2;26.2;72;2.3;1;62.6;null;
2017-07-31;null;null;null;null;null;null;null;null;1011;null;null;24.6;null;2.3;null;null;null;
2017-08-31;0;107.1;192.9;85.3;null;3.9;null;46.9;1009.2;35.3;29.1;24.6;71.8;2.3;1.3;61.3;null;
2017-09-30;0;112.8;198.2;10.9;null;4.6;null;.9;1008.7;35.4;29.5;25.9;67.4;2.5;1.4;60.5;null;
2017-10-31;0;115;204;50.1;null;5.3;null;46.6;1007.4;34.9;29.6;26;69.3;3.5;1.4;58.4;null;
2017-11-30;0;101.2;193.9;94;null;5.9;null;93.8;1006.5;34.4;29;25.6;72.3;2.5;1.1;55.7;null;
2017-12-31;0;73.7;174.2;174.2;null;6;null;362;1007.1;32.4;28;25.3;78.5;2.3;.8;50.9;null;
2018-01-31;0;65;162.6;162.6;null;6.3;null;294.4;1007.5;32.5;27.7;24.4;79.4;3.4;.9;55.3;null;
2018-02-28;0;41.1;129;129;null;7.9;null;393.2;1008.1;31.1;26.8;23.9;85.3;7.2;.9;53.5;null;
2018-03-31;0;53.2;160.4;160.4;null;7.2;null;340.7;1007.8;32.7;27.5;24.2;83.9;3.4;.8;55.7;null;
2018-04-30;0;49.8;137.8;137.8;null;6.9;null;382.3;1008.8;32.2;27;23.5;83.5;2.3;.6;54.3;null;
2018-05-31;0;62.8;157.7;157.7;null;6.1;null;222.3;1009.4;33.4;27.7;23.6;79.8;2.4;.7;57.5;null;
2018-06-30;0;84.6;169.2;107;null;3;null;32.6;1009.9;34.5;28.3;23.2;73.7;2.3;.9;60.5;null;
2018-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-08-31;0;90.2;162.7;32.6;null;4.6;null;26.7;1010.5;34.5;28.2;22.8;72.3;3.4;1;59.9;null;
2018-09-30;0;88.4;174.2;75.6;null;5.1;null;74.3;1008.2;34.6;28.5;23.1;73.5;8.4;1;58.4;null;
