Nome: ZE DOCA
Codigo Estacao: 82376
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 46.71
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;109.2;149.9;149.9;173.9;7.4;20;258.2;1005.2;32.6;27;23.3;76;7.5;2.3;42.5;null;
2012-02-29;5;63.9;128.6;128.6;155.8;7.9;20;299.5;1005;31.7;26.4;23.1;81.5;5;1.9;43;null;
2012-03-31;5;64.2;136.5;136.5;177.9;8.1;25;292.5;1005.6;31.9;26.4;23.3;83.9;5;2;40.9;null;
2012-04-30;5;66.3;144.1;144.1;206.1;7.6;22;162.3;1005.4;32.4;27.1;23.8;81.6;4.8;1.9;43.6;null;
2012-05-31;5;94.5;154;114.8;246.9;6.2;9;50.1;1006.1;32.8;27.4;23.6;78.2;4.5;2.1;43.9;null;
2012-06-30;5;82.1;138.9;109.4;222;5.7;15;99.4;1007.3;32.2;26.9;23.1;79.8;5.3;1.9;43.7;null;
2012-07-31;9;160.5;151.6;39.3;244;5.2;7;22.3;1006.9;32.6;27.3;23.3;76.2;5.3;2;44;null;
2012-08-31;9;250.3;165;5.8;276.7;3.7;1;.6;1007.3;34.2;27.9;22.8;67;4.6;2.2;44.9;null;
2012-09-30;2;192.7;165.1;7.4;242;3.6;2;6.4;1007;35.3;28.2;23;64.3;4.3;2.8;45.2;null;
2012-10-31;5;226.2;185.6;16.2;245.6;4.4;2;16;1004.9;35.4;28.6;23.5;63;5.5;3.2;45.1;null;
2012-11-30;5;210.8;183;13.8;195.2;4.8;3;13.8;1004.4;35;29;24;64.3;5.3;2.9;44.3;null;
2012-12-31;5;171.6;178;47.2;181.8;6.6;9;47.2;1004.3;34;28.3;24.3;71.9;4.8;2.5;43.3;null;
2013-01-31;5;115.4;168.8;107.3;166;7.5;17;107.3;1005.4;33;27.9;24.5;76.1;4.6;2.1;44;null;
2013-02-28;5;82.3;140.2;140.2;166;7.4;17;371.9;1004.7;32.9;27.2;23.7;80.2;7;2.2;43;null;
2013-03-31;5;64.9;150.1;150.1;145.7;7.9;2;389.3;1005.4;31.5;27.1;24.2;84.1;4.1;1.7;42.8;null;
2013-04-30;36;59.5;144.1;144.1;185.5;7.8;null;373.4;1006;32;27.1;24.2;84.4;3.6;1.8;41.9;null;
