Nome: CHAPADINHA
Codigo Estacao: 82382
Latitude: -3.74277777
Longitude: -43.35222222
Altitude: 104
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;135.3;146;146;219.7;5.3;14;407.3;998.3;33;26.8;22.9;75.7;6;2.4;55.8;null;
2012-02-29;5;95.2;133.2;133.2;182.4;6.1;19;240.5;998.2;31.9;26;22.5;81.4;4.5;1.9;55.4;null;
2012-03-31;5;98.4;142.2;142.2;210.8;6.1;23;202.4;998.8;32.2;26.3;23;83;5.6;2.2;53.8;null;
2012-04-30;5;113;139.5;99.8;243.3;4.7;11;35;998.7;32.7;27.1;23.6;80.6;5.1;2.4;57;null;
2012-05-31;5;140.6;143.6;49.4;286.3;3.3;7;25;999.6;33.1;27.3;23.4;77.1;5.6;2.3;59.1;null;
2012-06-30;5;142.2;138.9;41.3;266.2;3.3;6;34.3;1000.8;33.4;27.3;23.4;75;5.3;2.3;59.3;null;
2012-07-31;14;177.9;145.1;5;284.7;2.6;1;2.1;1000.4;34.3;27.8;23.1;67.4;4.6;2.2;60.4;null;
2012-08-31;14;240.5;147.2;15.9;304.2;2.3;1;15.2;1001;35.7;28.2;22.7;60.6;5.1;2.5;59.5;null;
2012-09-30;5;249.2;144.4;.8;296.2;2;1;.6;1000.6;36.7;28.5;22.9;57.9;5.1;2.7;60.7;null;
2012-10-31;5;255.2;152.3;.1;287.2;2.5;1;.1;998;37.6;29;23.7;58.8;4.8;2.5;60.8;null;
2012-11-30;5;231;148.5;80;251.2;3.3;2;80;997.4;37.1;29;24.2;61.4;5;2.8;61.2;null;
2012-12-31;5;191.4;151.8;134.9;246.9;4.5;9;134.9;997.3;35.3;28.4;24.1;67;6.1;2.7;56.9;null;
2013-01-31;5;135.4;148.7;87.8;215.9;5.4;12;87.8;998.7;33.4;27.6;23.9;74.2;5;2.3;56.2;null;
2013-02-28;5;124.1;133.4;133.4;200.4;5.4;13;218.3;997.6;33.6;27.4;23.7;75.8;4.8;2.3;55.5;null;
2013-03-31;5;99.1;146;146;202.2;5.7;15;226;998.5;32.9;27.2;23.9;80.9;4.6;2.2;55.3;null;
2013-04-30;5;77.6;138.4;138.4;197.7;5.9;21;362;999.3;32.3;26.8;23.6;84.3;4.1;1.7;54.7;null;
2013-05-31;5;107.2;142.9;142.1;238.8;4.4;14;130.7;999.7;32.4;27.1;23.6;80.1;4.5;1.8;55.9;null;
2013-06-30;5;118.8;137.5;113.3;251;3.9;9;69.8;1000.4;32.5;27;23.3;77.5;4.3;1.7;57.7;null;
2013-07-31;5;112.5;141;125.8;259.8;4;14;115.8;1001.1;32.1;26.7;22.7;75.8;4.6;1.9;57.4;null;
2013-08-31;5;177.1;145.7;28.6;308.8;2.4;2;1.9;999.8;34.5;27.8;23.1;68.2;4.8;2.2;61.1;null;
2013-09-30;5;231.5;144.4;12.2;300.9;2.3;1;6;999.4;36.3;28.4;23.3;62.8;5;2.7;60.3;null;
2013-10-31;5;268.5;151.9;1.6;298.5;2.8;null;0;998.8;37.2;28.9;23.8;60.6;6;2.8;59.1;null;
2013-11-30;5;189.1;145.5;39.8;209.3;4.9;6;39.5;997.2;35.6;28.2;23.7;66.9;5.3;2.7;55.7;null;
2013-12-31;5;206.4;152.2;57.7;240;4.2;6;57.6;997.9;35.9;28.5;23.9;65.8;5.8;2.3;57.5;null;
