Nome: SOBRAL
Codigo Estacao: 82392
Latitude: -3.74833333
Longitude: -40.34583333
Altitude: 91.8
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2020-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;309.1;167;105.4;222.1;5.9;8;105.4;999.1;35.1;27.8;22.8;63.9;5.5;2.2;72.7;null;
2012-02-29;5;219.7;134.8;95.4;198.3;6.4;12;95.4;999.2;33.9;26.9;22.4;69.6;7;1.9;73;null;
2012-03-31;5;169.8;138.9;138.9;187.3;6.3;14;190.1;999.9;33.1;26.6;22.3;75.5;5;1.5;72.5;null;
2012-04-30;36;133.4;137.1;79.9;200;5.8;14;50.2;999.6;33.3;26.8;22.3;75.2;4.5;1.1;71;null;
2012-05-31;5;252;157.6;23.8;260.2;4.3;4;7.1;1000.5;35.6;27.6;21.9;61.1;5.5;2;72.7;null;
2012-06-30;5;296.6;154;3.8;226.8;5;1;.1;1001.7;35.6;27.7;21.6;60.2;5;2.2;72.3;null;
2012-07-31;36;383;161.7;.8;256.3;3.4;0;0;1002.6;35.7;27.9;21.5;61.3;10.5;1.4;67.3;null;
2012-08-31;9;415.7;167.2;.2;296.4;3.2;0;0;1002.1;36.2;28;21.4;54.6;5.5;2.7;72.7;null;
2012-09-30;5;412.6;170.1;0;304.6;2;0;0;1003.6;36.7;28.2;21.8;65.7;5.5;3.6;66.3;null;
2012-10-31;9;404.2;179.7;1;286.4;3.9;1;1;999.6;37.1;28.4;22.6;58.9;7;2.7;72.2;null;
2012-11-30;5;394.4;197.5;0;274.1;4.1;0;0;998.7;37;28.5;22.8;57.3;5;2.1;72.7;null;
