Nome: BENJAMIN CONSTANT
Codigo Estacao: 82410
Latitude: -4.3786111
Longitude: -70.02999999
Altitude: 78.41
Situacao: Temporariamente Fechada
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;null;null;null;null;null;9;null;null;null;30.7;26.1;22.8;90.9;1;null;null;
2012-02-29;0;41.7;null;null;95.4;8.8;20;342;null;null;30.3;25.7;22.6;91;2;.7;36.4;
2012-03-31;0;39.5;129;129;105.7;8.8;26;443;null;null;30.7;25.9;22.6;90.6;2;.7;36.1;
2012-04-30;0;27.3;128.5;128.5;112.2;8.4;17;154.2;null;null;31;26.2;23;90.1;2;.5;37;
2012-05-31;0;40.1;131.6;131.6;148.7;8.5;20;182.8;null;null;31;26.2;23.1;91.3;2;.5;37.4;
2012-06-30;0;29.8;117.2;117.2;120.4;8.5;14;214.6;null;null;30.9;25.6;22.1;90.8;2;.5;38.5;
2012-07-31;0;35.1;116.6;116.6;150.7;8.5;12;137;null;null;30.8;25.4;21.7;89;2;.6;38.1;
2012-08-31;0;62.1;135.8;123.8;192.8;8;11;82.4;null;null;32.6;26.4;22.1;87.7;2;.5;38.4;
2012-09-30;0;50.1;124.4;124.4;178.4;8.4;17;222.4;null;null;32.6;26.4;22.4;88.6;2;.7;37.8;
2012-10-31;0;48;144;144;165;8.7;17;207.6;null;null;32.3;26.7;22.9;89.9;2;.4;38.5;
2012-11-30;null;null;null;null;null;null;8;null;null;null;null;null;null;null;2;null;null;
2012-12-31;0;35.2;134.9;134.9;101.1;8.8;17;229.8;null;null;30.6;26.1;22.9;90.8;1;.4;36.8;
2013-01-31;0;18.5;136.4;136.4;120.3;9.1;24;340;null;null;30.5;26.2;23.2;91.6;1;.4;36.5;
2013-02-28;0;16.9;116.1;116.1;81.3;9.3;21;339.2;null;null;30;25.8;22.9;91.7;1;.5;37.4;
2013-03-31;0;29.2;143.1;143.1;116.8;8.9;4;265;null;null;31.5;26.7;23.3;90.7;1;.4;36.8;
2013-04-30;0;39;133.6;133.6;145.5;8.8;null;213.4;null;null;31.6;26.5;23.2;90.9;2;.5;36.5;
2013-05-31;0;44.7;135.1;135.1;144.9;8.6;null;220.6;null;null;31.2;26.3;23.2;92.4;3;.5;37.3;
2013-06-30;0;41.6;126.8;126.8;133.2;8.4;null;125.2;null;null;31.6;26.2;22.8;91.3;1;.4;38;
2013-07-31;0;43.9;113.5;113.5;148.1;8.4;null;130.6;null;null;30.8;25.1;21.3;90.8;3;.6;37.9;
2013-08-31;0;41.8;117.4;117.4;192.1;8.2;null;135.2;null;null;31.3;25.3;20.8;89.8;3;.5;38.4;
2013-09-30;0;64.8;137.9;126.2;165.1;8.2;null;85.4;null;null;32.6;26.7;22.6;87.8;2;.4;38;
2013-10-31;0;41.1;null;null;100.8;8.6;null;199.2;null;null;32.1;26.5;22.3;88.9;1;.4;38.1;
2013-11-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2013-12-31;0;44.8;138.5;138.5;103.7;8.9;null;178;null;null;31.1;26.3;22.7;83.4;2;.5;37.3;
2014-01-31;0;31.6;131.2;131.2;92.7;8.9;null;339.8;null;null;30.2;25.9;22.5;90.4;1;.3;35.8;
2014-02-28;0;27.4;116.1;116.1;74.5;9;null;399.6;null;null;30.3;25.8;22.4;91.8;2;.4;36.6;
2014-03-31;0;33.4;127.4;127.4;80.5;9.2;null;282.4;null;null;30.5;25.9;22.3;91.9;1;.3;36.1;
2014-04-30;0;31.2;null;null;114.2;8.6;null;256.8;null;null;31.6;26.2;22.2;92.2;1;.3;36.7;
2014-05-31;0;44.8;null;null;125.2;8.4;null;251;null;null;30.8;26;22.4;89.7;2;.5;38.2;
2014-06-30;0;35.7;125.2;123.7;88.2;8.7;null;112.2;null;null;31.3;26;22.2;90.8;2;.4;38.3;
2014-07-31;0;null;118.1;118.1;137.4;8.2;null;151.6;null;null;30.9;25.4;21.3;91.1;2.1;.4;94.6;
2014-08-31;0;null;null;null;175.3;8.2;null;183;null;null;31.9;26;21.6;89.3;2.1;.2;95.8;
2014-09-30;0;null;137.9;115.9;200;8.3;null;113.8;null;null;32.6;26.7;22.4;87.4;1;.5;95.8;
2014-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2014-11-30;0;null;135.2;110.8;144.5;8.3;null;102.4;null;null;31.2;26.4;22.9;88.9;1;.5;95.7;
2014-12-31;0;null;142.1;142.1;null;8.7;null;313.8;null;null;31.7;26.5;23;90.3;1;.5;95.7;
2015-01-31;0;null;null;null;null;9;null;350.6;null;null;30.4;25.5;22.2;91.5;1;.5;95.6;
2015-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-10-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2015-11-30;null;null;153.4;39.2;null;null;null;null;null;null;33.7;28.2;23.4;80.7;null;null;null;
2015-12-31;null;null;133.2;7.9;null;6.3;null;0;null;null;33.5;27.1;23.2;88.3;null;null;94.4;
2016-01-31;null;null;155;46.9;null;6.3;null;45;null;null;32.8;27.6;23.8;87.5;null;null;94.6;
2016-02-29;null;null;138.6;138.6;null;6.3;null;115;null;null;32.3;27.4;23.9;89.7;null;null;94.4;
2016-03-31;null;null;130.7;130.7;null;6.3;null;269;null;null;32.5;27.4;23.8;90.6;null;null;94.2;
2016-04-30;null;null;133.6;133.6;null;8.4;null;176;null;null;32.1;26.9;23.2;91.4;null;null;94.4;
2016-05-31;null;null;138.6;138.6;null;7.8;null;148;null;null;32.1;26.9;22.8;91.6;null;null;94.4;
2016-06-30;null;null;120.4;120.4;null;8;null;180;null;null;31.1;26.1;22;91.3;null;null;94.3;
2016-07-31;null;null;126.3;126.3;null;7.9;null;268;null;null;32.5;26.5;22.2;91.8;null;null;94.4;
2016-08-31;null;null;134;117.3;null;7.9;null;70;null;null;33;26.9;22.5;91.7;null;null;94.4;
2016-09-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2016-10-31;null;null;144;144;null;8;null;211.2;null;null;32.8;27.2;23.2;87.1;null;null;94.3;
2016-11-30;null;null;137;137;null;7.8;null;224;null;null;32.8;27.2;23.4;91.9;null;null;94.4;
2016-12-31;null;null;108.8;108.8;null;8;null;289;null;null;32.8;26.8;22.8;91.9;null;null;94.4;
2017-01-31;null;null;126.1;126.1;null;8.1;null;427;null;null;31.5;26.1;22.4;92;null;null;94.4;
2017-02-28;null;null;119.2;119.2;null;8;null;359;null;null;32.1;26.5;22.1;91.7;null;null;94.4;
2017-03-31;null;null;null;null;null;null;null;null;null;null;32;26.2;21.3;92.2;null;null;null;
2017-04-30;null;null;126.9;126.9;null;7.8;null;260;null;null;31.7;26.3;21.1;92;null;null;94.5;
2017-05-31;null;null;null;null;null;7.5;null;112;null;null;32.6;26.7;21.8;91.8;null;null;94.5;
2017-06-30;null;null;125.2;125.2;null;8;null;155;null;null;32.3;26.5;21.9;91.6;null;null;94.4;
2017-07-31;null;null;129.6;128;null;7.9;null;111;null;null;32;26.5;22.2;91.2;null;null;94.5;
2017-08-31;null;null;125.5;125.5;null;8;null;183;null;null;31.7;26.2;21.9;91.1;null;null;94.5;
2017-09-30;null;null;124.3;124.3;null;7.9;null;165;null;null;32.2;26.3;21.7;90.8;null;null;94.4;
2017-10-31;null;null;null;null;null;8;null;215;null;null;32.4;26.5;22.1;91.1;null;null;94.4;
2017-11-30;null;null;null;null;null;7.8;null;338;null;null;31.8;26.3;22.2;90.7;null;null;94.5;
2017-12-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-31;0;null;154.4;154.4;null;6.9;null;236.9;null;null;32.2;27.3;24.2;87.8;3.1;.6;95.2;
2018-04-30;0;null;128.5;128.5;null;7.2;null;252.2;null;null;30.7;26.3;23.8;91.5;2.1;.4;95.3;
2018-05-31;0;null;136.9;136.9;null;6.4;null;238.2;null;null;31;26.5;23.8;91.3;2.1;.3;95.5;
2018-06-30;0;null;114.1;113.2;null;6.5;null;99.8;null;null;30.1;25.4;22.4;89.9;2.1;.4;95.5;
2018-07-31;0;null;134.7;123.2;null;5.1;null;94.4;null;null;31.9;26.4;22.8;91.4;2.1;.3;96;
2018-08-31;0;null;128.9;57.6;null;5.7;null;190;null;null;31.5;26.2;22.5;88.9;2.1;.4;96;
2018-09-30;0;null;146.9;146.9;null;5.2;null;147;null;null;33.4;27.2;23.5;92;2.1;.5;96;
2018-10-31;0;null;145.8;145.8;null;7.2;null;308.4;null;null;32;26.8;23.7;91.5;3.1;.5;96;
2018-11-30;0;null;147.8;147.8;null;6.6;null;218.2;null;null;31.7;27.1;24.3;89.4;3.1;.7;96;
2018-12-31;0;35.9;129.7;129.7;null;6.9;null;523.8;null;null;29.6;26;23.5;89.8;3;.5;50.7;
2019-01-31;0;47.8;132.9;132.9;null;7;null;391.8;null;null;29.7;26;23.3;91.9;2;.6;50;
2019-02-28;0;45.4;133.8;133.8;null;6.9;null;220.4;null;null;31.3;26.9;24.2;91;2;.6;50;
2019-03-31;0;46.7;150.6;150.6;null;6.3;null;416.4;null;null;32.1;27.1;23.9;89.3;2;.6;50;
2019-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2019-05-31;0;44.4;null;null;null;5.7;null;175.6;null;null;31.3;26.8;24;90.5;1;.5;50;
2019-06-30;0;45.1;null;null;null;6.1;null;361.6;null;null;31.8;26.8;23.7;90.1;2;.6;50;
2019-07-31;0;50.4;null;null;null;4.8;null;200.4;null;null;31.4;26.6;22.5;85.5;1;.6;50;
2019-08-31;0;75.5;null;null;null;4.1;6;37.6;null;null;33;27;22.1;83.8;2;.8;50;
2019-09-30;0;70.5;null;null;null;5.6;null;97.4;null;null;33.3;27.2;23.5;85.6;2;.7;50;
2019-10-31;0;59.3;null;null;null;6.4;null;143.4;null;null;32.2;26.7;23;87.5;2;.6;50;
2019-11-30;0;41.9;null;null;null;7.1;18;293.2;null;null;31.1;26.5;23.4;90.4;2;.8;50;
2019-12-31;0;38.9;null;null;null;7.2;null;453.8;null;null;30.3;26.1;23.5;92.9;2;.8;50;
2020-01-31;0;54.8;null;null;null;6.7;16;267.4;null;null;31.3;26.8;23.6;89.8;2;.9;50;
2020-02-29;0;40.5;null;null;null;7.1;19;479.6;null;null;31.3;26.8;23.7;90.6;2;.7;50;
2020-03-31;0;49.5;null;null;null;6.4;10;162;null;null;32.2;27.4;24.3;89;2;.8;50;
2020-04-30;0;40.1;null;null;null;6.8;15;428.2;null;null;31.8;26.9;23.6;89.3;2;.8;50;
2020-05-31;5;35.2;null;null;null;7.2;17;279.6;null;null;30.7;26.2;23.1;90.8;2;.9;50;
2020-06-30;9;43.7;null;null;null;5.9;13;261;null;null;31.5;26.5;23.2;89;2;.7;48.4;
2020-07-31;9;56.3;null;null;null;5.1;12;259.4;null;null;32.3;27;23.3;88.6;2;.9;50;
2020-08-31;0;65.9;null;null;null;4.9;6;76.8;null;null;32.9;27.1;22.6;83.1;2;.8;49;
2020-09-30;0;67.1;null;null;null;5.1;12;160.4;null;null;32.7;27.5;23.9;83.3;2;.8;49.1;
2020-10-31;14;64.9;null;null;null;5.7;9;206.4;null;null;32.4;27.5;23.8;82.4;2;.9;50;
2020-11-30;9;46;null;null;null;6.8;13;121.2;null;null;31.6;27.1;23.8;85.6;2;.9;50;
2020-12-31;0;39.1;null;null;null;7.3;17;295.4;null;null;30.5;26.7;23.9;85.7;2;.7;47.2;
2021-01-31;0;33.7;null;null;null;7.6;19;429;null;null;null;null;23.6;null;1;.7;49.6;
2021-02-28;0;42.1;null;null;null;7.4;15;179.4;null;null;null;null;24.2;null;1;.6;50;
2021-03-31;0;40.9;null;null;null;7.2;18;297.9;null;null;30.4;26.6;23.9;87.8;2;.6;50;
2021-04-30;0;37.2;null;null;null;6.4;15;336.6;null;null;30.8;26.8;23.8;86.7;1;.5;50;
2021-05-31;0;39.8;null;null;null;6.8;11;251.3;null;null;31;26.8;23.7;86.3;2;.7;50;
2021-06-30;5;47.2;null;null;null;6.8;7;123.4;null;null;31.1;26.6;23.6;89.9;1;.8;50;
2021-07-31;0;32.6;null;null;null;5.8;6;37.7;null;null;31.1;26.4;22.9;86.4;2;.5;49.4;
2021-08-31;0;65.3;null;null;null;4.9;3;92.4;null;null;33.3;27.8;23.1;77.9;2;.3;50;
2021-09-30;0;61;null;null;null;6;8;101.4;null;null;32.6;27;23.4;81.3;2;.7;50;
2021-10-31;0;58.5;null;null;null;6.8;11;248;null;null;32.3;27.6;23.5;82.5;2;.6;50;
2021-11-30;0;47.3;null;null;null;7.3;18;276.4;null;null;31.5;27.1;23.5;86.7;2;.6;50;
2021-12-31;0;40.8;null;null;null;7.3;17;464.8;null;null;31.3;27.3;23.6;85.1;2;.7;50;
2022-01-31;0;55.3;null;null;null;7.1;12;124;null;null;32;27.8;23.6;83.8;1;.6;50;
2022-02-28;0;34.6;null;null;null;7.7;14;273.6;null;null;30.7;27.1;23.4;85.5;1;.7;50;
2022-03-31;null;null;null;null;null;null;1;null;null;null;null;null;null;null;null;null;null;
2022-04-30;0;26.9;null;null;null;7.5;14;187.4;null;null;30.8;null;null;87.2;2;.7;50;
2022-05-31;0;46.8;null;null;null;6.7;13;112.6;null;null;30.7;null;null;83.8;2;.6;50;
2022-06-30;0;52.6;null;null;null;6.4;10;98.4;null;null;31.3;null;null;81;2;.6;50;
2022-07-31;0;54.4;null;null;null;5.1;13;158.6;null;null;32.3;null;null;84.1;1;.6;50;
2022-08-31;0;46.4;null;null;null;5.2;7;132.8;null;null;31.6;null;null;83.1;2;.5;48.9;
2022-09-30;0;66.2;null;null;null;4.7;5;52.8;null;null;34;null;null;80.3;1;.5;50.3;
2022-10-31;0;null;null;null;null;6;10;245.6;null;null;32.8;null;null;80.5;2;.7;50;
2022-11-30;0;null;null;null;null;6.2;8;210;null;null;31.8;null;null;80.5;2.1;.5;95.1;
2022-12-31;0;null;null;null;null;6.9;14;277.6;null;null;31.8;null;null;82.3;1;.5;96;
2023-01-31;0;null;null;null;null;7.3;18;349.8;null;null;30.2;null;null;85.9;1;.7;96;
2023-02-28;0;null;null;null;null;7.8;16;null;null;null;30.7;null;null;86.6;1;.7;96;
2023-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2023-04-30;9;null;null;null;null;7.5;16;252.2;null;null;32.1;null;null;84.3;2.1;1;96;
2023-05-31;9;null;null;null;null;7.5;13;324.5;null;null;31.5;null;null;85.9;2.1;1;96;
2023-06-30;9;null;null;null;null;7;8;160;null;null;31.4;null;null;84;2.1;1;96;
