Nome: COARI
Codigo Estacao: 82425
Latitude: -4.08527777
Longitude: -63.14527777
Altitude: 34.18
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2016-01-29
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;9;61;133.1;133.1;null;8.4;21;576.5;null;null;30.9;26.5;24;90.9;5;1.3;38.3;
2012-02-29;14;73;128.9;128.9;null;8.9;15;349.1;null;null;31.4;26.7;23.8;82.5;4;1.1;38.7;
2012-03-31;9;64;129.2;129.2;null;8.7;21;255.8;null;null;31.8;26.7;23.6;81.4;3;1.1;36.8;
2012-04-30;14;71;159.8;159.8;null;7.7;19;274.8;null;null;31.8;27.1;24.1;81.4;3;1;38.1;
2012-05-31;14;77.5;145.5;145.5;null;6.4;19;168;null;null;31.9;27.3;24.4;80.2;3;1.1;40.6;
2012-06-30;14;90.6;149.9;135.4;null;4.5;10;111.1;null;null;32.4;27.5;24.1;76.1;3;1;42.4;
2012-07-31;14;96;null;null;null;5.3;11;105.6;null;null;32.1;27.3;23.9;76.6;2;1;42.9;
2012-08-31;14;118;164.6;163.9;null;5;7;159.3;null;null;33.8;28.2;24.1;75.9;3;1.1;41.1;
2012-09-30;9;114.2;158.7;93.9;null;5.4;6;58.8;null;null;34.4;28.5;24.8;70.6;3;1.2;40.3;
2012-10-31;14;110.8;178.9;138.1;null;6.1;10;226.2;null;null;34.2;28.8;24.8;73.8;3;1;41.3;
2012-11-30;9;87.2;170.1;159.8;null;7;10;165.2;null;null;33.6;28.4;24.5;76.1;2;1;41.5;
2012-12-31;14;83.8;156.9;156.9;null;7.7;17;285.3;null;null;32.8;27.3;23.7;79.8;4;1.2;37.8;
2013-01-31;14;85.1;162.9;162.9;null;7.6;22;193.5;null;null;32.6;27.6;24.5;80.5;3;1.1;37.1;
2013-02-28;9;59.6;null;null;null;8.3;23;314.1;null;null;32.6;27.1;23.8;79.3;7.5;1.2;37.6;
2013-03-31;9;83;162.6;162.6;null;7.7;20;244.7;null;null;33.4;28;24.6;78.1;8.9;1.2;38;
2013-04-30;14;74.5;129.1;129.1;null;7.9;20;372.3;null;null;32.3;27.7;24.6;81.2;3;1.1;37.7;
2013-05-31;14;67;145.6;145.6;null;6.7;19;289.8;null;null;32.6;28;25;84.8;9.2;1.1;41;
2013-06-30;14;82.5;151.9;151.7;null;6.4;13;147.6;null;null;32.7;28;24.5;78.8;2;1;41.4;
2013-07-31;18;94.1;143.2;112.6;null;6.8;8;58.2;null;null;32.2;27.5;24.1;76;6;1.2;40.1;
2013-08-31;9;111.3;166.7;94;null;6.4;7;68.6;null;null;33.2;28.2;24.7;72.6;5;1.1;41.7;
