Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.5
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;49;137.8;137.8;114.5;8.4;24;348.4;1012.6;1007.3;30.8;26.4;null;87.1;3.5;.7;45.5;
2012-02-29;0;42.7;122.6;122.6;107.7;8.8;21;323.7;1012.4;1007.1;30.7;26.1;null;86.1;4;.7;41.8;
2012-03-31;0;47.9;135.6;135.6;153.8;7.8;21;340;1013.1;1007.8;31.4;26.5;null;85.4;3.5;.6;48.3;
2012-04-30;0;50.8;141.3;141.3;167.6;7.7;25;201.7;1012.8;1007.5;32;27.1;null;84.2;3.5;.7;47.7;
2012-05-31;0;53;153.1;153.1;202.8;7;23;223.1;1013.4;1008.2;32.5;27.4;null;84.3;3.5;.7;54.4;
2012-06-30;0;60.8;147.5;134.7;246.8;5.5;19;92.2;1014.6;1009.3;32.8;27.4;null;84.3;3.7;.6;57.6;
2012-07-31;0;58.9;148.6;106.6;221.4;5.5;13;77.3;1014;1008.9;33.2;27.2;null;83.2;4.1;.4;55.1;
2012-08-31;0;93.6;160.3;90.1;265.8;3.8;11;73.8;1014.2;1009;34.9;27.8;null;74.6;3.5;.5;65;
2012-09-30;0;95.4;183.8;78;240.8;5.8;12;71;1014;1008.7;35;28.9;null;73.7;3.5;.8;53.8;
2012-10-31;0;92.2;186.9;176.7;236.2;7;12;176.3;1011.7;1006.5;34.4;28.7;null;76.4;3;.7;51.2;
