Nome: BACABAL
Codigo Estacao: 82460
Latitude: -4.21805554
Longitude: -44.77583332
Altitude: 26.6
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;73.5;146.5;146.5;160.3;7;17;195.2;1011.2;1008.5;33.5;27.4;23.1;77.1;2.3;1;46.7;
2012-02-29;5;61.5;135.1;135.1;154.2;7.3;21;214;1010.6;1007.7;33.5;26.8;23.1;81.2;3.1;1.2;47.1;
2012-03-31;5;65.4;145.1;145.1;172.6;7;25;318.7;1011;1008.1;33.9;27.2;23.3;83;3.5;1.3;46.5;
2012-04-30;5;72.2;142.3;138.9;198.7;6.3;18;116;1011;1008.1;34.8;28.1;24.7;81.5;3.3;1.1;46.7;
2012-05-31;5;85.2;147.7;124.8;null;5.8;6;92.5;1011.8;1008.9;35.2;28.7;24.6;77.3;2.8;1;46.7;
2012-06-30;5;96.6;141;86.2;null;5.6;10;62.7;1013.1;1010.2;35.2;28.2;24.2;76.2;2.6;1;46.7;
2012-07-31;5;105.5;147.7;18.7;null;4.6;1;3.5;1012.6;1009.6;35.5;28.6;23.9;67.4;3.3;.9;46.6;
2012-08-31;18;158.1;149.2;36.9;312.7;3.8;1;33.7;1013.2;1010.2;37.2;29;22.7;59.1;3.3;1.1;46.7;
2012-09-30;36;null;149.2;25.9;231.7;3.5;3;25.4;1012.7;1009.8;38.8;29.8;23.7;57.9;4.3;2.3;47.6;
2012-10-31;36;171.4;156;1.3;252.1;5;2;1;1010.1;1007.2;39.1;30.1;24.6;64.1;4.1;1.6;47.4;
2012-11-30;36;164.3;152.3;26.3;197.1;6.3;6;26.2;1009.5;1006.6;38.1;30.1;25.1;64.3;4.6;1.6;46.7;
2012-12-31;36;116.3;153.1;153.1;223.9;6.7;9;166.3;1009.4;1006.6;35.6;28.7;24.6;72.7;7.7;1.3;47.2;
2013-01-31;5;103.4;151.9;63.2;161.9;6.6;12;54.7;1010.7;1007.8;34.2;28.3;null;77.5;2.3;.7;47.4;
2013-02-28;5;75;134.9;134.9;173.4;7.5;18;310.8;1009.9;1007;34.5;28;24;77.6;4.1;1.1;46.4;
2013-03-31;5;78.9;148.5;148.5;160.5;7.3;1;255;1010.7;1007.7;34.1;28;24.5;80.6;4.1;1;46.8;
2013-04-30;5;71.9;142.7;142.7;189.4;7.1;null;295.5;1011.3;1008.4;34.7;28.2;24.4;80.6;5.8;.9;46.9;
2013-05-31;5;77.6;145.9;145.9;224.1;6.2;null;171.9;1011.8;1008.9;34.1;28.2;23.9;79.9;3.3;.9;47.2;
2013-06-30;5;86.6;140.6;132.4;243.9;5.7;null;97.3;1012.4;1009.5;34.4;28.1;23.5;76.5;3.5;.7;46.2;
2013-07-31;5;88;144;71.7;264.2;5.3;null;27;1013.1;1010.2;34.3;27.7;22.6;76;3.6;.8;46.9;
2013-08-31;5;132.3;148.4;23.8;281.7;4.6;null;8.7;1011.8;1008.9;36.6;28.9;22.8;70.5;3.3;.9;46.7;
2013-09-30;36;172.2;148.4;15.1;null;3.5;null;11.4;1011.3;1008.3;38.4;29.6;22.7;63.6;4.6;2.4;46.7;
2013-10-31;5;159.3;153.3;15.6;256;5.7;null;14.7;1010.9;1008;37.9;29.3;22.6;64.1;4.1;1.6;46.7;
2013-11-30;5;119.8;145.2;145.2;193.7;7;null;288.5;1009.4;1006.4;35.7;28.2;22;71.8;4.1;1.2;47.6;
2013-12-31;5;127;153.1;120.5;198;6.4;null;59.3;1010;1007.1;35.7;28.7;23.6;72.4;4;1.1;46.7;
2014-01-31;5;65.9;null;null;173.7;6.5;null;275.7;1010.9;1008;32.7;null;null;79.9;2.3;.8;47.4;
2014-02-28;5;45.1;null;null;125.2;7.9;null;377.6;1010;1007.3;33.1;null;null;85.9;5.5;1;46.4;
2014-03-31;5;64.1;146.6;146.6;null;7.5;null;273.7;1011;1008;33.7;27.5;23.8;83.2;3.6;.9;46.5;
2014-04-30;5;51.6;140.6;140.6;163.8;7.4;null;440.6;1011.5;1008.5;33.8;27.3;23.8;84.9;8;.9;47.3;
2014-05-31;5;60.5;143.6;143.6;184.7;6.8;null;284.9;1011.5;1008.7;33.9;27.4;23.6;83.1;2.8;.7;46.7;
2014-06-30;0;111.1;140.2;107;240.8;5;null;46;1012.3;1009.3;33.8;28.1;23.4;77.2;5.5;.5;47.8;
2014-07-31;5;102.4;145.9;32.9;276.4;5;null;2.2;1014.2;1011.3;34.6;28.1;22.9;74.3;3.3;.8;46.7;
2014-08-31;9;141.2;147.7;25.5;null;3.7;null;18.7;1013;1010.1;36.6;28.5;22.4;65.9;4.3;1.8;46.8;
2014-09-30;5;172;null;null;227.7;4.7;null;51.8;1012.1;1009.1;36.8;null;null;68.1;4.1;1.3;46.7;
2014-10-31;5;null;null;null;262.3;5.3;null;27.7;1010.9;1008.1;38.1;null;null;65.5;4.1;1.3;48.1;
2014-11-30;5;null;null;null;220.1;5.7;null;24.7;1010.1;1007.2;36.6;null;null;66.6;4.1;1.4;47.1;
2014-12-31;5;null;151.9;103;197.3;6.2;null;98.9;1010.7;1007.7;35.3;28.4;23.5;70.1;5;1.5;47.1;
2015-01-31;5;null;150.3;70;139.1;7.4;null;66.7;1011.6;1008.7;34.8;27.9;23.1;73.5;3.6;1.2;47.3;
2015-02-28;5;null;null;null;null;7.7;null;505;1011.5;1008.5;33.2;null;null;82.8;3.3;.9;47.4;
2015-03-31;5;null;null;null;179.5;7.8;null;426.4;1011.3;1008.4;33.4;null;null;83;4.1;1;46.8;
2015-04-30;5;null;null;null;210.5;7;null;319.5;1011.7;1008.6;33.8;null;null;83.2;4.6;1;46.9;
2015-05-31;5;null;null;null;192.7;6.2;null;158.6;1011.9;1008.9;34.1;null;null;82.2;3.1;.7;46.8;
2015-06-30;5;null;140.8;113.3;242.3;5.7;null;65.8;1013.4;1010.5;34.4;28.2;23.6;79.4;3.3;.8;47.1;
2015-07-31;5;null;145.1;51;275.4;4.6;null;6.5;1013.2;1010.3;33.8;28;23.3;75.3;2.1;.6;48.2;
2015-08-31;14;null;151;9.6;297;3.8;null;0;1012.5;1009.5;37;28.8;22.6;68.9;4.6;1.1;47.5;
2015-09-30;5;null;148.4;5.7;268.3;4.6;null;3.6;1011.9;1009.1;38.2;29.4;23;67.4;3.3;null;46.8;
2015-10-31;5;null;152.5;.7;273.6;4.6;null;.2;1011.1;1008.1;38.9;30;23.1;63;5;1.5;46;
