Nome: CALDEIRAO
Codigo Estacao: 82474
Latitude: -4.328706
Longitude: -41.721691
Altitude: 183.51
Situacao: Desativada
Data Inicial: 2012-01-01
Data Final: 2015-02-26
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;96.2;149.6;70.1;222.7;5.8;8;78.1;null;34.8;27.5;21.3;68.8;3;.2;26.7;null;
2012-02-29;0;87.8;141.2;94.4;196.8;6;13;150.5;null;32.4;26.3;20.7;75.6;5;.1;26.7;null;
2012-03-31;0;60.5;143;29;189.8;5.4;19;298;null;31.8;26.1;20.6;79.4;3;.1;26.3;null;
2012-04-30;0;56.6;143;70.8;null;4.7;10;130.3;null;32.8;27.2;20.9;74.5;3;.3;26.7;null;
2012-05-31;0;59.6;146.4;0;285;3.5;3;41.6;null;34.2;27.9;21;68.7;3;.1;26.7;null;
2012-06-30;0;62.8;142.2;0;250.4;2.8;2;8.7;null;34.6;27.9;20.9;65.2;3;.4;26.7;null;
2012-07-31;0;68.8;145.8;0;282.9;2.9;0;0;null;35.5;27.9;19.9;62.5;4;.5;26.7;null;
2012-08-31;0;71.8;149.7;0;289.8;1.9;0;0;null;36.7;28.5;20.4;59.1;4;.6;26.1;null;
2012-09-30;0;77.5;152.1;0;null;1.5;0;0;null;37.6;29.2;20.3;56;4;.9;26.7;null;
2012-10-31;0;84.6;156.7;0;null;2.1;1;1;null;38.6;29.3;21.2;55;4;.7;26.7;null;
2012-11-30;0;83.2;155.5;0;null;3.2;2;3.6;null;38.3;29.2;20.7;54.9;4;.6;26.7;null;
2012-12-31;0;94.3;154.5;43.9;264.6;4.9;5;40.9;null;37.6;29.2;21.2;55;3;.3;26.3;null;
2013-01-31;0;103.2;149.6;85.8;null;5.1;6;135.8;null;33.7;27.5;21.4;65.9;4;.2;26.7;null;
2013-02-28;0;75.2;132.5;132.5;null;4.5;null;156.7;null;34.8;27.4;21.2;70.8;3;.2;26.7;null;
2013-03-31;0;91;147.9;147.9;null;5.5;null;159.5;null;33.9;27.4;21.6;69.1;3;.3;26.7;null;
2013-04-30;0;72.2;141.9;141.9;236;5.4;null;331.2;null;32;26.6;21.3;75;3;.4;26.7;null;
2013-05-31;0;63.4;141.9;111.7;243.3;4.1;null;91.5;null;32.5;26.8;20.7;75.8;3;.4;26.7;null;
2013-06-30;0;63.8;139.3;60;237.9;3.9;null;33.3;null;33.3;26.7;20.5;71.9;3;.8;26.3;null;
2013-07-31;0;65.1;140.2;26.3;269.3;2.2;null;16.2;null;33.7;27;20.4;66.6;4;.8;25.9;null;
2013-08-31;0;85;145.9;3.1;294.3;1.7;null;0;null;34.5;28.6;21.9;57.9;4;.6;26.7;null;
2013-09-30;0;64;null;null;null;1.5;null;0;null;38.3;29.8;22.1;52.6;4;1.3;26.7;null;
2013-10-31;0;76.3;156.3;11.1;null;1.7;null;11.1;null;39.6;30.2;22.2;51.3;4;1.3;27.2;null;
