Nome: CAXIAS
Codigo Estacao: 82476
Latitude: -4.86722221
Longitude: -43.35666666
Altitude: 96.67
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2022-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;null;81.3;167.8;167.8;169;6.6;12;223.7;998;33.6;27.5;23.4;72.4;null;null;20.7;null;
2012-02-29;null;49;131.5;131.5;175.2;6.9;18;191.6;998;32.3;26.6;22.8;75.1;null;null;20;null;
2012-03-31;18;46.3;139.1;139.1;193.3;6.7;22;226.9;998.6;32.6;26.6;23.1;75.6;5.3;1.7;20;null;
2012-04-30;36;56;155.4;129.3;215.3;5;11;73.2;998.4;33.3;27.7;23.9;72.1;3.8;1.7;20;null;
2012-05-31;14;80.6;165.8;46.4;243.3;4.1;4;11.9;999.2;34.4;28;23.7;66.4;5.1;1.8;20;null;
2012-06-30;null;89.9;166.3;72.9;240;3.9;5;67;1000.4;35.5;28.3;23.5;62;null;null;19.8;null;
2012-07-31;null;123.1;172.2;2.9;264.8;2.6;0;0;1000;36.2;28.3;22.2;54.8;null;null;20;null;
2012-08-31;null;170.2;198.4;.5;287.9;1.8;0;0;1000.5;38.2;29.3;21.8;44.8;null;null;20;null;
2012-09-30;11;171.7;232.3;8.8;262.2;2.6;2;8.7;999.8;39.3;30.8;23.7;44.3;5;1.9;20;null;
2012-10-31;14;173.4;274.4;10;265.8;3.7;3;10;997.3;40.4;31.8;25;44;4;2;20;null;
2012-11-30;36;147.5;249.2;24.8;204.5;5.6;5;27.9;996.9;39.2;31;25;52.9;5.6;2.2;20;null;
2012-12-31;5;97.4;197.8;71.9;209.8;6.1;11;101.9;997.1;36.7;29.1;24.6;61.3;4.3;1.8;19.6;null;
