Nome: PIRIPIRI
Codigo Estacao: 82480
Latitude: -4.2761111
Longitude: -41.79444444
Altitude: 157.89
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;36;135.2;149.6;84.7;231.6;4.7;15;84.7;991.7;34.8;27.6;23;69.5;5.1;2.2;44.8;null;
2012-02-29;14;109;134;134;195.9;6;19;248.5;991.8;32.9;26.5;22.4;76;5.8;1.8;47.8;null;
2012-03-31;36;87;142.6;142.6;229;4.7;20;250.3;992.5;32.8;26.2;22.5;80.6;4;1.6;47.1;null;
2012-04-30;36;72.4;137.3;122.8;232.7;3.8;18;78.1;992.4;32.5;26.5;22.9;81;4.3;1.6;46.2;null;
2012-05-31;36;117.6;142.6;67.4;283.3;2.4;7;30;994.3;33.8;27.1;22.5;79.3;5;1.8;40.3;null;
2012-06-30;36;135.5;138.1;34.7;253;2.9;6;22.4;994.4;34.8;27.3;22;68.2;4.1;1.6;46.7;null;
2012-07-31;36;248.6;145.2;5.8;281.2;1.7;4;3.5;995;35.6;28;21.7;63.9;5.3;2.1;40.3;null;
2012-08-31;14;280.3;148.9;1.3;302.1;2;1;.3;994.5;36.6;28.8;21.4;49.5;6.1;2.7;46.7;null;
2012-09-30;36;258.1;146.3;.2;296.5;.4;0;0;995.4;37.4;29.1;21.8;58.6;6.6;2.6;40;null;
2012-10-31;36;260.9;155.2;6.7;306.5;1.8;3;6.6;991.2;38.4;29.7;22.6;50.6;5.1;2.8;46.7;null;
