Nome: GUARAMIRANGA
Codigo Estacao: 82487
Latitude: -4.26138888
Longitude: -38.9311111
Altitude: 865.44
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-08-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;69.1;84.6;84.6;136;7.8;16;113.8;916;26.1;21.1;18.6;86.1;5.6;3.1;33.2;null;
2012-02-29;9;58;76.1;76.1;108.8;8.1;14;243.6;915.6;25.3;20.8;18.4;87.5;5.6;2.7;32.9;null;
2012-03-31;9;42.2;80.6;80.6;98;8;23;158.2;916.2;24.5;20.7;18.6;91.2;5;3;32.7;null;
2012-04-30;9;42.4;81.4;81.4;113.9;8.1;18;99.4;917;25.4;21.2;19.4;91.7;5;3;22.1;null;
2012-05-31;5;57.9;80.8;78.1;149.7;6.9;15;56.5;917.2;25.6;20.9;18.6;87.4;5;3.1;32.7;null;
2012-06-30;9;46.2;74.6;74.6;113.8;7.5;16;158.7;918.2;24.9;20.5;18.3;89.2;5;2.7;33;null;
2012-07-31;9;84.8;76.3;61.9;192.1;7.3;6;17.3;919;25.3;20.4;17.6;90.6;5;3.2;29.2;null;
2012-08-31;9;130.4;78.6;31.5;235.6;5.5;3;1.8;918.9;26.8;20.6;17.2;80.2;5;3;37.5;null;
2012-09-30;9;113.1;78.5;16.6;207.9;5.9;4;3;918.9;27.4;20.8;17.4;77.4;5.3;3.3;36.7;null;
2012-10-31;9;111.1;83.7;30.1;207;6.5;12;24.7;916.7;27.9;21;17.7;78.8;5.8;3.4;36.2;null;
2012-11-30;5;100.9;85.2;19.5;183.3;6.1;5;16.2;916;27.7;21.4;18.6;80.4;5.5;2.9;34.7;null;
