Nome: JAGUARUANA
Codigo Estacao: 82493
Latitude: -4.85361111
Longitude: -37.77722221
Altitude: 16.57
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2019-04-30
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;269.9;150.6;21.9;264.5;6.6;7;21.9;1009.8;33.7;27.9;23.7;69.8;6.6;3.8;62.7;null;
2012-02-29;5;177.3;137.7;137.7;208.2;7.4;11;198.8;1009.4;33.2;27.5;23.1;73.7;7;3.1;62.5;null;
2012-03-31;5;92.5;145.9;110.6;244.3;7.2;13;81.6;1010;32.9;27.3;23.4;77.4;6;2.8;61.5;null;
2012-04-30;5;83;141.9;107.4;242.8;6.7;8;96.1;1009.7;34.3;28;23.6;75.4;7;3.4;61;null;
2012-05-31;9;162.6;145.7;22.7;262.9;5.4;3;7.6;1011;34.6;28.1;23.1;67.9;6;3.5;62;null;
2012-06-30;5;230.2;139.6;15.1;231.8;4.7;2;1.4;1012.4;34.3;27.8;23.1;67.8;6.1;3.2;62.7;null;
2012-07-31;9;223.6;142.8;20;245.5;4.2;4;19;1012.2;33.8;27.3;22.5;65.6;7.6;3.2;62.7;null;
2012-08-31;5;256;144.4;.3;293.5;2.6;0;0;1013;34.9;27.5;22;61;6.8;3.5;62.7;null;
2012-09-30;5;257.7;141.6;.1;312.2;1.6;0;0;1013.1;35.1;27.7;22;61;8.1;4.3;62.7;null;
2012-10-31;5;266.4;149.7;0;323.8;3.1;0;0;1010.7;35.3;28.2;22.9;61.7;8.1;4.6;62.7;null;
2012-11-30;5;238.3;145.4;0;298.4;3.4;0;0;1009.7;34.3;28;23.3;66.4;7;4.2;62.8;null;
2012-12-31;5;228.6;153.2;1.7;301.8;5.3;1;1.7;1009.2;34.9;28.6;24.3;67.6;7.5;4.6;61.3;null;
2013-01-31;5;213.5;153.3;35.6;268.8;6.5;3;35.6;1010;34.7;28.7;24.5;68.4;7.6;4;62;null;
2013-02-28;5;206.9;138.5;27.3;267.5;5.9;5;27.3;1008.9;35.5;29;24.2;67.1;7.6;4.1;61.3;null;
2013-03-31;5;199.9;152.3;50.5;256.5;7;8;50.5;1009.8;34.9;29.1;24.9;70.5;7.6;3.9;62.7;null;
2013-04-30;5;142.3;142.6;142.6;218.2;6.3;15;209.6;1010.4;33.7;28.2;24.3;74.9;7.1;3;61.8;null;
2013-05-31;9;117.4;144.2;73.1;238.4;5.9;8;26.9;1011.1;33.2;27.7;23.6;75.4;5.3;2.4;62.7;null;
2013-06-30;5;104.9;137.4;95.5;226.6;5.9;8;87.3;1012;32.7;27.2;23.1;76.2;5;2.4;63.2;null;
2013-07-31;14;131.9;140.5;84.7;260.2;5.3;3;78.9;1012.9;32.5;26.7;22.3;73.6;6.1;2.4;60.9;null;
2013-08-31;5;186.9;143.9;5.2;259.7;3.3;null;0;1011.9;34.2;27.4;22.1;66.2;5.8;3.2;62;null;
2013-09-30;5;240.4;143.3;1.2;303;3.2;null;0;1011.9;34.8;28.1;22.8;63.7;6.8;4.5;62.7;null;
2013-10-31;9;279.3;149.3;5.5;318.2;3.2;2;5.2;1011.4;34.8;28.1;22.7;65.6;7.6;4.7;62.7;null;
2013-11-30;5;237.5;143.5;7.9;271.8;6.6;4;7.8;1009.5;34.1;28.1;23.5;67.4;6.5;4.4;62.7;null;
2013-12-31;5;217.5;150.9;22.5;298.1;3.9;3;22.5;1009.9;33.9;28.1;23.7;70;7.3;3.8;62.7;null;
2014-01-31;9;220;152.5;1.8;269.7;6.4;null;1.8;1010;34.6;28.5;24.1;68.5;6.6;3.8;62.5;null;
2014-02-28;5;180.1;136.4;61;200.9;8.1;null;61;1009.1;34;28.3;24;71.7;6.5;3.6;60.8;null;
2014-03-31;5;169.6;150.1;65.1;238;6.7;null;65.1;1010;34.3;28.5;24.3;73.4;6.3;3.2;63.4;null;
2014-04-30;5;101.3;143.3;143.3;199.4;7.6;null;183.8;1010.4;32.9;27.9;24.3;80.1;7.5;2.6;63.2;null;
2014-05-31;14;73;143.1;138.7;226.5;6.6;null;135.4;1010.6;32.6;27.4;23.5;79.1;4.5;2.4;62.6;null;
2014-06-30;9;115.9;138.5;50.4;211;5.6;null;21.8;1011.8;33.6;27.5;22.8;71;6;2.6;62;null;
2014-07-31;9;175.2;142.3;12.1;237.1;4.5;null;2.4;1013.9;33.9;27.1;21.4;65.9;7;3.6;62.7;null;
2014-08-31;14;231.2;144.7;2.4;284;2.5;null;0;1012.8;35;27.6;21.5;62.6;6.5;3.5;62;null;
2014-09-30;9;226.5;142.2;5.2;253.9;2.8;null;4.6;1012.4;34.7;27.9;22.6;66.4;7.1;4.2;59.8;null;
2014-10-31;14;275.5;150.8;28.1;315.8;3.6;null;28;1011.3;35.1;28.5;23.3;64.4;6.6;4.3;61.8;null;
2014-11-30;5;223.5;145.7;11.6;285.4;4.2;null;11.6;1010.5;34.1;28;23.3;69.3;6.6;4;62.7;null;
2014-12-31;5;230.3;152.4;1.3;285.5;5.4;null;1.3;1010.7;34.3;28.4;23.9;69;6.6;4.2;62.7;null;
2015-01-31;9;196.6;151.7;27;292;4.4;null;27.6;1011.3;34.5;28.3;23.8;70.3;6.3;4;62;null;
2015-02-28;5;161.4;136.4;20.5;204.4;6.5;null;20.5;1010.5;34.5;28.6;24.1;71.3;6.3;3.6;62.7;null;
2015-03-31;9;125.9;147.8;147.8;233.3;7.1;null;149.9;1010.3;33.4;27.9;24.2;77.5;6.3;2.9;62.7;null;
2015-04-30;9;87.5;140.1;106.6;221.8;6.2;null;107.9;1010.7;32.6;27.6;24.1;80.8;5.3;2.3;62.7;null;
2015-05-31;14;166.2;146.8;29.8;272.8;4.2;null;28.8;1011.3;34.7;28.4;23.9;72.6;5.6;3;60.1;null;
2015-06-30;9;147.7;139.9;59.6;234.9;4.2;null;59.3;1012.6;34;27.8;23.1;71;6.3;2.9;60.9;null;
2015-07-31;14;145.6;142.7;19.4;225;4.8;null;19.3;1013.1;33.4;27.3;23;71.3;8.6;3.4;58.4;null;
2015-08-31;14;206.8;144.3;4.8;290;2;null;4.8;1012.6;34.6;27.5;21.9;66.5;6.1;3.4;62.7;null;
2015-09-30;9;221.2;143;4.4;304.6;2.3;null;4.4;1012.2;34.9;28.1;23.1;65.7;7.1;4.3;62.7;null;
2015-10-31;5;229.6;150;0;328.6;2;null;0;1011.8;35;28.3;23.3;66;6.6;4.4;62.7;null;
2015-11-30;5;219;147.6;0;324.6;2.4;null;0;1010.3;34.9;28.5;23.7;67.6;7.1;4.2;61.2;null;
2015-12-31;5;220.9;153.9;5.8;279.9;4;null;5.8;1011.4;35.1;28.9;24.2;67.4;7;4.1;62.7;null;
2016-01-31;5;109.4;148.6;148.6;172.8;8.1;null;202.6;1011;32.3;27.6;24.3;79.5;5.6;3;62.4;null;
2016-02-29;5;123;141.2;63.2;218.5;8;null;26.5;1010.7;34.4;28.4;24.1;75.5;5.1;2.6;62.7;null;
2016-03-31;14;176.4;153.3;64.3;245;6.1;null;53.5;1010.7;35.6;29.5;25.1;70.8;5.6;3;62.5;null;
2016-04-30;9;121;144.7;80.5;179.7;6.4;null;78;1010.1;34;28.6;24.7;75.9;6;2.7;62;null;
2016-05-31;9;168.6;148.9;4.6;241.8;3.9;null;2.1;1011.8;35.6;29;24.2;70.3;6;2.9;62.5;null;
2016-06-30;14;163.5;142;23.3;258.1;3.7;null;23.8;1013.1;35.2;28.4;23.7;68.3;6;3.4;62.7;null;
2016-07-31;9;240.7;145.6;.2;263.3;3.2;null;0;1012.6;35.3;28.1;23.1;67.3;5.6;3.8;62.7;null;
2016-08-31;9;272.8;146.9;0;291.8;1.6;null;0;1012.7;35.5;28.2;22.7;65.9;6;4.2;62.7;null;
2016-09-30;5;297.9;144.8;0;312.9;1.6;null;0;1012.3;36.2;28.6;23.3;66.4;6;4.1;62.7;null;
2016-10-31;5;333.8;152.7;0;324.8;2.8;null;0;1010.3;36.2;29.1;23.6;66;6;4.1;62.7;null;
2016-11-30;5;308.2;149.8;0;322.2;3.3;null;0;1009.6;35.9;29.1;24;67.5;6.8;4.2;62.7;null;
2016-12-31;5;273.4;154.3;7.9;260.3;6.4;null;7.9;1009.6;35.4;29.1;24.3;69.3;5.8;3.7;62.7;null;
2017-01-31;5;249;155.6;22.1;275.1;6.8;null;22.1;1009.7;35.8;29.3;24.8;70.8;5.5;4;62.7;null;
2017-02-28;5;145.6;137.1;137.1;201;7.8;null;199.9;1009.8;34.3;28.5;24.2;75.7;5.3;3.3;61.9;null;
2017-03-31;9;104.5;147.8;147.8;198.7;8.3;null;233.3;1009.9;32.9;27.8;24.2;81.6;5;2.4;62.7;null;
2017-04-30;9;68.4;140.1;140.1;216.2;6.5;null;168.7;1010.1;32.4;27.5;23.8;83.1;4.3;2.1;62.7;null;
2017-05-31;5;111.1;145.3;101.6;226.9;6.6;null;34.7;1010.7;33.8;27.9;23.6;76.8;5.1;2.5;63.4;null;
2017-06-30;9;139.4;139.5;58.4;244.1;5.5;null;37.2;1011.7;34;27.8;23.1;76.3;5.3;2.8;63.4;null;
2017-07-31;9;146.8;140.4;127.7;184.1;6.8;null;126.1;1013.9;32.1;26.7;22.4;75.3;5.3;2.8;63;null;
2017-08-31;9;189.2;144.6;7.9;276.8;2.4;null;0;1012.4;34.8;27.5;21.9;71.2;5.1;3.3;63.2;null;
2017-09-30;9;261;142.9;1.8;288.1;3;null;0;1012.1;35.8;28.2;22.5;62.7;6.6;3.9;62.7;null;
2017-10-31;9;255.1;151.9;.5;313.2;2.8;null;0;1010.9;36;28.8;23.6;67.2;8.5;4.6;58.9;null;
2017-11-30;9;256.1;146.8;.2;303;3.5;null;.1;1011;35;28.4;23.8;72.5;7.1;4.3;52;null;
2017-12-31;5;276.2;154.3;1.1;279.9;5.4;null;1.1;1010.4;35.1;28.9;24.8;73.7;6.5;4.2;52;null;
2018-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018-05-31;9;72.4;140.8;122.7;219.7;6.3;8;74;1012.6;31.1;26.7;23.4;86.6;5;2.2;52.5;null;
2018-06-30;9;123.8;134.1;49;232.3;4.4;3;13.6;1013.9;32;26.4;21.9;82.8;5.5;3.2;52.3;null;
2018-07-31;9;149.4;null;null;206.9;3.9;2;4.6;1014;33.7;27;22.2;76.4;5.5;3.2;52;null;
2018-08-31;9;170;144.3;50.4;275.9;1.8;1;.6;1014.3;35.1;27.5;22.1;76.9;5.1;3.1;51.5;null;
2018-09-30;14;null;142.6;11.9;261.9;2.6;1;.6;1012.3;35.8;28;22.3;74.8;5.6;3.7;51.4;null;
2018-10-31;14;203.3;150;2.9;304.4;3;0;0;1011.7;35.5;28.4;23.4;78.4;6;3.3;52.5;null;
2018-11-30;9;215.8;149.4;4.6;297.3;4.3;1;4;1010.5;36.1;29.1;24.1;78.6;5.5;3.4;52;null;
2018-12-31;14;171.8;154.3;15.7;260.8;6.1;3;15.6;1011.5;35.2;28.7;24.1;84.7;5.1;2.7;52;null;
2019-01-31;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
