Nome: MANICORE
Codigo Estacao: 82533
Latitude: -5.81777777
Longitude: -61.29083333
Altitude: 40.1
Situacao: Fechada
Data Inicial: 2012-01-01
Data Final: 2022-06-20
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;0;56;139.6;139.6;94;7.2;25;433;null;null;32.1;26.4;23.2;86.8;1;.7;48;
2012-02-29;18;57;122.4;122.4;115.7;7.1;21;388;null;null;31.6;26;22.8;87;1;.7;48;
2012-03-31;18;59.5;134.7;134.7;106.3;7.2;25;381.8;null;null;32.5;26.3;23.1;86.1;1;.7;46.7;
2012-04-30;18;54;134;134;null;6.5;22;409.9;null;null;32.8;26.6;23.1;85.5;1.8;.7;47.1;
2012-05-31;0;52.5;138.7;138.7;null;6;19;235.6;null;null;32.5;26.7;23.3;85.3;1;.7;48.8;
2012-06-30;18;60.5;131.6;131.6;null;4.8;9;138.2;null;null;32.9;26.7;22.7;83.3;1;.7;52;
2012-07-31;18;90;142.1;82.9;null;3.7;3;9.4;null;null;33.8;26.9;22.3;80.9;1;.7;56.1;
2012-08-31;0;146.5;153.4;23.3;null;3;1;2.6;null;null;35.4;27.4;21.7;73.8;1;.7;57;
2012-09-30;18;128;146.5;94.3;null;4.7;10;90.4;null;null;35.8;27.8;23.1;76.6;1;.8;51.6;
2012-10-31;0;85.5;161.8;161.8;null;5.9;15;274.4;null;null;34.7;27.5;23.4;81.4;1;.7;51.8;
2012-11-30;18;80;158.4;158.4;null;6.7;15;197.2;null;null;34.2;27.6;23.8;82.7;1;.7;49.2;
2012-12-31;18;73.5;143.9;143.9;null;6.8;15;311.2;null;null;32.8;26.7;23.4;85.6;1;.7;50.5;
2013-01-31;0;66;123.1;123.1;null;7.4;27;340;null;null;null;null;23.7;85.2;10;.7;48.4;
2013-02-28;0;51.5;124.9;124.9;null;8.2;21;330.2;null;null;31.3;26.3;23.6;86.7;1;.6;46.7;
2013-03-31;18;61;144.3;144.3;null;7.1;23;349.8;null;null;32.5;26.8;23.9;85.1;1;.7;48.8;
2013-04-30;0;57;141.5;141.5;null;6.7;24;403;null;null;32.6;27;23.9;86;1;.6;50.5;
2013-05-31;0;64;144.5;144.5;null;6.8;21;201.2;null;null;32.6;27;23.9;84.9;1;.5;48;
2013-06-30;0;72;140.9;124.1;null;5.1;16;76.8;null;null;33.2;27.1;23.6;83;1;.5;52.4;
2013-07-31;0;82.5;132.7;96.8;null;4.4;12;73.2;null;null;32.7;26.4;22.4;82.3;1;.6;54;
2013-08-31;0;109;147.3;62.9;null;3.9;6;44.2;null;null;34.1;27;22.5;77.6;3;.8;53.5;
2013-09-30;0;82.5;144.5;144.5;null;5.7;14;165.4;null;null;33.7;27.1;23.2;81.9;3;.8;50.7;
2013-10-31;0;86;155.5;155.4;null;6;16;155.4;null;null;33.7;27.4;23.8;81.1;1;.7;53.1;
2013-11-30;0;54.5;136.6;136.6;null;7.6;23;488.8;null;null;31.8;26.4;23.6;85.7;1;.7;49.8;
2013-12-31;0;65.5;156;156;null;7;22;245;null;null;32.9;27.1;24;84.5;3;.7;49.2;
2014-01-31;0;47;139.6;139.6;null;7.7;2;359;null;null;32.2;26.5;23.7;86.5;10;.8;49.2;
2014-02-28;0;33.5;121.5;121.5;null;8;null;377.4;null;null;31.4;26.2;23.7;86.9;1;.7;49.5;
2014-03-31;0;32.5;142.4;142.4;null;7.4;null;371.6;null;null;32.3;26.7;24;86;3;.7;49.2;
2014-04-30;0;48;135.9;135.9;null;7.4;null;276.4;null;null;32.2;26.7;24;87.3;1;.7;48;
2014-05-31;23;37.5;140.7;140.7;null;6.9;null;213;null;null;32;26.8;24;87;1;.7;51;
2014-06-30;0;67.5;146.6;100.8;null;4.6;null;32;null;null;33.5;27.4;23.6;80.2;1;.7;55.6;
2014-07-31;0;null;145.9;111.3;null;4.8;null;99.4;null;null;33.4;27;23.1;79.6;1;.7;94.3;
2014-08-31;0;null;151.3;84.1;null;4;null;73.2;null;null;34.1;27.3;23;79.1;1;.7;96.8;
2014-09-30;18;null;156.5;100.2;null;4.6;null;96;null;null;34.5;27.7;23.5;79.7;1;.8;96.7;
2014-10-31;18;null;149.3;149.3;null;7;null;194;null;null;32.8;27;23.8;84.5;1;.8;96.5;
2014-11-30;0;null;146.2;146.2;null;6.4;null;373;null;null;33;27;23.8;83.6;2.1;.7;96.5;
2014-12-31;18;null;153.9;153.9;null;6.9;null;257.4;null;null;33.3;27;24;84.5;3.1;.8;96.6;
2015-01-31;18;null;141.5;141.5;null;7.2;null;255.4;null;null;32.5;26.5;23.5;86.4;1;.7;96.6;
2015-02-28;18;null;126.6;126.6;null;7.7;null;464;null;null;32;26.5;23.7;84.9;1;.7;94.6;
2015-03-31;18;null;142.4;142.4;null;7.6;null;300.4;null;null;32.2;26.7;23.8;85.5;1;.7;94.4;
2015-04-30;18;null;137.7;137.7;null;7.2;null;186.2;null;null;32.7;26.8;24;85.1;1;.7;94.8;
2015-05-31;0;null;142.6;142.6;null;6.5;null;240.6;null;null;32.3;26.9;24;85.5;1;.7;95.1;
2015-06-30;0;null;142.8;128.4;null;4.7;null;83.8;null;null;33;27.2;23.7;82.3;1;.6;96;
2015-07-31;0;null;149.9;131;null;3.7;null;114.4;null;null;33.9;27.4;23.1;80.3;2.1;.6;96.5;
2015-08-31;0;null;186.2;34;null;3.6;null;1.2;null;null;36.2;28.9;23.9;71;1;.6;96.5;
2015-09-30;0;null;189.6;60.1;null;3.8;null;55.6;null;null;36.8;29.1;24.2;71.2;1;.7;95.6;
2015-10-31;18;null;177.2;125.5;null;5.2;null;124.8;null;null;35.5;28.4;24.1;76.4;1.5;.8;95.8;
2015-11-30;0;null;164.7;161.2;null;6.2;null;158;null;null;34.3;27.9;24.2;80.4;1;.7;95.4;
2015-12-31;0;null;168.9;134.2;null;7.1;null;134.1;null;null;33.3;27.4;24.1;84.2;1;.7;95;
2016-01-31;0;null;159.8;159.8;null;7.7;null;268.1;null;null;33.1;27.4;24.6;86;5.1;.7;94.9;
2016-02-29;0;null;146.1;146.1;null;6.7;null;256;null;null;33.3;27.2;24.1;84.8;1;.7;95.2;
2016-03-31;18;null;150.2;150.2;null;7.7;null;391.2;null;null;33;27.1;24.2;86.5;1;.8;94.9;
2016-04-30;0;null;139.5;139.5;null;7.1;null;333.8;null;null;32.6;27.1;23.9;86.1;2.1;.7;95.3;
2016-05-31;0;null;152.4;152.4;null;5.9;null;152.7;null;null;33.3;27.4;24.1;84.6;1;.7;95.6;
2016-06-30;0;null;142.8;116.6;null;4.7;null;60.6;null;null;33.2;27.2;23.5;81.8;1;.7;96.1;
2016-07-31;0;null;164.4;39.5;null;3.5;null;4.5;null;null;35.2;28;22.9;73.1;1;.6;96.8;
2016-08-31;0;null;166;60.4;null;4.6;null;54.4;null;null;35.7;28;23.3;73.6;2.6;.6;96.1;
2016-09-30;0;null;146.5;146.5;null;6.4;null;252.2;null;null;33.9;27.3;23.7;82.8;1;.7;95.4;
2016-10-31;0;null;168.3;168.3;null;6.2;null;169.5;null;null;34.2;27.8;24;80.5;1;.7;95.4;
2016-11-30;0;null;152.2;152.2;null;6.9;null;364.4;null;null;33.3;27.3;23.8;83.9;1;.7;95.4;
2016-12-31;0;null;143.9;143.9;null;7.5;null;404.9;null;null;32.4;26.6;23.8;85.7;1;.6;95.4;
2017-01-31;0;59;137.7;137.7;null;7.4;null;375.9;null;null;31.9;26.3;23.5;86;1;.5;34.5;
2017-02-28;0;null;123.2;123.2;null;7.6;null;390.9;null;null;31.5;26.3;23.7;87.9;1;.5;94;
2017-03-31;0;null;142.4;142.4;null;7.3;null;241.6;null;null;32.3;26.8;24;86.3;1;.6;95.2;
2017-04-30;0;null;137.7;137.7;null;7.1;null;294.7;null;null;32.5;26.8;23.9;85.8;1.5;.7;95.4;
2017-05-31;0;null;150.4;150.4;null;6.1;null;170.4;null;null;33.1;27.3;24;84.4;1;.5;95.7;
2017-06-30;0;null;142.8;131.2;null;4.1;null;90.5;null;null;33.5;27.2;23.3;80.5;1;.5;96.2;
2017-07-31;0;null;147.9;48.9;null;2.8;null;3.6;null;null;34;26.9;21.8;74.8;1;.6;96.7;
2017-08-31;0;null;172.5;60.2;null;4.2;null;50.3;null;null;35.7;28.3;23.5;73.7;1;.6;96.2;
2017-09-30;0;null;150.4;150.4;null;6.8;null;197.6;null;null;33.6;27.3;23.7;82;1;.7;95.3;
2017-10-31;18;null;157.5;157.5;null;6.4;null;178.6;null;null;33.6;27.4;23.7;81.2;3.1;.8;95.6;
2017-11-30;18;null;152.2;152.2;null;7.4;null;387;null;null;33.3;27.2;23.9;83.5;1;.7;94.9;
2017-12-31;0;null;149.8;149.8;null;7.6;null;457.2;null;null;32.5;26.8;23.9;86.8;1;.8;94.6;
2018-01-31;18;null;153.6;153.6;null;7.3;null;389.9;null;null;32.3;27.1;23.7;84.3;1;.8;94.7;
2018-02-28;0;null;118.1;118.1;null;8;null;468.9;null;null;30.6;26;23.7;88.2;1;.7;94.2;
2018-03-31;0;null;142.4;142.4;null;7.4;null;267.2;null;null;32.3;26.7;23.8;85.6;1;.7;94.7;
2018-04-30;0;null;126.8;126.8;null;7.5;null;331.8;null;null;31.5;26.2;23.6;87.4;1;.5;94.2;
2018-05-31;0;null;136.9;136.9;null;6.7;null;210.8;null;null;32;26.6;23.6;86;1;.5;94.7;
2018-06-30;18;null;135.3;114.4;null;4;null;62.8;null;null;32.7;26.8;22.7;79.2;1;.6;96;
2018-07-31;0;null;144;68.8;null;3.3;null;37;null;null;33.9;27;22.5;75.4;1;.5;96.2;
2018-08-31;0;null;141.5;141.5;null;5.5;null;206.7;null;null;33.5;26.8;23;82.2;1.5;.5;95.1;
2018-09-30;0;null;158.6;94.6;null;5.5;null;37;null;null;34.3;27.8;23.8;77.8;1;.6;95.6;
