Nome: MARABA
Codigo Estacao: 82562
Latitude: -5.36611111
Longitude: -49.12527777
Altitude: 101.66
Situacao: Operante
Data Inicial: 2012-01-01
Data Final: 2024-10-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA AO NIVEL DO MAR, MEDIA MENSAL(mB);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
2012-01-31;5;null;139.2;139.2;87;8.5;24;213.7;1010.1;998.9;30.4;26;23.2;81;3.1;1.1;45.9;
2012-02-29;36;null;151.9;151.9;116.6;8.1;17;289.8;1008.4;997.7;null;null;25.3;74.9;3.8;1.2;47.9;
2012-03-31;36;null;169.2;169.2;185.2;7.4;23;226.6;1009.4;998.8;null;null;25.9;74.1;4.6;1.4;48.7;
2012-04-30;36;null;181.5;176.5;189.7;6.6;9;148.2;1009.1;998.4;null;null;26.8;72.3;4.1;1.6;50.2;
2012-05-31;36;null;187.9;108.8;199.8;5.7;10;56.3;1010.4;999.7;null;null;null;71.2;3;1.3;50;
2012-06-30;36;null;145;78.5;227.3;4.7;8;68.2;1010.2;999.4;31.7;27.1;23.2;74.3;3.5;1.4;51.8;
2012-07-31;9;100.5;77.7;14.4;246.9;3.6;2;10;1008.8;998.1;32.8;27.3;22.5;70.3;3.3;1.4;51.9;
2012-08-31;9;162;177.4;3.8;272;2.5;0;0;1009.2;998.3;35;28.3;22;56.5;3;null;51.9;
2012-09-30;9;139.5;185.2;16.4;226.3;4.5;2;15.8;1008.5;997.8;34.8;28.9;23.9;62.4;3.6;1.7;52;
2012-10-31;36;113.7;189;21.8;180.3;6.8;8;21.7;1006.4;995.4;33.9;28.6;24.3;67.3;3.8;2;49.2;
2012-11-30;36;93;173.3;144.4;120.7;7.9;5;144.4;1006.7;996;32.8;28.3;24.5;73;3.6;null;46.9;
2012-12-31;36;66.3;155.6;155.6;126.3;7.4;18;204;1007.1;996.2;31.7;27.2;23.4;78.8;2.8;1.4;48.6;
2013-01-31;36;51.5;145.1;145.1;120.2;7.3;22;191.3;1007.6;996.8;30.7;26.6;23.7;84.1;3.3;1.3;48.7;
2013-02-28;36;52;131.7;131.7;140.2;7.7;19;185.6;1006.8;995.8;31.6;26.7;23.2;81.8;3.5;1.3;47.4;
2013-03-31;36;59.3;152.2;152.2;123.5;7.3;22;363.6;1007.9;997.3;32;26.9;22.9;82.3;4.5;1.4;48.3;
2013-04-30;36;null;145.4;145.4;171.4;7;21;291.9;1008.8;997.5;32;27.2;23.3;82.6;3.1;1.3;95.6;
2013-05-31;9;63;158.9;134.8;219.9;5.8;5;80.6;1008.5;997.6;32.9;27.6;23;76.5;3.3;1.4;51.1;
2013-06-30;9;85;148.9;58.3;241.7;4;null;26;null;null;33.2;27.6;22.5;72.6;3.8;1.3;51.2;
2013-07-31;36;107.3;164.7;45.9;null;4.5;null;36.2;null;null;33.6;27.8;22.4;69.6;4.1;1.6;51.3;
2013-08-31;36;118.3;170.6;17.2;null;3.8;null;14.3;null;null;34.4;28.4;22.8;66.8;3.3;1.5;52;
2013-09-30;36;99.2;150.4;109.9;null;5.4;null;104.2;null;null;33.5;28.1;23;70.6;3.1;1.6;50.7;
2013-10-31;36;98.1;170.4;89.3;null;6.3;null;102.2;null;null;33.3;28;23.1;71.2;3.5;1.5;50;
2013-11-30;36;70.9;145.9;124.4;null;8.1;null;124.4;null;null;31.8;27.1;22.9;78.1;3.1;1.3;47.4;
2013-12-31;36;76.7;166.4;121.9;null;6.8;null;121.5;null;null;32.6;27.5;23.2;77.1;3.3;1.4;49.7;
2014-01-31;36;58.3;137.3;137.3;null;7.5;null;253.2;null;null;31.2;26.2;22.1;81.3;4;1.3;47.5;
2014-02-28;36;44.1;121.2;121.2;null;8.1;null;444.1;null;null;30.8;26.1;21.9;83.9;3.6;1.1;47.7;
2014-03-31;36;55.6;176;176;160.4;7.7;null;363.3;null;null;31.5;26.5;22.5;82.5;3.3;1.3;47.5;
2014-04-30;0;53;141.5;141.5;172.5;7.3;null;301.1;null;null;32;27;22.8;80.3;2.6;.6;48.8;
2014-05-31;0;65.9;156.8;156.7;211;6.3;null;151.5;null;null;32.7;27.5;23.1;78.4;0;0;50.6;
2014-06-30;9;109.2;167.5;79.8;267.5;3.1;null;3.1;null;null;34;28.4;22.9;66.3;4.1;1.4;52.8;
2014-07-31;9;126.2;169.1;25.4;276.8;3.2;null;10.8;null;null;34.3;28.2;22.5;65.1;3.5;1.5;51.9;
2014-08-31;9;141.8;179.6;22.1;275.9;3;null;18.5;null;null;34.8;28.4;22.5;64;4;1.4;51.9;
2014-09-30;36;113.2;165;68.7;220.9;5.5;null;65.4;null;null;33.8;28;22.9;69.5;3.5;1.8;50.3;
2014-10-31;36;94;174.9;173.8;190.7;7.6;null;173.8;null;null;33.3;27.9;23.1;72.5;3;1.5;48.6;
2014-11-30;36;77.2;160.2;104.4;175.9;7.4;null;104.3;null;null;32.7;28;23.7;74.9;3.6;1.5;49.4;
